"Index","pIC50"
22,10.4130458033881
125,9.81868721095778
8,9.51302027715479
126,9.43098685924746
127,8.91129169887955
21,8.86210408247879
128,8.83681616691887
7,8.73863369333173
191,6.67602480688504
72,5.98479139252829
96,5.82612821041499
46,5.82296220853077
55,5.69334747749257
71,5.66765550609544
86,5.62900521752089
82,5.46849754670999
29,5.43928218436277
85,5.39841079541717
230,5.3585967229294
35,5.30587803627806
30,5.22560974354718
1,5.21396332723928
42,5.21172558703537
208,5.18452867323693
17,5.11688841792652
161,5.08598129030983
2,5.07869791370771
284,5.04249229145663
181,5.01452828102048
162,4.93454124934398
259,4.81254542913084
36,4.80250266563073
252,4.73806677070661
185,4.67712962659386
151,4.66692526139749
242,4.64016944074432
54,4.6244918195871
61,4.61336259046886
40,4.60771855246674
63,4.56840225689201
59,4.54621485054261
207,4.521268301627
251,4.50486883134186
308,4.49150616102166
245,4.4670194647987
258,4.44842890769885
32,4.44373744072148
87,4.43474609256534
18,4.43141943827773
209,4.42017376127521
110,4.41623109321857
236,4.41320983922865
235,4.40408633543907
88,4.39542503092974
232,4.38510262939645
231,4.38508599391366
95,4.34769761861305
105,4.3366424192594
115,4.33598438500548
97,4.33324250443663
260,4.33218094161935
205,4.31396255247606
12,4.31189053937607
173,4.30793966729447
261,4.28885406635021
3,4.28386749875033
224,4.2828845841539
50,4.26880001306327
31,4.26480988238248
15,4.26277956700084
49,4.26078921569457
19,4.2586277796235
238,4.25361180404847
160,4.2428617402603
246,4.23722540834523
116,4.22981039575929
107,4.20625412207932
210,4.19573140692015
211,4.1945257588139
104,4.19190158692279
214,4.18743324479972
188,4.18711827958753
186,4.17602836487721
237,4.16860725807978
52,4.16090891175046
170,4.16076900577997
16,4.15610693657669
103,4.15071203252031
174,4.13715239938232
98,4.13408246525126
51,4.13399899322646
223,4.1284935959342
257,4.12107996335782
150,4.12007560799878
212,4.11310631646093
20,4.0900616842651
213,4.08906692576028
60,4.08833858074113
159,4.08661624068746
264,4.08181738702884
169,4.06538844107065
58,4.06333557341232
4,4.05602669429913
23,4.05001714137254
193,4.04638033691695
152,4.04527480653931
34,4.04296874865442
33,4.04259082646975
203,4.0344396614815
62,4.03258407672844
187,4.02860314067707
180,4.02013661926735
41,4.0176746919429
240,4.01294911925909
108,4.01266583824714
164,4.01056212240728
179,4.00699534284965
5,3.99142071102594
263,3.96540595458658
196,3.95669869484054
11,3.94793507022386
233,3.94163720849131
