REC _TITLE1 TOTAL INTER INTRA RESTR VDW
107 134695375 -16.326 -17.424 0.440 0.000 -17.626
108 134695375 -19.864 -21.440 0.793 0.000 -17.031
109 134695375 -9.516 -7.032 -1.409 0.000 -11.454
110 134695375 -15.251 -14.824 -1.219 0.000 -15.162
111 134695375 -13.936 -14.690 -0.033 0.000 -16.572
112 134695375 -16.868 -16.029 -0.381 0.000 -17.542
113 134695375 -20.484 -17.865 -2.697 0.000 -16.144
114 134695375 -12.200 -12.211 -0.437 0.000 -12.171
115 134695375 -13.137 -9.937 -3.793 0.000 -10.549
116 134695375 -16.532 -15.654 0.118 0.000 -17.394
117 134695375 -10.816 -7.528 -3.239 0.000 -10.829
118 134695375 -18.282 -16.204 -1.946 0.000 -18.151
119 134695375 -22.416 -20.281 -2.567 0.000 -16.416
120 134695375 -24.450 -21.448 -1.880 0.000 -17.032
121 134695375 -18.043 -17.945 -0.678 0.000 -16.714
122 134695375 -23.064 -23.355 -0.366 0.000 -18.282
123 134695375 -12.472 -11.120 -1.172 0.000 -17.592
124 134695375 -9.239 -6.889 -1.939 0.000 -13.125
125 134695375 -15.553 -12.428 -3.119 0.000 -13.488
126 134695375 -18.638 -19.534 0.897 0.000 -16.431
127 134695375 -10.881 -9.128 -2.635 0.000 -14.733
128 134695375 -12.174 -9.082 -3.327 0.000 -10.387
129 134695375 -23.206 -21.082 -2.630 0.000 -16.816
130 134695375 -14.093 -9.834 -3.133 0.000 -12.275
131 134695375 -15.230 -11.497 -2.603 0.000 -13.487
132 134695375 -11.068 -8.527 -3.117 0.000 -14.304
133 134695375 -10.872 -7.366 -2.483 0.000 -12.962
134 134695375 -17.800 -15.730 -2.587 0.000 -18.440
135 134695375 -18.432 -20.084 1.708 0.000 -16.532
136 134695375 -20.366 -19.883 -0.309 0.000 -17.557
137 134695375 -15.556 -13.063 -2.400 0.000 -13.027
138 134695375 -14.363 -11.325 -1.928 0.000 -13.154
139 134695375 -21.485 -22.515 1.348 0.000 -16.720
140 134695375 -19.481 -17.738 -2.626 0.000 -15.072
141 134695375 -22.092 -20.239 -1.429 0.000 -17.686
142 134695375 -21.668 -20.067 -1.621 0.000 -17.758
143 134695375 -10.645 -7.173 -3.020 0.000 -13.279
144 134695375 -16.044 -15.437 -1.130 0.000 -16.837
145 134695375 -14.523 -13.991 -1.043 0.000 -14.261
146 134695375 -18.324 -19.053 -0.085 0.000 -16.165
147 134695375 -16.195 -15.043 -1.857 0.000 -17.619
148 134695375 -10.123 -11.570 2.386 0.000 -11.773
149 134695375 -26.482 -25.303 -1.030 0.000 -17.722
150 134695375 -19.274 -14.989 -4.941 0.000 -12.653
151 129878031 -19.968 -18.286 -2.247 0.000 -13.121
152 129878031 -16.164 -13.355 -2.791 0.000 -11.856
153 129878031 -16.996 -15.133 -2.374 0.000 -11.601
154 129878031 -10.435 -6.069 -3.967 0.000 -11.577
155 129878031 -14.225 -8.540 -4.568 0.000 -13.448
156 129878031 -13.912 -12.879 -1.072 0.000 -14.831
157 129878031 -8.360 -6.657 -2.203 0.000 -11.970
158 129878031 -19.159 -17.215 -1.872 0.000 -14.558
159 129878031 -19.831 -16.120 -3.655 0.000 -12.807
160 129878031 -20.737 -16.809 -3.466 0.000 -13.765
161 129878031 -9.567 -8.398 -1.692 0.000 -13.017
162 129878031 -8.411 -3.768 -4.107 0.000 -15.574
163 129878031 -19.326 -17.258 -1.991 0.000 -11.715
164 129878031 -12.107 -9.227 -3.669 0.000 -14.853
165 129878031 -14.652 -10.565 -3.125 0.000 -12.679
166 129878031 -26.898 -25.635 -0.728 0.000 -14.081
167 129878031 -28.332 -25.852 -2.212 0.000 -14.540
168 129878031 -22.412 -19.679 -2.419 0.000 -13.474
169 129878031 -16.096 -14.300 -2.613 0.000 -11.068
170 129878031 -15.537 -13.066 -2.465 0.000 -15.794
171 129878031 -11.969 -8.545 -3.034 0.000 -12.229
172 129878031 -7.121 -5.450 -2.460 0.000 -10.657
173 129878031 -22.859 -21.673 -1.832 0.000 -13.934
174 129878031 -15.127 -11.766 -3.349 0.000 -11.433
175 129878031 -12.197 -13.458 0.574 0.000 -10.308
176 129878031 -7.753 -5.022 -2.643 0.000 -9.361
177 129878031 -8.084 -8.367 -0.507 0.000 -13.627
178 129878031 -17.779 -16.451 -1.502 0.002 -11.350
179 129878031 -15.725 -13.515 -2.686 0.000 -11.649
180 129878031 -14.884 -12.186 -2.292 0.000 -12.699
181 129878031 -20.210 -15.934 -3.152 0.000 -12.762
182 129878031 -6.403 -5.489 -1.444 0.000 -7.302
183 129878031 -12.487 -8.029 -4.982 0.000 -12.233
184 129878031 -12.546 -10.956 -2.143 0.000 -16.243
185 129878031 -16.074 -13.120 -2.934 0.000 -11.926
186 129878031 -15.129 -11.411 -3.702 0.000 -13.433
187 129878031 -17.967 -14.380 -3.182 0.000 -12.927
188 129878031 -7.744 -4.405 -3.379 0.000 -14.377
189 129878031 -26.931 -24.833 -1.788 0.000 -13.888
190 129878031 -12.212 -8.025 -3.167 0.000 -11.637
191 129878031 -13.265 -10.367 -2.936 0.000 -15.276
192 129878031 -13.699 -9.543 -4.195 0.000 -13.198
193 129878031 -20.661 -19.152 -1.554 0.000 -10.843
194 129878031 -16.963 -16.293 -1.399 0.000 -13.799
195 129878031 -19.021 -15.808 -2.180 0.000 -11.419
196 129878031 -14.683 -10.617 -3.197 0.000 -13.235
197 129878031 -17.818 -16.086 -1.725 0.000 -12.693
198 129878031 -14.507 -10.195 -3.361 0.000 -9.420
199 129878031 -8.201 -4.393 -3.630 0.000 -13.853
200 129878031 -17.844 -15.875 -2.500 0.000 -10.592
201 129878031 -29.116 -23.556 -5.242 0.000 -14.169
202 129878031 -22.391 -16.723 -4.546 0.000 -12.264
203 129878031 -21.669 -17.490 -4.984 0.000 -12.589
204 129878031 -23.696 -19.336 -4.243 0.000 -15.229
205 129878031 -15.021 -8.582 -5.417 0.000 -9.287
206 129878031 -18.313 -13.905 -5.260 0.000 -11.801
207 129878031 -25.227 -18.477 -5.624 0.000 -15.022
208 129878031 -29.907 -24.611 -5.410 0.000 -14.135
209 129878031 -29.349 -24.078 -5.345 0.000 -14.890
210 129878031 -23.787 -20.248 -4.293 0.000 -13.134
211 129878031 -21.860 -16.917 -4.406 0.000 -12.559
212 129878031 -12.413 -8.318 -4.673 0.000 -11.085
213 129878031 -16.113 -10.903 -5.004 0.000 -11.962
214 129878031 -21.855 -15.364 -5.449 0.000 -14.223
215 129878031 -22.938 -21.387 -2.433 0.000 -12.867
216 129878031 -27.331 -22.543 -5.673 0.000 -13.893
217 129878031 -15.176 -14.948 -0.970 0.000 -11.617
218 129878031 -21.826 -18.964 -2.861 0.000 -11.442
219 129878031 -12.626 -6.504 -6.031 0.000 -13.014
