,time,rhoeq_xtal
253,506.0,992.977478
254,508.0,992.61615
255,510.0,992.648315
256,512.0,993.143433
257,514.0,993.926208
258,516.0,994.741028
259,518.0,995.321533
260,520.0,995.563416
261,522.0,995.374268
262,524.0,995.006287
263,526.0,994.444397
264,528.0,993.55304
265,530.0,992.837585
266,532.0,992.7547
267,534.0,993.21228
268,536.0,993.791809
269,538.0,994.398804
270,540.0,994.763062
271,542.0,994.853638
272,544.0,994.892761
273,546.0,994.87677
274,548.0,994.667908
275,550.0,994.099792
276,552.0,993.706787
277,554.0,993.417603
278,556.0,993.572693
279,558.0,993.821899
280,560.0,993.814758
281,562.0,993.69397
282,564.0,994.104797
283,566.0,994.785217
284,568.0,995.38269
285,570.0,995.633362
286,572.0,995.257324
287,574.0,994.485596
288,576.0,993.828064
289,578.0,993.598755
290,580.0,993.470581
291,582.0,993.523682
292,584.0,993.786865
293,586.0,994.296875
294,588.0,994.825012
295,590.0,995.283264
296,592.0,995.523499
297,594.0,995.251953
298,596.0,994.709595
299,598.0,994.134705
300,600.0,993.706238
301,602.0,993.31958
302,604.0,993.037354
303,606.0,993.215027
304,608.0,993.851624
305,610.0,994.462097
306,612.0,995.119385
307,614.0,995.51355
308,616.0,995.50946
309,618.0,994.841492
310,620.0,993.816101
311,622.0,992.969849
312,624.0,992.396118
313,626.0,992.136353
314,628.0,992.349976
315,630.0,993.020752
316,632.0,993.922791
317,634.0,994.790466
318,636.0,995.230164
319,638.0,995.161072
320,640.0,995.106018
321,642.0,994.512573
322,644.0,994.073181
323,646.0,993.942566
324,648.0,993.719055
325,650.0,993.338501
326,652.0,993.051819
327,654.0,993.377014
328,656.0,993.905701
329,658.0,994.294312
330,660.0,994.585754
331,662.0,994.322021
332,664.0,993.808899
333,666.0,993.716248
334,668.0,993.750488
335,670.0,993.937561
336,672.0,994.005676
337,674.0,994.19397
338,676.0,994.319153
339,678.0,994.324463
340,680.0,994.417419
341,682.0,994.43634
342,684.0,994.278748
343,686.0,994.236145
344,688.0,994.563538
345,690.0,994.823425
346,692.0,994.701904
347,694.0,994.866943
348,696.0,995.092957
349,698.0,995.378357
350,700.0,994.96814
351,702.0,993.75531
352,704.0,992.343567
353,706.0,991.598694
354,708.0,991.742065
355,710.0,992.4729
356,712.0,993.344482
357,714.0,994.344238
358,716.0,995.051575
359,718.0,995.663208
360,720.0,995.770874
361,722.0,995.492065
362,724.0,995.052124
363,726.0,994.272461
364,728.0,993.700256
365,730.0,993.351807
366,732.0,993.284485
367,734.0,993.47522
368,736.0,994.029236
369,738.0,994.482727
370,740.0,994.733948
371,742.0,994.800842
372,744.0,994.661804
373,746.0,994.559387
374,748.0,994.325195
375,750.0,993.841553
376,752.0,993.339966
377,754.0,992.963928
378,756.0,993.042786
379,758.0,993.309998
380,760.0,993.80011
381,762.0,994.778259
382,764.0,995.547424
383,766.0,995.784302
384,768.0,995.60675
385,770.0,994.854187
386,772.0,993.787598
387,774.0,992.950439
388,776.0,992.359375
389,778.0,992.192444
390,780.0,992.564819
391,782.0,993.365845
392,784.0,994.461914
393,786.0,995.475464
394,788.0,996.039246
395,790.0,995.959351
396,792.0,995.292725
397,794.0,994.294495
398,796.0,993.344238
399,798.0,992.391052
400,800.0,991.910706
401,802.0,992.055054
402,804.0,992.901611
403,806.0,994.111511
404,808.0,995.171509
405,810.0,995.90979
406,812.0,996.131042
407,814.0,995.567993
408,816.0,994.601929
409,818.0,993.578186
410,820.0,992.625122
411,822.0,991.854492
412,824.0,991.505432
413,826.0,991.981201
414,828.0,993.14502
415,830.0,994.779541
416,832.0,995.966492
417,834.0,996.362732
418,836.0,996.165466
419,838.0,995.200623
420,840.0,993.820618
421,842.0,992.186523
422,844.0,991.005371
423,846.0,990.534668
424,848.0,991.072876
425,850.0,992.586243
426,852.0,994.612976
