,Time,Number of contacts
291,14550.0,0.0
292,14600.0,0.0
293,14650.0,0.0
294,14700.0,0.0
295,14750.0,0.0
296,14800.0,0.0
297,14850.0,0.0
298,14900.0,0.0
299,14950.0,0.0
300,15000.0,0.0
301,15050.0,0.0
302,15100.0,0.0
303,15150.0,0.0
304,15200.0,0.0
305,15250.0,0.0
306,15300.0,0.0
307,15350.0,0.0
308,15400.0,0.0
309,15450.0,0.0
310,15500.0,0.0
311,15550.0,0.0
312,15600.0,0.0
313,15650.0,0.0
314,15700.0,0.0
315,15750.0,0.0
316,15800.0,0.0
317,15850.0,0.0
318,15900.0,0.0
319,15950.0,0.0
320,16000.0,0.0
321,16050.0,0.0
322,16100.0,0.0
323,16150.0,0.0
324,16200.0,0.0
325,16250.0,0.0
326,16300.0,0.0
327,16350.0,0.0
328,16400.0,0.0
329,16450.0,0.0
330,16500.0,0.0
331,16550.0,0.0
332,16600.0,0.0
333,16650.0,0.0
334,16700.0,0.0
335,16750.0,0.0
336,16800.0,0.0
337,16850.0,0.0
338,16900.0,0.0
339,16950.0,0.0
340,17000.0,0.0
341,17050.0,0.0
342,17100.0,0.0
343,17150.0,0.0
344,17200.0,0.0
345,17250.0,0.0
346,17300.0,0.0
347,17350.0,0.0
348,17400.0,0.0
349,17450.0,0.0
350,17500.0,0.0
351,17550.0,0.0
352,17600.0,0.0
353,17650.0,0.0
354,17700.0,0.0
355,17750.0,0.0
356,17800.0,0.0
357,17850.0,0.0
358,17900.0,0.0
359,17950.0,0.0
360,18000.0,0.0
361,18050.0,0.0
362,18100.0,0.0
363,18150.0,0.0
364,18200.0,0.0
365,18250.0,0.0
366,18300.0,0.0
367,18350.0,0.0
368,18400.0,0.0
369,18450.0,0.0
370,18500.0,0.0
371,18550.0,0.0
372,18600.0,0.0
373,18650.0,0.0
374,18700.0,0.0
375,18750.0,0.0
376,18800.0,0.0
377,18850.0,0.0
378,18900.0,0.0
379,18950.0,0.0
380,19000.0,0.0
381,19050.0,0.0
382,19100.0,0.0
383,19150.0,0.0
384,19200.0,0.0
385,19250.0,0.0
386,19300.0,0.0
387,19350.0,0.0
388,19400.0,0.0
389,19450.0,0.0
390,19500.0,0.0
391,19550.0,0.0
392,19600.0,0.0
393,19650.0,0.0
394,19700.0,0.0
395,19750.0,0.0
396,19800.0,0.0
397,19850.0,0.0
398,19900.0,0.0
399,19950.0,0.0
400,20000.0,0.0
401,20050.0,0.0
402,20100.0,0.0
403,20150.0,0.0
404,20200.0,0.0
405,20250.0,0.0
406,20300.0,0.0
407,20350.0,0.0
408,20400.0,0.0
409,20450.0,0.0
410,20500.0,0.0
411,20550.0,0.0
412,20600.0,0.0
413,20650.0,0.0
414,20700.0,0.0
415,20750.0,0.0
416,20800.0,0.0
417,20850.0,0.0
418,20900.0,0.0
419,20950.0,0.0
420,21000.0,0.0
421,21050.0,0.0
422,21100.0,0.0
423,21150.0,0.0
424,21200.0,0.0
425,21250.0,0.0
426,21300.0,0.0
427,21350.0,0.0
428,21400.0,0.0
429,21450.0,0.0
430,21500.0,0.0
431,21550.0,0.0
432,21600.0,0.0
433,21650.0,0.0
434,21700.0,0.0
435,21750.0,0.0
436,21800.0,0.0
437,21850.0,0.0
438,21900.0,0.0
439,21950.0,0.0
440,22000.0,0.0
441,22050.0,0.0
442,22100.0,0.0
443,22150.0,0.0
444,22200.0,0.0
445,22250.0,0.0
446,22300.0,0.0
447,22350.0,0.0
448,22400.0,0.0
449,22450.0,0.0
450,22500.0,0.0
451,22550.0,0.0
452,22600.0,0.0
453,22650.0,0.0
454,22700.0,0.0
455,22750.0,0.0
456,22800.0,0.0
457,22850.0,0.0
458,22900.0,0.0
459,22950.0,0.0
460,23000.0,0.0
461,23050.0,0.0
462,23100.0,0.0
463,23150.0,0.0
464,23200.0,0.0
465,23250.0,0.0
466,23300.0,0.0
467,23350.0,0.0
468,23400.0,0.0
469,23450.0,0.0
470,23500.0,0.0
471,23550.0,0.0
472,23600.0,0.0
473,23650.0,0.0
474,23700.0,0.0
475,23750.0,0.0
476,23800.0,0.0
477,23850.0,0.0
478,23900.0,0.0
479,23950.0,0.0
480,24000.0,0.0
481,24050.0,0.0
482,24100.0,0.0
483,24150.0,0.0
484,24200.0,0.0
485,24250.0,0.0
486,24300.0,0.0
487,24350.0,0.0
488,24400.0,0.0
489,24450.0,0.0
490,24500.0,0.0
491,24550.0,0.0
492,24600.0,0.0
493,24650.0,0.0
494,24700.0,0.0
495,24750.0,0.0
496,24800.0,0.0
497,24850.0,0.0
498,24900.0,0.0
499,24950.0,0.0
500,25000.0,0.0
501,25050.0,0.0
502,25100.0,0.0
503,25150.0,0.0
504,25200.0,0.0
505,25250.0,0.0
506,25300.0,0.0
507,25350.0,0.0
508,25400.0,0.0
509,25450.0,0.0
510,25500.0,0.0
511,25550.0,0.0
512,25600.0,0.0
513,25650.0,0.0
514,25700.0,0.0
515,25750.0,0.0
516,25800.0,0.0
517,25850.0,0.0
518,25900.0,0.0
519,25950.0,0.0
520,26000.0,0.0
521,26050.0,0.0
522,26100.0,0.0
523,26150.0,0.0
524,26200.0,0.0
525,26250.0,0.0
526,26300.0,0.0
527,26350.0,0.0
528,26400.0,0.0
529,26450.0,0.0
530,26500.0,0.0
531,26550.0,0.0
532,26600.0,0.0
533,26650.0,0.0
534,26700.0,0.0
535,26750.0,0.0
536,26800.0,0.0
537,26850.0,0.0
538,26900.0,0.0
539,26950.0,0.0
540,27000.0,0.0
541,27050.0,0.0
542,27100.0,0.0
543,27150.0,0.0
544,27200.0,0.0
545,27250.0,0.0
546,27300.0,0.0
547,27350.0,0.0
548,27400.0,0.0
549,27450.0,0.0
550,27500.0,0.0
551,27550.0,0.0
552,27600.0,0.0
553,27650.0,0.0
554,27700.0,0.0
555,27750.0,0.0
556,27800.0,0.0
557,27850.0,0.0
558,27900.0,0.0
559,27950.0,0.0
560,28000.0,0.0
561,28050.0,0.0
562,28100.0,0.0
563,28150.0,0.0
564,28200.0,0.0
565,28250.0,0.0
566,28300.0,0.0
567,28350.0,0.0
568,28400.0,0.0
569,28450.0,0.0
570,28500.0,0.0
571,28550.0,0.0
572,28600.0,0.0
573,28650.0,0.0
574,28700.0,0.0
575,28750.0,0.0
576,28800.0,0.0
577,28850.0,0.0
578,28900.0,0.0
579,28950.0,0.0
580,29000.0,0.0
581,29050.0,0.0
582,29100.0,0.0
583,29150.0,0.0
584,29200.0,0.0
585,29250.0,0.0
586,29300.0,0.0
587,29350.0,0.0
588,29400.0,0.0
589,29450.0,0.0
590,29500.0,0.0
591,29550.0,0.0
592,29600.0,0.0
593,29650.0,0.0
594,29700.0,0.0
595,29750.0,0.0
596,29800.0,0.0
597,29850.0,0.0
598,29900.0,0.0
599,29950.0,0.0
600,30000.0,0.0
601,30050.0,0.0
602,30100.0,0.0
603,30150.0,0.0
604,30200.0,0.0
605,30250.0,0.0
606,30300.0,0.0
607,30350.0,0.0
608,30400.0,0.0
609,30450.0,0.0
610,30500.0,0.0
611,30550.0,0.0
612,30600.0,0.0
613,30650.0,0.0
614,30700.0,0.0
615,30750.0,0.0
616,30800.0,0.0
617,30850.0,0.0
618,30900.0,0.0
619,30950.0,0.0
620,31000.0,0.0
621,31050.0,0.0
622,31100.0,0.0
623,31150.0,0.0
624,31200.0,0.0
625,31250.0,0.0
626,31300.0,0.0
627,31350.0,0.0
628,31400.0,0.0
629,31450.0,0.0
630,31500.0,0.0
631,31550.0,0.0
632,31600.0,0.0
633,31650.0,0.0
634,31700.0,0.0
635,31750.0,0.0
636,31800.0,0.0
637,31850.0,0.0
638,31900.0,0.0
639,31950.0,0.0
640,32000.0,0.0
641,32050.0,0.0
642,32100.0,0.0
643,32150.0,0.0
644,32200.0,0.0
645,32250.0,0.0
646,32300.0,0.0
647,32350.0,0.0
648,32400.0,0.0
649,32450.0,0.0
650,32500.0,0.0
651,32550.0,0.0
652,32600.0,0.0
653,32650.0,0.0
654,32700.0,0.0
655,32750.0,0.0
656,32800.0,0.0
657,32850.0,0.0
658,32900.0,0.0
659,32950.0,0.0
660,33000.0,0.0
661,33050.0,0.0
662,33100.0,0.0
663,33150.0,0.0
664,33200.0,0.0
665,33250.0,0.0
666,33300.0,0.0
667,33350.0,0.0
668,33400.0,0.0
669,33450.0,0.0
670,33500.0,0.0
671,33550.0,0.0
672,33600.0,0.0
673,33650.0,0.0
674,33700.0,0.0
675,33750.0,0.0
676,33800.0,0.0
677,33850.0,0.0
678,33900.0,0.0
679,33950.0,0.0
680,34000.0,0.0
681,34050.0,0.0
682,34100.0,0.0
683,34150.0,0.0
684,34200.0,0.0
685,34250.0,0.0
686,34300.0,0.0
687,34350.0,0.0
688,34400.0,0.0
689,34450.0,0.0
690,34500.0,0.0
691,34550.0,0.0
692,34600.0,0.0
693,34650.0,0.0
694,34700.0,0.0
695,34750.0,0.0
696,34800.0,0.0
697,34850.0,0.0
698,34900.0,0.0
699,34950.0,0.0
700,35000.0,0.0
701,35050.0,0.0
702,35100.0,0.0
703,35150.0,0.0
704,35200.0,0.0
705,35250.0,0.0
706,35300.0,0.0
707,35350.0,0.0
708,35400.0,0.0
709,35450.0,0.0
710,35500.0,0.0
711,35550.0,0.0
712,35600.0,0.0
713,35650.0,0.0
714,35700.0,0.0
715,35750.0,0.0
716,35800.0,0.0
717,35850.0,0.0
718,35900.0,0.0
719,35950.0,0.0
720,36000.0,0.0
721,36050.0,0.0
722,36100.0,0.0
723,36150.0,0.0
724,36200.0,0.0
725,36250.0,0.0
726,36300.0,0.0
727,36350.0,0.0
728,36400.0,0.0
729,36450.0,0.0
730,36500.0,0.0
731,36550.0,0.0
732,36600.0,0.0
733,36650.0,0.0
734,36700.0,0.0
735,36750.0,0.0
736,36800.0,0.0
737,36850.0,0.0
738,36900.0,0.0
739,36950.0,0.0
740,37000.0,0.0
741,37050.0,0.0
742,37100.0,0.0
743,37150.0,0.0
744,37200.0,0.0
745,37250.0,0.0
746,37300.0,0.0
747,37350.0,0.0
748,37400.0,0.0
749,37450.0,0.0
750,37500.0,0.0
751,37550.0,0.0
752,37600.0,0.0
753,37650.0,0.0
754,37700.0,0.0
755,37750.0,0.0
756,37800.0,0.0
757,37850.0,0.0
758,37900.0,0.0
759,37950.0,0.0
760,38000.0,0.0
761,38050.0,0.0
