,BOND,ANGLE,DIHED,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Interaction entropy
0,1.2789769243681803e-13,1.2931877790833823e-12,5.400124791776761e-13,-36.22340000000015,-191.5499999999966,203.8734000000002,-4.451816880000041,-227.77339999998523,199.42158311999953,-28.35181687998501,0.0
1,-1.509903313490213e-13,-0.00010000000052912128,3.197442310920451e-13,-30.65259999999934,-203.45840000000118,220.6712000000011,-4.234958640000011,-234.11099999999746,216.43624136000227,-17.67475863999637,-0.4233425593723698
2,-1.2931877790833823e-12,-6.608047442568932e-13,-7.744915819785092e-13,-34.603800000000085,-195.5211,208.01130000000012,-4.304293920000061,-230.1250000000016,203.7070060800007,-26.41799392000152,0.08208428004854994
3,-2.842170943040401e-14,-4.831690603168681e-13,-3.907985046680551e-13,-32.352099999999524,-173.8070000000012,188.88180000000102,-4.101433200000011,-206.15909999999732,184.78036679999983,-21.378733199996304,17.529179781440565
4,8.384404281969182e-13,1.4352963262354024e-12,4.547473508864641e-13,-28.669000000000203,-184.65130000000005,194.58890000000125,-4.099397040000037,-213.32020000000276,190.48950296000052,-22.830697040001553,17.39174154290688
5,-0.00010000000072807325,6.821210263296962e-13,-8.100187187665142e-13,-29.441800000000853,-182.23269999999712,195.63200000000137,-3.67913519999997,-211.67460000000406,191.9528648000023,-19.721735200002684,17.2794463253872
6,2.589928271845565e-12,-4.618527782440651e-13,-9.734435479913373e-13,-33.893899999999995,-183.81249999999847,202.37919999999897,-4.114400399999984,-217.70629999999068,198.26479959999966,-19.441500399991682,17.184501972589807
7,2.113864638886298e-12,-4.263256414560601e-14,-9.450218385609332e-13,-30.228099999999706,-179.8742999999969,193.8232000000001,-3.9288995999999807,-210.102299999999,189.89430040000025,-20.207999599998857,17.102257535732967
8,4.547473508864641e-13,-7.034373084024992e-13,0.0001000000009767632,-35.78190000000053,-200.13540000000435,215.70679999999936,-4.631688720000015,-235.9171999999958,211.0751112799989,-24.842088719996468,17.0297127107355
9,-9.999999879006793e-05,7.815970093361102e-13,3.268496584496461e-13,-29.501300000000157,-199.29140000000248,214.64819999999878,-3.9145039200000262,-228.79290000000606,210.7336960799982,-18.059203920007292,16.96481915346348
10,0.00010000000008147936,4.973799150320701e-14,-0.00010000000052912128,-34.9506000000006,-176.87120000000294,190.50060000000073,-4.194661679999991,-211.82180000000568,186.3059383199992,-25.515861680004946,16.906115909153407
