,time,rhoeq_lig2
0,0.0,995.347351
1,2.0,995.184998
2,4.0,994.886169
3,6.0,994.204163
4,8.0,993.309631
5,10.0,992.540588
6,12.0,992.148499
7,14.0,992.441345
8,16.0,993.140686
9,18.0,994.285034
10,20.0,995.568848
11,22.0,996.183594
12,24.0,996.165161
13,26.0,995.672546
14,28.0,994.823792
15,30.0,993.755432
16,32.0,992.790466
17,34.0,992.150146
18,36.0,991.803101
19,38.0,992.018433
20,40.0,992.693481
21,42.0,993.685303
22,44.0,994.93634
23,46.0,996.514343
24,48.0,997.426331
25,50.0,997.371948
26,52.0,996.38739
27,54.0,994.848145
28,56.0,993.565613
29,58.0,992.564941
30,60.0,991.965149
31,62.0,992.040527
32,64.0,992.496704
33,66.0,993.468323
34,68.0,994.725952
35,70.0,995.62207
36,72.0,996.144653
37,74.0,995.727539
38,76.0,994.626221
39,78.0,993.461609
40,80.0,992.688293
41,82.0,992.393066
42,84.0,992.494812
43,86.0,992.799194
44,88.0,993.496643
45,90.0,994.237732
46,92.0,994.973022
47,94.0,995.812744
48,96.0,996.149353
49,98.0,995.619751
50,100.0,994.494202
51,102.0,993.146057
52,104.0,992.47406
53,106.0,992.503174
54,108.0,992.724792
55,110.0,992.956238
56,112.0,993.510071
57,114.0,994.00647
58,116.0,994.707336
59,118.0,995.054504
60,120.0,994.995361
61,122.0,994.517212
62,124.0,993.86322
63,126.0,993.272644
64,128.0,992.841797
65,130.0,992.823669
66,132.0,993.168091
67,134.0,993.924377
68,136.0,995.0448
69,138.0,996.294617
70,140.0,996.933594
71,142.0,996.594055
72,144.0,995.653625
73,146.0,994.268066
74,148.0,992.683167
75,150.0,991.332336
76,152.0,990.753479
77,154.0,991.170288
78,156.0,991.987854
79,158.0,992.673279
80,160.0,993.380615
81,162.0,994.60022
82,164.0,996.181091
83,166.0,997.31897
84,168.0,997.584839
85,170.0,996.879578
86,172.0,995.635315
87,174.0,994.205017
88,176.0,992.897705
89,178.0,992.060669
90,180.0,991.702881
91,182.0,992.056519
92,184.0,993.170227
93,186.0,994.676636
94,188.0,996.065369
95,190.0,996.853943
96,192.0,996.744629
97,194.0,995.556335
98,196.0,993.615784
99,198.0,991.947754
100,200.0,991.128845
101,202.0,991.149902
102,204.0,991.650757
103,206.0,992.710083
104,208.0,994.231262
105,210.0,995.810242
106,212.0,996.728027
107,214.0,996.536743
108,216.0,995.361145
109,218.0,993.792175
110,220.0,992.365356
111,222.0,991.557739
112,224.0,991.787903
113,226.0,992.47113
114,228.0,993.277893
115,230.0,994.125366
116,232.0,994.891357
117,234.0,995.668823
118,236.0,996.450562
119,238.0,996.484802
120,240.0,995.681885
121,242.0,994.598511
122,244.0,993.657776
123,246.0,992.856445
124,248.0,992.26532
125,250.0,992.009644
126,252.0,992.097412
127,254.0,992.998779
128,256.0,994.152466
129,258.0,995.152527
130,260.0,995.895508
131,262.0,996.071228
132,264.0,995.731201
133,266.0,995.237
134,268.0,994.380859
135,270.0,993.379333
136,272.0,992.634094
137,274.0,992.394104
138,276.0,992.709778
139,278.0,993.513367
140,280.0,994.71698
141,282.0,995.751709
142,284.0,996.103821
143,286.0,995.750854
144,288.0,994.90332
145,290.0,994.076111
146,292.0,993.159546
147,294.0,992.248779
148,296.0,991.356934
149,298.0,991.023132
150,300.0,991.525208
151,302.0,992.768433
152,304.0,994.326477
