,time,c(t)_lig3
0,0.0,1.0
1,50.0,0.7850910662852054
2,100.0,0.7571743120210583
3,150.0,0.7358392883474362
4,200.0,0.7038079694933028
5,250.0,0.7025850902188103
6,300.0,0.7085694432846382
7,350.0,0.6936151676534942
8,400.0,0.684572278783691
9,450.0,0.6901481753283141
10,500.0,0.6546384909145342
11,550.0,0.6410409761665478
12,600.0,0.6380113444827132
13,650.0,0.6327630879933082
14,700.0,0.6344361526152672
15,750.0,0.632010914049187
16,800.0,0.6242599873329154
17,850.0,0.6205892675144761
18,900.0,0.6258763482921298
19,950.0,0.6193304524402008
20,1000.0,0.6266983453029017
21,1050.0,0.6277690957240776
22,1100.0,0.6268804121834242
23,1150.0,0.6200872375352101
24,1200.0,0.6175543483747072
25,1250.0,0.6129740011506328
26,1300.0,0.5982655200398711
27,1350.0,0.6115618578015993
28,1400.0,0.605932111026933
29,1450.0,0.6068439233572358
30,1500.0,0.6037331364177919
31,1550.0,0.6096906500308598
32,1600.0,0.5999166738755333
33,1650.0,0.5934654247002712
34,1700.0,0.5852666801994716
35,1750.0,0.5679324716179805
36,1800.0,0.5666547096650113
37,1850.0,0.568415010085541
38,1900.0,0.5532424925196411
39,1950.0,0.5570426949567108
40,2000.0,0.5671827223951856
41,2050.0,0.5602578478572877
42,2100.0,0.5526552802194215
43,2150.0,0.5558300797583479
44,2200.0,0.5477376941817779
45,2250.0,0.5502884492219475
46,2300.0,0.5584755200630289
47,2350.0,0.5519609765052041
48,2400.0,0.5559897018915353
49,2450.0,0.5462357305542168
50,2500.0,0.550754856403489
51,2550.0,0.5383822592792173
52,2600.0,0.5412655476238197
53,2650.0,0.5349004720637295
54,2700.0,0.5397515514670272
55,2750.0,0.5335154927347724
56,2800.0,0.5450528178383823
57,2850.0,0.5386205830425603
58,2900.0,0.5458133090240259
59,2950.0,0.5322856298094522
60,3000.0,0.5438520058958756
61,3050.0,0.5392018964261975
62,3100.0,0.531710494499997
63,3150.0,0.5403609268211951
64,3200.0,0.543324461994473
65,3250.0,0.5380660710125208
66,3300.0,0.5333952372623839
67,3350.0,0.5155879419446954
68,3400.0,0.522808432948934
69,3450.0,0.5077609462160015
70,3500.0,0.5270136651278373
71,3550.0,0.5235322274165694
72,3600.0,0.5338973908514255
73,3650.0,0.5293397039989172
74,3700.0,0.5194023292037665
75,3750.0,0.5228771099906143
76,3800.0,0.5127300137292445
77,3850.0,0.5193170839170959
78,3900.0,0.515358026999244
79,3950.0,0.5121179567751335
80,4000.0,0.5117537074437799
81,4050.0,0.5099713554851967
82,4100.0,0.5036080020627604
83,4150.0,0.5051210666170464
84,4200.0,0.49924216255627096
85,4250.0,0.5154463436705397
86,4300.0,0.5003028731851747
87,4350.0,0.49881162025871506
88,4400.0,0.48472049728240607
89,4450.0,0.48291571709825964
90,4500.0,0.48258469123757713
91,4550.0,0.4914788728081042
92,4600.0,0.4860600318425679
93,4650.0,0.504314921454858
94,4700.0,0.49135501919688124
95,4750.0,0.47768847055078845
96,4800.0,0.4742485106118123
97,4850.0,0.47697728751374074
98,4900.0,0.4546681928592133
99,4950.0,0.4426787075709269
100,5000.0,0.4475830156309767
101,5050.0,0.43610343337332425
102,5100.0,0.4481288348471212
103,5150.0,0.44940017397542076
104,5200.0,0.447433497748221
105,5250.0,0.4474878493487926
106,5300.0,0.4486054235290506
107,5350.0,0.4394676473168305
108,5400.0,0.43758488896709796
109,5450.0,0.4248834288365574
110,5500.0,0.4281539884450035
111,5550.0,0.4303006791486367
112,5600.0,0.4294348560999281
113,5650.0,0.43048763393613504
114,5700.0,0.4236070146880861
115,5750.0,0.43774954384853015
116,5800.0,0.4318334808240611
117,5850.0,0.43142361832686404
118,5900.0,0.43425271330557513
119,5950.0,0.41911849151067515
120,6000.0,0.4184164148775898
