,time,rhoeq_decoy
0,0.0,993.976257
1,2.0,993.71405
2,4.0,993.644409
3,6.0,993.812988
4,8.0,994.110657
5,10.0,994.40387
6,12.0,994.56842
7,14.0,994.309631
8,16.0,993.994019
9,18.0,993.765991
10,20.0,993.496216
11,22.0,993.388489
12,24.0,993.510986
13,26.0,993.691162
14,28.0,993.644958
15,30.0,993.644226
16,32.0,993.84613
17,34.0,993.812622
18,36.0,993.713318
19,38.0,993.809814
20,40.0,993.896301
21,42.0,994.270325
22,44.0,994.419495
23,46.0,994.353699
24,48.0,993.962585
25,50.0,993.557068
26,52.0,993.319519
27,54.0,993.479065
28,56.0,994.26178
29,58.0,994.849548
30,60.0,994.981506
31,62.0,994.972046
32,64.0,995.102905
33,66.0,995.2948
34,68.0,994.911072
35,70.0,993.884033
36,72.0,992.61615
37,74.0,991.901306
38,76.0,992.086243
39,78.0,992.72345
40,80.0,993.588379
41,82.0,994.49939
42,84.0,995.194519
43,86.0,995.635803
44,88.0,995.494751
45,90.0,994.869751
46,92.0,994.064819
47,94.0,993.02301
48,96.0,992.44165
49,98.0,992.371704
50,100.0,992.673401
51,102.0,993.264709
52,104.0,993.7901
53,106.0,994.404785
54,108.0,995.098206
55,110.0,995.463806
56,112.0,995.357605
57,114.0,994.84967
58,116.0,994.284058
59,118.0,993.585693
60,120.0,993.207153
61,122.0,993.183228
62,124.0,993.406738
63,126.0,993.878601
64,128.0,994.648071
65,130.0,995.432373
66,132.0,996.089111
67,134.0,996.282959
68,136.0,995.634033
69,138.0,994.660095
70,140.0,993.68988
71,142.0,993.266113
72,144.0,993.011047
73,146.0,992.749817
74,148.0,992.948608
75,150.0,993.735474
76,152.0,994.734497
77,154.0,995.490295
78,156.0,995.73938
79,158.0,995.535278
80,160.0,995.217529
81,162.0,994.608765
82,164.0,993.566833
83,166.0,992.55835
84,168.0,991.743774
85,170.0,991.888916
86,172.0,992.874878
87,174.0,993.82489
88,176.0,994.874634
89,178.0,996.011719
90,180.0,996.854614
91,182.0,997.059998
92,184.0,996.076111
93,186.0,994.29425
94,188.0,992.634094
95,190.0,991.518066
96,192.0,990.961487
97,194.0,991.087708
98,196.0,992.307495
99,198.0,993.65802
100,200.0,994.832825
101,202.0,995.592651
102,204.0,995.862549
103,206.0,995.512268
104,208.0,994.521301
105,210.0,993.326477
106,212.0,992.354126
107,214.0,992.025208
108,216.0,992.058533
109,218.0,992.548767
110,220.0,993.489197
111,222.0,994.726013
112,224.0,995.717285
113,226.0,996.008362
114,228.0,995.575134
115,230.0,994.911865
116,232.0,994.142822
117,234.0,993.48291
118,236.0,993.207703
119,238.0,993.176819
120,240.0,993.272278
121,242.0,993.671204
122,244.0,994.46228
123,246.0,995.126831
124,248.0,995.34668
125,250.0,995.158691
126,252.0,994.712646
127,254.0,994.237366
128,256.0,993.823608
129,258.0,993.880493
130,260.0,994.022766
131,262.0,994.081787
132,264.0,993.803589
133,266.0,993.55365
134,268.0,993.285278
135,270.0,993.304504
136,272.0,993.444031
137,274.0,993.588928
138,276.0,993.673218
139,278.0,993.588379
140,280.0,993.746277
141,282.0,994.316101
142,284.0,994.893982
143,286.0,995.328247
144,288.0,995.421936
145,290.0,994.915466
146,292.0,993.939087
147,294.0,992.838684
148,296.0,992.106934
149,298.0,992.13031
150,300.0,992.646545
151,302.0,993.00769
152,304.0,993.575439
153,306.0,994.458069
154,308.0,995.283386
155,310.0,995.477783
156,312.0,994.826965
157,314.0,993.775879
158,316.0,992.701965
159,318.0,992.138367
160,320.0,992.344177
161,322.0,992.913818
162,324.0,993.606079
163,326.0,994.155273
164,328.0,994.741455
165,330.0,995.081909
166,332.0,994.934998
167,334.0,994.359009
168,336.0,993.46167
169,338.0,992.657043
170,340.0,992.254578
171,342.0,992.480164
172,344.0,993.396606
173,346.0,994.448608
174,348.0,994.873108
175,350.0,994.566833
176,352.0,994.148804
177,354.0,993.930603
178,356.0,993.887268
179,358.0,993.816101
180,360.0,993.457336
181,362.0,993.42627
182,364.0,994.005066
183,366.0,994.441772
184,368.0,994.652771
185,370.0,994.511719
186,372.0,994.209534
187,374.0,993.97821
188,376.0,993.623352
189,378.0,993.269897
190,380.0,993.055847
191,382.0,992.732361
192,384.0,992.525574
193,386.0,992.794861
194,388.0,993.438599
195,390.0,994.33551
196,392.0,995.29071
197,394.0,995.641785
198,396.0,995.434631
199,398.0,995.120056
200,400.0,994.420776
201,402.0,993.629761
202,404.0,992.853943
203,406.0,992.187683
204,408.0,992.250427
205,410.0,993.106506
206,412.0,994.138367
207,414.0,994.941956
208,416.0,995.15033
209,418.0,995.124207
210,420.0,994.917542
211,422.0,994.337097
212,424.0,993.412109
213,426.0,992.287781
214,428.0,991.561035
215,430.0,991.489319
216,432.0,991.971741
217,434.0,993.421082
218,436.0,995.044922
219,438.0,996.269592
220,440.0,996.94989
221,442.0,997.01709
222,444.0,996.263367
223,446.0,995.248352
224,448.0,994.232971
225,450.0,992.916931
226,452.0,991.738892
227,454.0,991.360474
228,456.0,991.808777
229,458.0,992.903748
230,460.0,994.370667
231,462.0,995.820068
232,464.0,996.650696
233,466.0,996.734253
234,468.0,996.371948
235,470.0,995.364624
236,472.0,993.743042
237,474.0,992.186951
238,476.0,990.957275
239,478.0,990.445862
240,480.0,990.619873
241,482.0,991.464355
242,484.0,992.676208
243,486.0,993.902222
244,488.0,994.93927
245,490.0,995.475464
246,492.0,995.708679
247,494.0,995.372986
248,496.0,994.673645
249,498.0,993.785706
250,500.0,992.978088
251,502.0,992.711426
252,504.0,992.77478
253,506.0,993.207336
254,508.0,993.929749
255,510.0,994.738708
256,512.0,995.169678
257,514.0,995.174805
258,516.0,994.780396
259,518.0,993.865845
260,520.0,992.738281
261,522.0,992.066284
262,524.0,991.882751
263,526.0,992.213135
264,528.0,993.040161
265,530.0,994.214905
266,532.0,995.276978
267,534.0,996.289978
268,536.0,996.711792
269,538.0,996.335083
270,540.0,995.348999
271,542.0,994.327515
272,544.0,993.376465
273,546.0,992.988159
274,548.0,993.090271
275,550.0,993.293335
276,552.0,993.3479
277,554.0,993.467407
278,556.0,993.775452
279,558.0,993.945862
280,560.0,994.00769
281,562.0,994.027466
282,564.0,993.839783
283,566.0,993.62207
284,568.0,993.811401
285,570.0,994.239868
286,572.0,994.652344
287,574.0,994.747925
288,576.0,994.68335
289,578.0,994.302002
