,time,Peq_lig1
0,0.0,24.721832
1,1.0,72.171234
2,2.0,-13.134888
3,3.0,50.358887
4,4.0,16.751846
5,5.0,-35.641289
6,6.0,-94.005417
7,7.0,11.327835
8,8.0,-4.582474
9,9.0,18.370605
10,10.0,-18.043884
11,11.0,-26.977211
12,12.0,-25.778313
13,13.0,17.514481
14,14.0,4.234009
15,15.0,-25.793907
16,16.0,2.659424
17,17.0,-16.317474
18,18.0,78.001358
19,19.0,82.511688
20,20.0,14.866791
21,21.0,-19.476227
22,22.0,-66.610023
23,23.0,-20.740379
24,24.0,7.115799
25,25.0,75.909149
26,26.0,-85.514038
27,27.0,11.877396
28,28.0,13.557907
29,29.0,-57.921883
30,30.0,79.253555
31,31.0,95.779648
32,32.0,-7.548172
33,33.0,-21.422089
34,34.0,74.747299
35,35.0,-18.429428
36,36.0,-29.501984
37,37.0,55.772247
38,38.0,22.080261
39,39.0,49.812073
40,40.0,6.189514
41,41.0,-56.747261
42,42.0,41.233719
43,43.0,-23.084457
44,44.0,32.719162
45,45.0,-0.425064
46,46.0,-12.964035
47,47.0,175.188599
48,48.0,97.364899
49,49.0,-28.743362
50,50.0,-47.283195
51,51.0,-13.860245
52,52.0,147.53186
53,53.0,26.921967
54,54.0,-64.220139
55,55.0,2.782852
56,56.0,55.449417
57,57.0,71.509537
58,58.0,3.809875
59,59.0,134.698135
60,60.0,18.341049
61,61.0,10.083786
62,62.0,-69.01757
63,63.0,16.605103
64,64.0,-14.723358
65,65.0,-5.061142
66,66.0,-76.229607
67,67.0,-28.896461
68,68.0,-42.581009
69,69.0,61.269012
70,70.0,-29.533806
71,71.0,20.073273
72,72.0,-10.972595
73,73.0,14.048996
74,74.0,77.570221
75,75.0,22.62088
76,76.0,-51.150497
77,77.0,4.580139
78,78.0,-44.386284
79,79.0,-45.598549
80,80.0,-51.936195
81,81.0,-49.467583
82,82.0,23.963715
83,83.0,53.544846
84,84.0,3.186539
85,85.0,-72.850426
86,86.0,-40.27063
87,87.0,1.361679
88,88.0,19.16188
89,89.0,12.368591
90,90.0,-37.422676
91,91.0,16.710464
92,92.0,6.756699
93,93.0,51.961197
94,94.0,-97.667999
95,95.0,12.136887
96,96.0,8.397034
97,97.0,-18.881165
98,98.0,80.967407
99,99.0,-48.195793
100,100.0,-73.494148
