,time,Teq_lig2
0,0.0,309.803986
1,1.0,304.442505
2,2.0,309.677551
3,3.0,309.263885
4,4.0,309.683197
5,5.0,310.074951
6,6.0,309.928528
7,7.0,309.970795
8,8.0,309.390167
9,9.0,310.609558
10,10.0,307.881561
11,11.0,309.778198
12,12.0,310.656006
13,13.0,309.181732
14,14.0,310.465485
15,15.0,309.374603
16,16.0,310.020721
17,17.0,310.552155
18,18.0,309.697968
19,19.0,311.35498
20,20.0,310.738922
21,21.0,310.309113
22,22.0,309.458435
23,23.0,310.85556
24,24.0,308.715759
25,25.0,310.354675
26,26.0,309.81546
27,27.0,310.165894
28,28.0,309.835541
29,29.0,311.14566
30,30.0,309.748383
31,31.0,310.022156
32,32.0,310.792419
33,33.0,309.223572
34,34.0,310.148102
35,35.0,309.948334
36,36.0,311.511444
37,37.0,308.739685
38,38.0,309.435944
39,39.0,309.960846
40,40.0,310.125305
41,41.0,309.442719
42,42.0,309.63562
43,43.0,309.698792
44,44.0,309.046082
45,45.0,309.983459
46,46.0,309.137878
47,47.0,309.958191
48,48.0,310.67392
49,49.0,309.031067
50,50.0,309.554108
51,51.0,309.86438
52,52.0,309.820099
53,53.0,309.414246
54,54.0,309.562103
55,55.0,309.524933
56,56.0,311.856232
57,57.0,309.627625
58,58.0,310.82077
59,59.0,310.441254
60,60.0,309.954224
61,61.0,309.47879
62,62.0,309.991058
63,63.0,309.698181
64,64.0,309.767792
65,65.0,310.648895
66,66.0,310.761505
67,67.0,310.808228
68,68.0,309.72876
69,69.0,309.431549
70,70.0,311.35556
71,71.0,309.147034
72,72.0,309.013397
73,73.0,309.965881
74,74.0,310.352325
75,75.0,310.105499
76,76.0,309.753082
77,77.0,310.994202
78,78.0,310.402161
79,79.0,309.626587
80,80.0,310.936005
81,81.0,310.716125
82,82.0,310.09494
83,83.0,308.510376
84,84.0,310.980652
85,85.0,308.80957
86,86.0,310.16037
87,87.0,309.868988
88,88.0,309.479889
89,89.0,310.517578
90,90.0,309.116699
91,91.0,309.536987
92,92.0,311.385956
93,93.0,311.389404
94,94.0,311.289459
95,95.0,312.203064
96,96.0,310.569336
97,97.0,309.219971
98,98.0,310.063354
99,99.0,309.779266
100,100.0,310.513062
