,0,1,2
0,0.0,0.0,0.33538643734178714
1,1.0,50.0,1.6713518304014476
2,2.0,100.0,2.087546045917116
3,3.0,150.0,1.8713271269672807
4,4.0,200.0,1.7618228070697528
5,5.0,250.0,2.039281235894768
6,6.0,300.0,1.7113726856916678
7,7.0,350.0,1.6918332756580743
8,8.0,400.0,2.2654521131123353
9,9.0,450.0,2.3929220412095633
10,10.0,500.0,2.1634947766390153
11,11.0,550.0,2.017016562868043
12,12.0,600.0,2.2467306333325507
13,13.0,650.0,2.0458586383049204
14,14.0,700.0,1.7557705519538163
15,15.0,750.0,2.110606163685022
16,16.0,800.0,2.0150800246253446
17,17.0,850.0,2.003759855747123
18,18.0,900.0,2.407580781449242
19,19.0,950.0,2.098925342355584
20,20.0,1000.0,2.005152874262725
21,21.0,1050.0,1.9975452649876797
22,22.0,1100.0,1.7680963776668943
23,23.0,1150.0,2.0900137179715297
24,24.0,1200.0,2.35640893734729
25,25.0,1250.0,2.2838343600785316
26,26.0,1300.0,2.224525746488995
27,27.0,1350.0,2.2856201070582247
28,28.0,1400.0,2.0743112661192895
29,29.0,1450.0,2.1052469621916567
30,30.0,1500.0,2.2739849683740614
31,31.0,1550.0,2.2618138789526245
32,32.0,1600.0,2.2916061998396997
33,33.0,1650.0,2.4837231734886074
34,34.0,1700.0,2.2074818012135746
35,35.0,1750.0,2.3233360340217954
36,36.0,1800.0,2.451765725430361
37,37.0,1850.0,2.4660690802831224
38,38.0,1900.0,2.378889968100527
39,39.0,1950.0,2.6962544449706436
40,40.0,2000.0,2.496207698213216
41,41.0,2050.0,2.5295000865104704
42,42.0,2100.0,2.6691074750745165
43,43.0,2150.0,2.7073508664786123
44,44.0,2200.0,2.867027510796714
45,45.0,2250.0,2.933597407263516
46,46.0,2300.0,2.3502174495316233
47,47.0,2350.0,2.4798324081241256
48,48.0,2400.0,2.412590156458629
49,49.0,2450.0,1.9831639687559757
50,50.0,2500.0,2.2637754619632795
51,51.0,2550.0,2.1203237428718347
52,52.0,2600.0,2.5122305883619616
53,53.0,2650.0,2.1518883936226665
54,54.0,2700.0,2.844150964706222
55,55.0,2750.0,2.6030143363002165
56,56.0,2800.0,2.496147628729954
57,57.0,2850.0,2.0868167744515747
58,58.0,2900.0,2.336338144804401
59,59.0,2950.0,1.8884148983816476
60,60.0,3000.0,1.949201351588731
61,61.0,3050.0,1.9759179135680907
62,62.0,3100.0,2.0802575061739286
63,63.0,3150.0,1.9813123002051034
64,64.0,3200.0,1.961807419552686
65,65.0,3250.0,1.941763548184505
66,66.0,3300.0,2.7938363103254997
67,67.0,3350.0,2.432917807598234
68,68.0,3400.0,2.116524381117692
69,69.0,3450.0,2.079386531186332
70,70.0,3500.0,2.131184776442482
71,71.0,3550.0,2.383769538367269
72,72.0,3600.0,2.33589830643793
73,73.0,3650.0,2.1790870180478437
74,74.0,3700.0,2.5051512296042464
75,75.0,3750.0,2.624917446182622
76,76.0,3800.0,2.7074715561039318
77,77.0,3850.0,2.307154864750968
78,78.0,3900.0,2.2752550523145536
79,79.0,3950.0,1.9743313052998674
80,80.0,4000.0,2.032455302415855
81,81.0,4050.0,2.0519829835816696
82,82.0,4100.0,2.1385728605950685
83,83.0,4150.0,2.6151061832907554
84,84.0,4200.0,2.56972088469614
85,85.0,4250.0,2.3257743884757502
86,86.0,4300.0,2.668883505366986
87,87.0,4350.0,2.394103457830189
88,88.0,4400.0,2.246854811122739
89,89.0,4450.0,2.2051064884534948
90,90.0,4500.0,2.0809387179440533
91,91.0,4550.0,2.191993407267131
92,92.0,4600.0,2.5016223293455555
93,93.0,4650.0,2.112797070747413
94,94.0,4700.0,2.060711574290597
95,95.0,4750.0,2.013183795161027
96,96.0,4800.0,2.2402107467225805
97,97.0,4850.0,1.9642478772487992
98,98.0,4900.0,2.4069145525286504
99,99.0,4950.0,2.6278391240886423
100,100.0,5000.0,2.1175232939197253
101,101.0,5050.0,2.1589495143916264
102,102.0,5100.0,2.6255437839345626
103,103.0,5150.0,2.537590770206691
104,104.0,5200.0,2.6868043681971354
105,105.0,5250.0,2.496612357932593
106,106.0,5300.0,2.2257099090343546
107,107.0,5350.0,2.3346217672254093
108,108.0,5400.0,2.3568461689093954
109,109.0,5450.0,2.5874089765523753
110,110.0,5500.0,2.5174325492922445
111,111.0,5550.0,2.12848727238004
112,112.0,5600.0,2.410338163668003
113,113.0,5650.0,2.4584301835504885
114,114.0,5700.0,2.4075786441447016
115,115.0,5750.0,2.6697170982906906
116,116.0,5800.0,2.3681567484011876
117,117.0,5850.0,2.7326873949409594
118,118.0,5900.0,2.454435648826557
119,119.0,5950.0,2.3452272047722675
120,120.0,6000.0,2.0657327040522016
121,121.0,6050.0,2.1730047018597176
122,122.0,6100.0,2.200404579559354
123,123.0,6150.0,2.261577862595528
124,124.0,6200.0,2.418622649750907
125,125.0,6250.0,2.5372416808005536
126,126.0,6300.0,2.6533980838303846
127,127.0,6350.0,2.586763375515216
128,128.0,6400.0,2.209501986413149
129,129.0,6450.0,2.276616870838601
130,130.0,6500.0,2.466708772455618
131,131.0,6550.0,2.2801061320177642
132,132.0,6600.0,2.383977934980359
133,133.0,6650.0,2.0446467520153013
134,134.0,6700.0,2.3622484657654104
135,135.0,6750.0,2.520788704460604
136,136.0,6800.0,2.45837803805195
137,137.0,6850.0,2.2524032195253048
138,138.0,6900.0,2.448373572643911
139,139.0,6950.0,2.373313693006327
140,140.0,7000.0,2.09389123073023
141,141.0,7050.0,2.2865322711048464
142,142.0,7100.0,2.5836805923060475
143,143.0,7150.0,2.843599110744207
144,144.0,7200.0,2.9419322219927895
145,145.0,7250.0,3.1425464583854814
146,146.0,7300.0,2.7919369026843337
147,147.0,7350.0,2.6124342506722384
148,148.0,7400.0,2.9134438270910317
149,149.0,7450.0,2.41653724775778
150,150.0,7500.0,2.985822929624
151,151.0,7550.0,3.1285473433585893
152,152.0,7600.0,2.6040479988142717
153,153.0,7650.0,2.6252276529239995
154,154.0,7700.0,2.7040493874100857
155,155.0,7750.0,2.7316847397524886
156,156.0,7800.0,2.2863489848379253
157,157.0,7850.0,2.5324153665013696
158,158.0,7900.0,2.6673968893025886
159,159.0,7950.0,2.623039592281764
160,160.0,8000.0,2.512033376891744
161,161.0,8050.0,2.4331014386127676
162,162.0,8100.0,2.424764125397308
163,163.0,8150.0,2.542485064793373
164,164.0,8200.0,2.6892234612355717
165,165.0,8250.0,2.4693648329146423
166,166.0,8300.0,2.439509246216672
167,167.0,8350.0,2.3308233784212837
168,168.0,8400.0,2.0950398209402503
169,169.0,8450.0,2.377168848918733
170,170.0,8500.0,2.135820641062949
171,171.0,8550.0,2.5738714919032017
172,172.0,8600.0,2.5435211291372193
173,173.0,8650.0,2.44355727567373
174,174.0,8700.0,2.365082243261869
175,175.0,8750.0,2.536900418378622
176,176.0,8800.0,2.5706829024300624
177,177.0,8850.0,2.1734492823332405
178,178.0,8900.0,2.2218914228021815
179,179.0,8950.0,2.0977153250504146
180,180.0,9000.0,2.485754718609429
181,181.0,9050.0,2.318030816252165
182,182.0,9100.0,2.419969995460022
183,183.0,9150.0,2.479111547170958
184,184.0,9200.0,2.8934022893794022
185,185.0,9250.0,2.7267548743138383
186,186.0,9300.0,2.3981784877537913
187,187.0,9350.0,2.5496350320025627
188,188.0,9400.0,2.512649833453586
189,189.0,9450.0,2.6772413896857836
