,time,Peq_lig2
0,0.0,133.601898
1,1.0,4.22319
2,2.0,-4.211044
3,3.0,37.618149
4,4.0,14.121292
5,5.0,-56.118484
6,6.0,-58.798256
7,7.0,43.588516
8,8.0,-120.369614
9,9.0,8.874512
10,10.0,11.614792
11,11.0,49.782242
12,12.0,0.359146
13,13.0,-104.421799
14,14.0,-52.778069
15,15.0,5.840469
16,16.0,-112.138214
17,17.0,35.797028
18,18.0,-121.171303
19,19.0,-14.926849
20,20.0,69.110474
21,21.0,-46.492516
22,22.0,82.149368
23,23.0,-34.760773
24,24.0,-23.007378
25,25.0,-27.926109
26,26.0,-73.130928
27,27.0,19.37413
28,28.0,11.395126
29,29.0,-39.157478
30,30.0,-61.34478
31,31.0,49.876114
32,32.0,77.063736
33,33.0,-77.930191
34,34.0,-37.968712
35,35.0,-53.780983
36,36.0,83.801987
37,37.0,-35.401176
38,38.0,105.963257
39,39.0,11.67572
40,40.0,17.040207
41,41.0,19.618866
42,42.0,-66.194717
43,43.0,3.865189
44,44.0,-35.080902
45,45.0,-22.504372
46,46.0,-100.350235
47,47.0,-2.65593
48,48.0,28.835297
49,49.0,54.301651
50,50.0,-50.466339
51,51.0,35.10202
52,52.0,49.530807
53,53.0,60.624329
54,54.0,4.067383
55,55.0,58.319489
56,56.0,12.246002
57,57.0,-48.231857
58,58.0,-100.828934
59,59.0,-4.966293
60,60.0,18.384354
61,61.0,-10.79892
62,62.0,36.835617
63,63.0,-7.523514
64,64.0,-43.810783
65,65.0,-25.511711
66,66.0,32.00293
67,67.0,-24.802925
68,68.0,84.150192
69,69.0,20.967804
70,70.0,-126.733246
71,71.0,14.958298
72,72.0,-22.024361
73,73.0,9.41037
74,74.0,14.388351
75,75.0,9.238754
76,76.0,-10.331635
77,77.0,-32.465919
78,78.0,0.736435
79,79.0,79.475571
80,80.0,-4.671753
81,81.0,65.617416
82,82.0,-49.10112
83,83.0,-11.638428
84,84.0,-62.261124
85,85.0,-51.201157
86,86.0,-4.854675
87,87.0,74.725311
88,88.0,-24.297485
89,89.0,-9.850296
90,90.0,28.819443
91,91.0,37.072571
92,92.0,-72.206535
93,93.0,19.151474
94,94.0,3.471939
95,95.0,27.868088
96,96.0,39.146576
97,97.0,-84.114304
98,98.0,-62.08326
99,99.0,19.562866
100,100.0,1.723831
