,Enthalpy (dH),Interaction entropy (-TdS),Total free energy (dG)
0,-10.160064400001183,0.0,-10.160064400001183
1,-13.29327383999415,-0.3069600936444171,-13.600233933638567
2,-11.490280000005768,0.9315575901696959,-10.558722409836072
3,-20.303628400002204,0.7543686980290943,-19.54925970197311
4,-16.18919055999706,0.6195161487044416,-15.569674411292617
5,-15.143180720007432,0.5072208143471294,-14.635959905660304
6,-18.332516639995998,0.41227646258869516,-17.9202401774073
7,-20.870901519993197,0.3300328706776185,-20.540868649315577
8,-20.713157040012053,0.2575496324838676,-20.455607407528184
9,-24.536224879994304,0.19265607521184772,-24.343568804782457
10,-29.21190671999908,0.1339527120674866,-29.077954007931595
11,-24.428465360009866,0.0803607403431682,-24.3481046196667
12,-19.08337119999811,0.031096098108889306,-19.05227510188922
13,-20.1020760000091,-0.014547812089539699,-20.116623812098638
14,-22.00004615998682,-0.05703941362228489,-22.057085573609104
15,-22.489177920012022,-0.09678992346273305,-22.585967843474755
16,-29.28199920000223,-0.13412974557033386,-29.416128945572563
17,-17.472554000002894,-0.1685102963696362,-17.64106429637253
18,-28.108960239998176,-0.20181133232347048,-28.310771572321645
19,-23.44647432000319,-0.23340183275172804,-23.679876152754918
20,-24.185338000001202,-0.26345262828019633,-24.448790628281397
21,-22.866403600009413,-0.2921051958916425,-23.158508795901056
22,-20.877022639999254,-0.3193509435301054,-21.196373583529358
23,-26.52578096000412,-0.34556389412865507,-26.871344854132776
24,-24.527129439991974,-0.3707068694587852,-24.89783630945076
25,-20.276505360002542,-0.39480804649366513,-20.671313406496207
26,-21.52971471999389,-0.4180522068511162,-21.947766926845006
27,-15.8108153599932,-0.43311886923926574,-16.243934229232465
28,-29.99637736000835,-0.4546381499065817,-30.45101550991493
29,-22.73453576000339,-0.33518321585512184,-23.06971897585851
30,-20.398545759998214,-0.353045993234048,-20.751591753232262
31,-21.37221007998983,-0.3726006202941695,-21.744810700284
32,-18.234342640017648,-0.3915206711438673,-18.625863311161513
33,-28.173100079991634,-0.4099076822722451,-28.58300776226388
34,-26.141908639985484,-0.4276459183329616,-26.569554558318444
35,-20.591548159994296,0.23081325598994132,-20.360734904004357
36,-26.712025919997384,0.213937761488597,-26.498088158508786
37,-23.729201680000177,0.19751425823418062,-23.531687421765998
38,-8.918026240002394,20.62808331927452,11.710057079272126
39,-17.38846527999684,20.612924112263823,3.2244588322669827
40,-24.60541416001002,20.597715459768867,-4.0076987002411535
41,-22.25667511999547,20.582873316735306,-1.6738018032601651
42,-23.543037840012158,20.568380433212532,-2.9746574067996256
43,-18.51050647998889,20.55422077348407,2.043714293495178
44,-20.923937439997164,20.540379311631863,-0.38355812836530134
45,-22.16682672000039,20.526842082499815,-1.639984637500575
46,-26.35264224000847,20.513595999263632,-5.839046240744839
47,-26.696975039995433,20.50062880176065,-6.196346238234781
48,-28.160403840003386,20.48792898829975,-7.672474851703637
49,-25.098231680002172,20.47548575435985,-4.622745925642324
50,-26.027881199999744,20.463288937359117,-5.564592262640627
51,-33.969478719989596,20.45132896678747,-13.518149753202124
52,-22.69075719999808,20.43959681908924,-2.2511603809088427
53,-32.05798887999522,20.428083976763187,-11.629904903232035
54,-28.543410079992427,20.416782391215484,-8.126627688776942
55,-28.280756159997747,20.405684448959853,-7.875071711037894
56,-33.9908879999885,20.394782940809293,-13.596105059179209
57,-28.95246663998332,20.38407103374728,-8.568395606236042
58,-28.625201680008793,20.37354224520341,-8.251659434805383
59,-24.960246160008552,20.363190420103756,-4.597055739904796
60,-26.261142319997013,20.353009706842187,-5.908132613154827
61,-25.19677159999977,20.342994540953192,-4.853777059046578
62,-30.01874423999074,20.33313962461139,-9.685604615379347
63,-24.868445200000338,20.323439910268984,-4.545005289731353
64,-26.932020639996015,20.313890585167012,-6.6181300548290025
65,-27.79985487999336,20.304487056995832,-7.49536782299753
66,-25.657097280004187,20.29522494063363,-5.3618723393705565
67,-23.03073984000592,20.286100046260945,-2.7446397937449767
68,-24.141664800000726,20.277108366404175,-3.864556433596551
69,-26.9872423999946,20.268246067732896,-6.718996332261703
70,-25.300721919990284,20.25950947967155,-5.041212440318734
71,-24.77084311999887,20.250895085668088,-4.519948034330781
72,-28.054562239989025,20.24239951468329,-7.812162725305736
73,-28.641593440006105,20.234019533289004,-8.4075739067171
74,-31.55332624000578,20.22575203826728,-11.3275742017385
75,-31.14182031999736,20.217594049714197,-10.924226270283164
76,-29.933276400002573,20.209542704591616,-9.723733695410957
77,-23.53713799999864,20.201595250694915,-3.335542749303727
78,-26.99725111999283,20.193749046600974,-6.803502073391854
79,-29.573790400003833,20.18600153399194,-9.387788866011892
80,-26.68834752000543,20.178353342203867,-6.509994177801563
81,-25.245341919991155,20.170795957434354,-5.074545962556801
82,-26.018494240007378,20.163330179596684,-5.855164060410694
83,-24.515641759997212,20.155953814411507,-4.359687945585705
84,-24.066043839995423,20.148664745538753,-3.9173790944566704
85,-28.77593279999534,20.14146093088874,-8.634471869106598
86,-27.68106544000517,20.134340399198937,-7.546725040806233
87,-31.871631440006176,20.12730124679593,-11.744330193210246
88,-27.747354159999468,20.120341634540416,-7.627012525459051
89,-27.507514719999783,20.113459784942822,-7.39405493505696
90,-32.05247232000028,20.106653979438327,-11.94581834056195
91,-28.543604640011807,20.099922555810767,-8.44368208420104
92,-30.840220159999454,20.093263905755844,-10.74695625424361
93,-29.448001839988912,20.08667647257459,-9.36132536741432
94,-35.78182095999982,20.080158748988932,-15.701662211010888
95,-30.34913840000891,20.07370927507161,-10.2754291249373
96,-27.500079839995443,20.067326636283347,-7.432753203712096
97,-33.507093840005766,20.06100946161071,-13.446084378395057
98,-29.70066552000335,20.054756421798466,-9.645909098204886
99,-31.974620480002553,20.048566227670808,-11.926054252331745
100,-25.520004719997,20.04243762853607,-5.47756709146093
101,-33.440110880009314,20.036369410670076,-13.403741469339238
102,-31.997842959996774,20.0303603958734,-11.967482564123372
103,-30.740999679998524,20.02440944009843,-10.716590239900093
104,-28.810881119992406,20.018515432142035,-8.79236568785037
105,-28.55198231999644,20.01267729240021,-8.539305027596232
106,-34.21742584001389,20.006893971681272,-14.210531868332616
107,-29.19352928000403,20.00116445007417,-9.192364829929858
108,-21.804616879995002,19.995487735868917,-1.8091291441260857
109,-23.347343680003252,19.98986286453044,-3.3574808154728117
110,-27.2846749599965,19.98428889769906,-7.3003860622974415
111,-26.37629528000363,19.978764922274806,-6.397530357728826
112,-31.669615920007107,19.973290049503856,-11.696325870503252
113,-24.32266592000232,19.967863414124253,-4.354802505878066
114,-23.565800960002022,19.96248417354783,-3.6033167864541937
115,-31.345475039990248,19.95715150706478,-11.388323532925469
116,-29.750091759994852,19.951864615107507,-9.798227144887345
117,-25.20547583999274,19.946622718520942,-5.258853121471798
118,-24.931309200001966,19.94142505787585,-4.989884142126115
119,-29.845356000003644,19.936270892809112,-9.909085107194532
120,-28.414027200010587,19.93115950138907,-8.482867698621515
121,-34.14709855999015,19.926090179511156,-14.221008380478992
122,-28.794283679984595,19.921062240314157,-8.873221439670438
123,-30.50112016001619,19.916075013622134,-10.585045146394055
124,-25.939483679986488,19.911128953711806,-6.0283547262746815
125,-26.164591600005924,19.91294150645452,-6.2516500935514046
126,-33.97494631999895,19.908072555160125,-14.066873764838824
127,-27.220611280004476,19.90324179211209,-7.317369487892385
128,-30.51532335999415,19.898448622931756,-10.616874737062393
129,-26.44632672000365,19.89369246701012,-6.552634252993531
130,-29.154217440009003,19.88897275708579,-9.265244682923214
131,-26.665162799984856,19.884288938838942,-6.780873861145913
132,-26.163498560011355,19.879640470500632,-6.283858089510723
133,-31.44865688000784,19.87502682247673,-11.573630057531108
134,-28.02982527999482,19.870447476999892,-8.159377802994928
135,-27.282399519984963,19.86590192772461,-7.416497592260352
136,-17.48517311999202,27.148580963012467,9.663407843020448
137,-22.564598480004456,27.144106432943794,4.579507952939338
138,-16.189632319999692,28.2447596492961,12.055127329296408
139,-17.349264400007137,28.24034443999339,10.891080039986253
140,-17.982951999998942,29.138042989984214,11.155090989985272
141,-16.269572560004033,38.20705591671118,21.937483356707144
142,-18.85292800001288,38.20273365945579,19.349805659442907
143,-23.34076847998806,38.19844152270465,14.857673042716588
144,-23.543473199994796,38.19417908955995,14.650705889565156
145,-22.675222320006302,38.18994595171985,15.514723631713547
146,-24.91621367998819,38.18574170924375,13.26952802925556
147,-23.320077519998144,38.181565970325565,14.861488450327421
148,-19.158348159988265,38.17741835107462,19.019070191086357
149,-23.39534200000243,38.17329847530384,14.777956475301409
150,-23.049518560000305,38.169205974325,15.119687414324698
151,-16.662823200007182,38.16514048725162,21.502317287244438
152,-25.308783520002578,38.16110165880397,12.852318138801394
153,-27.217052160005156,38.157089142129024,10.940036982123868
154,-26.73499144000076,38.15310259661772,11.418111156616963
155,-29.04827183998931,38.149141688232326,9.100869848243015
156,-27.934908640001233,38.14520608933847,10.21029744933724
157,-25.806025680009633,38.141295478542524,12.335269798532892
158,-26.8529494399931,38.137409540534094,11.284460100540993
159,-23.63591448001028,38.13354796593349,14.49763348592321
160,-26.282929999998267,38.12971045114387,11.846780451145605
161,-19.610354640004555,38.125896698208045,18.51554205820349
162,-20.781991919992407,38.122106414669645,17.340114494677238
163,-22.346691359993038,38.11833931343853,15.771647953445495
164,-22.685726399989505,38.114595112660346,15.428868712670841
165,-27.375419519996424,38.11087353558988,10.735454015593458
