,time,Teq_lig1
0,0.0,310.166962
1,1.0,303.48465
2,2.0,309.075775
3,3.0,309.61676
4,4.0,310.352936
5,5.0,311.564301
6,6.0,308.773651
7,7.0,310.437073
8,8.0,311.517761
9,9.0,309.517181
10,10.0,310.692383
11,11.0,309.783752
12,12.0,309.324799
13,13.0,310.544708
14,14.0,310.3255
15,15.0,308.747437
16,16.0,309.710602
17,17.0,310.314697
18,18.0,310.720459
19,19.0,310.186798
20,20.0,310.534943
21,21.0,310.282501
22,22.0,310.724731
23,23.0,309.374054
24,24.0,309.739777
25,25.0,310.310425
26,26.0,309.075348
27,27.0,310.012543
28,28.0,309.823639
29,29.0,310.210968
30,30.0,310.33847
31,31.0,309.618805
32,32.0,310.626801
33,33.0,309.882874
34,34.0,310.93512
35,35.0,310.544342
36,36.0,309.925568
37,37.0,309.083618
38,38.0,310.12085
39,39.0,309.782715
40,40.0,309.798279
41,41.0,310.01062
42,42.0,309.828003
43,43.0,310.049835
44,44.0,310.604034
45,45.0,310.615326
46,46.0,309.5625
47,47.0,309.901642
48,48.0,309.076935
49,49.0,310.230804
50,50.0,309.90799
51,51.0,309.516602
52,52.0,311.173004
53,53.0,309.080536
54,54.0,309.658875
55,55.0,311.240875
56,56.0,310.436523
57,57.0,310.372589
58,58.0,309.563171
59,59.0,310.435028
60,60.0,309.889893
61,61.0,310.838867
62,62.0,309.657532
63,63.0,309.180176
64,64.0,309.705231
65,65.0,310.002686
66,66.0,310.449829
67,67.0,309.472351
68,68.0,309.28894
69,69.0,309.334381
70,70.0,309.535309
71,71.0,310.454437
72,72.0,310.024445
73,73.0,310.321472
74,74.0,309.57309
75,75.0,310.453552
76,76.0,309.927246
77,77.0,309.925446
78,78.0,309.792206
79,79.0,309.568573
80,80.0,310.263916
81,81.0,309.308075
82,82.0,311.14212
83,83.0,309.53363
84,84.0,309.324219
85,85.0,309.997223
86,86.0,310.571411
87,87.0,308.90094
88,88.0,307.949158
89,89.0,310.303314
90,90.0,309.71579
91,91.0,310.881683
92,92.0,310.786377
93,93.0,311.406647
94,94.0,310.697266
95,95.0,310.848511
96,96.0,309.861786
97,97.0,309.749176
98,98.0,310.424072
99,99.0,310.281769
100,100.0,310.711151
