,BOND,ANGLE,DIHED,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Interaction entropy
0,-3.1086244689504383e-12,-9.99999994419909e-05,3.055333763768431e-13,-55.84990000000062,92.23649999999932,-85.38120000000168,-7.069834800000015,36.3864999999963,-92.45103480000203,-56.06453480000539,0.0
1,-7.620570841027074e-13,-9.999999966225914e-05,-1.2789769243681803e-13,-53.174800000000076,98.58670000000234,-81.15399999999958,-7.330361039999967,45.411800000003,-88.48436103999973,-43.07256103999656,4.08613237563154
2,-9.999999935317305e-05,4.547473508864641e-13,-5.684341886080802e-14,-48.904600000000556,110.94049999999703,-98.5431000000002,-6.910617600000008,62.03580000000244,-105.4537176000006,-43.417917599997764,13.414443782199902
3,6.057376822354854e-13,5.897504706808832e-13,-4.121147867408581e-13,-51.12139999999987,125.18039999999749,-113.96099999999868,-6.2703719999999565,74.05879999999681,-120.2313719999976,-46.17257200000182,18.73181205344883
4,5.879741138414829e-13,-1.0302869668521453e-12,7.887024366937112e-13,-54.26520000000008,121.39480000000285,-104.87520000000043,-6.583174559999966,67.12959999999579,-111.45837455999988,-44.32877456000466,18.594373802620876
5,1.3855583347321954e-13,-7.105427357601002e-15,3.268496584496461e-13,-51.1596999999997,89.13529999999395,-83.04809999999988,-6.9825535200000255,37.97549999998908,-90.0306535200007,-52.055153520010705,18.482078467752196
6,6.004086117172847e-13,1.9895196601282805e-13,-6.039613253960852e-13,-49.59100000000019,95.32340000000417,-89.04610000000054,-6.949809359999935,45.73240000000423,-95.99590936000064,-50.26350935999629,18.387134114951394
7,0.00010000000050602864,6.252776074688882e-13,9.99999993922529e-05,-45.70359999999949,83.72419999999795,-78.44840000000036,-6.146633520000009,38.02079999999057,-84.59503352000094,-46.5742335200098,18.304889575611494
8,-2.1529444893531036e-12,-2.842170943040401e-14,-9.876544027065393e-13,-48.96970000000017,119.814599999997,-105.43790000000038,-6.443699040000024,70.84489999999282,-111.88159904000013,-41.03669904000776,18.264266207364553
9,0.00010000000017384991,-0.00010000000036569645,-5.115907697472721e-13,-49.37239999999961,116.03070000000537,-103.98900000000157,-6.986923920000018,66.65830000000994,-110.97592392000159,-44.31762391999165,18.199376473392295
10,4.600764214046649e-13,9.450218385609332e-13,-1.2789769243681803e-12,-51.700799999999745,99.1789000000062,-93.71010000000064,-6.712329600000056,47.47810000000868,-100.42242959999922,-52.9443295999919,18.140673110247935
11,-4.938272013532696e-13,1.0729195309977513e-12,-4.902744876744691e-13,-45.99130000000021,94.93720000000408,-89.05069999999921,-6.909704640000023,48.945900000002965,-95.9604046399997,-47.014504639996275,18.087081138523615
12,1.3855583347321954e-12,-9.947598300641403e-13,-1.4281908988778014e-12,-49.248300000000356,108.02969999999857,-101.99380000000008,-6.420864960000026,58.78140000000276,-108.41466496000011,-49.63326495999735,18.037781303579678
13,-2.0552448631860898e-12,-7.815970093361102e-14,0.00010000000114729346,-49.048600000000164,101.9053999999991,-92.16730000000005,-6.816095280000009,52.856900000002895,-98.98339527999984,-46.126495279996945,17.992136785752063
14,-2.9096725029376103e-12,1.6768808563938364e-12,3.197442310920451e-13,-48.7180000000003,96.1919999999989,-84.05409999999937,-6.66728927999997,47.47389999999996,-90.72138927999791,-43.24748927999943,17.949642756283378
15,-0.00010000000023779876,2.2737367544323206e-13,-4.547473508864641e-13,-43.986900000000155,109.6259999999933,-103.64740000000032,-6.291971280000001,65.63899999999059,-109.93937127999986,-44.30037128000967,17.909893507351526
16,-6.394884621840902e-14,-9.308109838457312e-13,-4.263256414560601e-13,-42.68470000000026,87.175499999995,-79.21860000000005,-6.710285519999963,44.4907000000058,-85.92888551999938,-41.43818551999426,17.87255364294999
17,2.403410803708539e-12,1.3073986337985843e-12,9.999999969068085e-05,-43.455100000000186,91.72400000000096,-86.51259999999998,-6.082431119999989,48.2689000000055,-92.59503112000105,-44.32613111999447,17.837348682354058
18,0.0001000000023516634,-9.999999963383743e-05,-9.999999996068709e-05,-42.79960000000081,86.38550000000009,-85.38630000000025,-6.055307279999977,43.585800000008646,-91.44160728000023,-47.85580727999158,17.804047646400168
19,-6.004086117172847e-13,5.968558980384842e-13,4.760636329592671e-13,-44.01820000000015,97.73950000000306,-87.91919999999962,-6.21912096,53.721299999993676,-94.13832095999905,-40.41702096000594,17.77245512508208
20,-3.836930773104541e-13,9.876544027065393e-13,2.7000623958883807e-13,-46.628599999999764,79.51660000000419,-75.82339999999955,-6.509671920000025,32.888000000007196,-82.33307191999884,-49.445071919992444,17.7424043295533
21,9.999999873677723e-05,-1.4708234630234074e-12,-9.999999958409944e-05,-47.588599999999886,102.23350000000016,-95.37720000000049,-6.218852400000008,54.64489999999368,-101.59605240000128,-46.95115240000686,17.713751761938433
22,0.00010000000229304362,1.1510792319313623e-12,1.2221335055073723e-12,-51.7761999999992,99.3299000000006,-82.37890000000087,-7.050765599999976,47.5538000000047,-89.42966559999965,-41.875865599996146,17.686373070953273
23,-1.3447021274259896e-12,-3.268496584496461e-13,4.334310688136611e-13,-51.53760000000011,104.68750000000014,-92.35559999999879,-6.685171200000037,53.14990000000378,-99.0407711999986,-45.89087119999505,17.66015979021419
24,-0.00010000000136223264,1.0800249583553523e-12,4.831690603168681e-13,-53.49339999999996,88.98040000000489,-78.93889999999983,-6.802713359999985,35.48680000000422,-85.7416133599988,-50.25481335999571,17.63501674281338
