,BOND,ANGLE,DIHED,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Interaction entropy
0,-6.163958232718869e-13,5.968558980384842e-13,1.1297629498585593e-12,-31.890600000000454,-30.136000000001523,55.89629999999908,-4.029764400000003,-62.02660000000026,51.86653559999811,-10.160064400001183,0.0
1,6.927791673660977e-13,9.999999966936457e-05,2.2026824808563106e-13,-36.77770000000038,-27.142400000000826,54.85900000000032,-4.232373840000017,-63.91989999999434,50.62662616000201,-13.29327383999415,-0.3069600936444171
2,1.0480505352461478e-13,-0.00010000000002463594,-5.968558980384842e-13,-34.31299999999981,-26.33430000000318,53.4420999999993,-4.285079999999953,-60.64730000000506,49.157019999998724,-11.490280000005768,0.9315575901696959
3,-9.999999966225914e-05,1.6342482922482304e-13,-9.999999948462346e-05,-38.52089999999952,-45.72610000000371,68.67630000000051,-4.73262840000001,-84.24730000000264,63.94367160000157,-20.303628400002204,0.7543686980290943
4,1.7177370637000422e-12,-8.384404281969182e-13,-5.471179065352771e-13,-38.28859999999998,-31.623399999998092,58.544099999999176,-4.821190559999975,-69.91209999999626,53.722909439998745,-16.18919055999706,0.6195161487044416
5,-2.5490720645393594e-12,4.476419235288631e-13,3.979039320256561e-13,-31.738999999999898,-49.93279999999872,70.62290000000094,-4.09428072000001,-81.6718000000083,66.52861928000098,-15.143180720007432,0.5072208143471294
6,-9.999999905829782e-05,6.110667527536862e-13,-2.877698079828406e-13,-31.556300000000277,-51.48160000000113,68.88520000000008,-4.179716640000013,-83.03799999999606,64.70548336000017,-18.332516639995998,0.41227646258869516
7,-4.547473508864641e-13,-3.339550858072471e-13,-1.637801005927031e-12,-36.6086999999994,-43.181099999993855,63.66919999999941,-4.750301520000051,-79.78979999999255,58.91889848000061,-20.870901519993197,0.3300328706776185
8,-1.3553602684623911e-12,-9.627854069549358e-13,-8.171241461241152e-13,-39.411299999999464,-38.31509999999827,61.443300000000576,-4.430057039999999,-77.72640000001263,57.013242960000234,-20.713157040012053,0.2575496324838676
9,0.00010000000066767711,9.237055564881302e-14,-4.334310688136611e-13,-28.468700000000485,-67.24999999999793,75.55949999999987,-4.377224880000025,-95.71849999999415,71.1822751199999,-24.536224879994304,0.19265607521184772
10,-1.0373923942097463e-12,-2.2737367544323206e-13,1.7053025658242404e-13,-38.54020000000003,-62.73220000000149,76.28550000000112,-4.22490671999999,-101.27250000000028,72.0605932800012,-29.21190671999908,0.1339527120674866
11,2.3092638912203256e-14,9.999999933540948e-05,2.0250467969162855e-13,-36.11450000000027,-63.57239999999837,79.33600000000023,-4.077765359999974,-99.68670000000989,75.25823464000048,-24.428465360009866,0.0803607403431682
12,4.707345624410664e-13,-1.8474111129762605e-13,-1.4210854715202004e-14,-33.346599999999796,-51.398799999994495,69.54089999999923,-3.8789711999999996,-84.74529999999739,65.66192879999927,-19.08337119999811,0.031096098108889306
13,-2.0676793610618915e-12,-1.0231815394945443e-12,-2.842170943040401e-14,-30.371899999999783,-57.404699999997774,71.26880000000006,-3.594276000000008,-87.77660000000915,67.67452400000005,-20.1020760000091,-0.014547812089539699
14,-9.999999765497591e-05,9.805489753489383e-13,8.526512829121202e-14,-29.323100000000103,-58.032700000000894,69.29159999999958,-3.935846159999979,-87.35579999998636,65.35575383999965,-22.00004615998682,-0.05703941362228489
15,-1.9380053117856733e-12,9.999999910803581e-05,-9.999999829801709e-05,-34.6279999999997,-60.539500000003244,76.87089999999857,-4.192477919999969,-95.16760000001062,72.67842207999905,-22.489177920012022,-0.09678992346273305
16,-2.438937940496544e-12,-9.999999912224666e-05,-9.999999872789544e-05,-32.367199999999876,-58.88369999999793,65.94529999999925,-3.976099199999976,-91.2512000000015,61.9692007999995,-29.28199920000223,-0.13412974557033386
17,-3.4994229736184934e-13,1.7053025658242404e-13,-3.552713678800501e-15,-30.42349999999973,-54.888299999997955,71.76869999999948,-3.9294540000000273,-85.31180000000235,67.8392460000002,-17.472554000002894,-0.1685102963696362
18,1.7994494783124537e-12,5.542233338928781e-13,-1.5560885913146194e-12,-33.21909999999986,-67.45730000000114,76.7576000000004,-4.19016024000001,-100.67639999999861,72.56743976000112,-28.108960239998176,-0.20181133232347048
19,-2.346567384847731e-12,-8.633094239485217e-13,-7.460698725481052e-14,-33.280900000000436,-56.99580000000029,70.83089999999953,-4.000774319999998,-90.27660000000272,66.8301256799985,-23.44647432000319,-0.23340183275172804
20,9.99999982891353e-05,9.999999928211878e-05,0.00010000000003884679,-27.98380000000006,-72.74199999999766,80.30110000000032,-3.760938000000059,-100.72550000000146,76.54016200000072,-24.185338000001202,-0.26345262828019633
21,4.956035581926699e-13,-9.999999963383743e-05,-1.0658141036401503e-14,-31.708999999999925,-68.10500000000329,80.99589999999961,-4.04820359999998,-99.81410000000909,76.94769639999922,-22.866403600009413,-0.2921051958916425
22,7.638334409421077e-14,4.440892098500626e-13,-1.3145040611561853e-12,-30.625799999999554,-58.70429999999849,72.1561000000005,-3.703022640000043,-89.33009999999977,68.45307736000086,-20.877022639999254,-0.3193509435301054
23,-0.00010000000223442385,9.9999999651601e-05,2.0605739337042905e-13,-34.29049999999948,-59.050500000001456,70.77390000000099,-3.9586809599999686,-93.34100000000515,66.81521904000036,-26.52578096000412,-0.34556389412865507
24,-2.893685291383008e-12,8.384404281969182e-13,-0.0001000000005859647,-30.97270000000023,-63.64799999999607,73.92219999999955,-3.828529440000012,-94.62079999999156,70.09367055999948,-24.527129439991974,-0.3707068694587852
25,-3.318234575999668e-12,9.999999996779252e-05,-1.3500311979441904e-13,-30.584100000000756,-60.10690000000396,74.29820000000015,-3.883905359999953,-90.6908000000028,70.41429463999958,-20.276505360002542,-0.39480804649366513
26,4.440892098500626e-13,-5.506706202140776e-13,-5.897504706808832e-13,-34.61290000000005,-58.926099999994015,76.09390000000087,-4.084614719999984,-93.53899999999484,72.00928528000141,-21.52971471999389,-0.4180522068511162
27,-2.405187160547939e-12,1.4210854715202004e-14,-0.00010000000117571517,-26.027199999999382,-61.952499999998146,76.05910000000156,-3.890115360000009,-87.97979999999481,72.16898464000082,-15.8108153599932,-0.43311886923926574
28,2.467359649926948e-12,-9.999999997489795e-05,7.958078640513122e-13,-32.96109999999986,-57.832900000004635,64.71950000000089,-3.9217773600000116,-90.79410000000928,60.79772264000104,-29.99637736000835,-0.4546381499065817
29,1.5187850976872141e-12,-7.105427357601002e-14,5.542233338928781e-13,-33.6052000000004,-52.58990000000053,67.20250000000019,-3.741935760000004,-86.1951000000034,63.46056424000002,-22.73453576000339,-0.33518321585512184
