,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
90,180.csv : ,1,-7.00,-6.74,11,4
109,198.csv : ,1,-7.03,-6.64,14,30
46,140.csv : ,1,-7.11,-7.00,26,10
422,60.csv : ,1,-7.13,-6.85,11,38
73,165.csv : ,1,-7.23,-6.71,34,28
44,139.csv : ,1,-7.30,-7.20,50,38
106,195.csv : ,1,-7.33,-6.98,41,22
47,141.csv : ,1,-7.42,-7.03,24,46
271,343.csv : ,1,-7.44,-7.24,27,21
29,125.csv : ,1,-7.48,-6.87,12,3
100,19.csv : ,1,-7.58,-7.04,26,48
28,124.csv : ,1,-7.59,-7.56,34,41
358,421.csv : ,1,-7.63,-7.57,46,42
192,272.csv : ,1,-7.70,-7.61,50,50
14,111.csv : ,1,-7.71,-7.26,40,48
72,164.csv : ,1,-7.72,-7.60,50,19
197,277.csv : ,1,-7.74,-7.44,22,43
191,271.csv : ,1,-7.75,-7.66,49,35
71,163.csv : ,1,-7.75,-7.70,49,38
11,109.csv : ,1,-7.76,-7.59,41,42
123,21.csv : ,1,-7.79,-7.43,25,4
310,379.csv : ,1,-7.81,-7.70,47,6
112,20.csv : ,1,-7.86,-7.51,26,2
182,263.csv : ,1,-7.87,-7.32,31,10
185,266.csv : ,1,-7.89,-7.63,35,39
198,278.csv : ,1,-7.90,-7.44,48,10
70,162.csv : ,1,-7.92,-7.30,28,41
86,177.csv : ,1,-7.95,-7.70,50,43
186,267.csv : ,1,-7.96,-7.63,14,21
184,265.csv : ,1,-7.96,-7.64,46,9
193,273.csv : ,1,-7.97,-7.25,43,10
174,256.csv : ,1,-7.98,-7.75,42,38
20,117.csv : ,1,-7.99,-7.55,41,50
412,51.csv : ,1,-8.00,-7.30,15,23
206,285.csv : ,1,-8.00,-7.29,34,31
13,110.csv : ,1,-8.00,-7.84,19,2
444,80.csv : ,1,-8.03,-7.87,20,1
371,433.csv : ,1,-8.04,-7.37,17,7
359,422.csv : ,1,-8.06,-7.69,37,2
272,344.csv : ,1,-8.07,-7.82,46,21
370,432.csv : ,1,-8.08,-7.37,28,7
110,199.csv : ,1,-8.09,-7.87,30,48
75,167.csv : ,1,-8.10,-7.78,7,47
87,178.csv : ,1,-8.12,-7.92,29,2
330,397.csv : ,1,-8.14,-8.09,14,5
84,175.csv : ,1,-8.15,-7.96,45,12
76,168.csv : ,1,-8.15,-7.77,27,24
114,201.csv : ,1,-8.16,-7.80,30,49
207,286.csv : ,1,-8.16,-8.09,22,1
113,200.csv : ,1,-8.16,-8.05,47,43
431,69.csv : ,1,-8.16,-7.71,42,39
372,434.csv : ,1,-8.17,-8.08,49,12
429,67.csv : ,1,-8.18,-8.06,49,44
85,176.csv : ,1,-8.20,-7.81,30,21
176,258.csv : ,1,-8.20,-7.89,10,44
273,345.csv : ,1,-8.21,-7.97,22,4
336,401.csv : ,1,-8.22,-8.01,24,16
208,287.csv : ,1,-8.22,-8.05,50,7
19,116.csv : ,1,-8.25,-8.08,13,47
332,399.csv : ,1,-8.25,-8.08,46,33
337,402.csv : ,1,-8.26,-7.98,36,23
360,423.csv : ,1,-8.26,-7.72,49,3
378,44.csv : ,1,-8.26,-7.77,9,38
16,113.csv : ,1,-8.27,-7.87,22,32
419,58.csv : ,1,-8.27,-7.88,41,4
373,435.csv : ,1,-8.29,-7.90,26,43
369,431.csv : ,1,-8.30,-7.87,33,19
111,2.csv : ,1,-8.31,-7.99,4,27
17,114.csv : ,1,-8.31,-7.86,24,22
56,15.csv : ,1,-8.31,-7.57,3,50
170,252.csv : ,1,-8.32,-7.60,37,9
96,186.csv : ,1,-8.33,-7.93,30,21
331,398.csv : ,1,-8.34,-8.21,12,40
104,193.csv : ,1,-8.34,-8.23,50,23
386,447.csv : ,1,-8.35,-7.26,11,6
205,284.csv : ,1,-8.37,-7.57,25,42
129,215.csv : ,1,-8.39,-7.85,22,27
442,79.csv : ,1,-8.39,-8.33,30,22
266,339.csv : ,1,-8.41,-8.02,26,3
103,192.csv : ,1,-8.42,-7.74,14,33
143,228.csv : ,1,-8.42,-8.24,5,49
312,380.csv : ,1,-8.44,-7.71,49,32
80,171.csv : ,1,-8.44,-7.72,27,27
430,68.csv : ,1,-8.46,-8.16,19,1
183,264.csv : ,1,-8.46,-8.37,40,48
409,49.csv : ,1,-8.46,-7.50,34,15
313,381.csv : ,1,-8.47,-7.88,49,44
142,227.csv : ,1,-8.48,-8.02,28,36
411,50.csv : ,1,-8.48,-7.80,37,42
65,158.csv : ,1,-8.49,-7.65,11,9
116,203.csv : ,1,-8.50,-7.95,19,18
95,185.csv : ,1,-8.52,621370.30,27,21
30,126.csv : ,1,-8.53,-8.02,29,26
15,112.csv : ,1,-8.53,-8.01,28,14
130,216.csv : ,1,-8.53,-7.95,27,36
263,336.csv : ,1,-8.54,-8.21,30,26
