,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
83,174.csv : ,1,-10.00,-9.65,12,48
115,202.csv : ,1,-10.01,-9.88,38,29
263,57.csv : ,1,-10.02,-9.64,23,7
180,261.csv : ,1,-10.04,-9.54,25,7
135,220.csv : ,1,-10.05,-9.91,40,5
25,121.csv : ,1,-10.06,-9.05,29,29
134,22.csv : ,1,-10.06,-9.18,6,39
196,276.csv : ,1,-10.06,-9.39,25,35
151,235.csv : ,1,-10.06,-9.31,10,43
195,275.csv : ,1,-10.08,-9.37,15,29
129,215.csv : ,1,-10.08,-9.36,23,24
298,89.csv : ,1,-10.09,-9.12,32,36
205,284.csv : ,1,-10.10,-9.78,13,44
204,283.csv : ,1,-10.13,-9.68,20,39
125,211.csv : ,1,-10.15,-9.39,13,50
278,70.csv : ,1,-10.16,-9.65,8,33
19,116.csv : ,1,-10.19,-8.93,10,2
44,139.csv : ,1,-10.20,-9.52,34,11
152,236.csv : ,1,-10.23,-9.37,9,15
119,206.csv : ,1,-10.24,-9.59,16,12
241,37.csv : ,1,-10.26,-9.11,29,8
62,155.csv : ,1,-10.26,-9.53,3,4
248,43.csv : ,1,-10.30,-9.39,5,37
213,291.csv : ,1,-10.31,-10.13,35,39
214,292.csv : ,1,-10.31,-10.19,35,36
72,164.csv : ,1,-10.33,-9.76,3,27
302,92.csv : ,1,-10.34,-9.31,33,32
70,162.csv : ,1,-10.36,-9.78,17,12
46,140.csv : ,1,-10.38,-8.91,5,7
274,67.csv : ,1,-10.39,-9.17,14,31
63,156.csv : ,1,-10.39,-9.37,8,4
57,150.csv : ,1,-10.40,-8.90,14,4
309,99.csv : ,1,-10.41,-9.15,20,21
275,68.csv : ,1,-10.43,-9.79,34,49
67,16.csv : ,1,-10.43,-8.82,11,18
297,88.csv : ,1,-10.47,-9.36,26,22
77,169.csv : ,1,-10.51,-9.84,5,12
118,205.csv : ,1,-10.54,-9.91,29,6
56,15.csv : ,1,-10.55,-9.48,26,4
126,212.csv : ,1,-10.55,-9.64,12,39
276,69.csv : ,1,-10.55,-10.16,44,49
60,153.csv : ,1,-10.56,-9.79,15,16
270,63.csv : ,1,-10.57,-9.74,23,50
124,210.csv : ,1,-10.57,-9.25,5,28
73,165.csv : ,1,-10.57,-9.84,29,29
69,161.csv : ,1,-10.59,-10.46,2,37
201,280.csv : ,1,-10.61,-10.45,37,28
199,279.csv : ,1,-10.62,-10.52,36,42
182,263.csv : ,1,-10.62,-10.00,23,29
53,147.csv : ,1,-10.63,-10.23,2,41
200,28.csv : ,1,-10.64,-9.74,2,32
78,17.csv : ,1,-10.67,-9.28,38,17
300,90.csv : ,1,-10.67,-9.86,48,47
66,159.csv : ,1,-10.68,-10.10,6,26
179,260.csv : ,1,-10.68,-9.75,8,5
167,25.csv : ,1,-10.69,-9.45,3,39
192,272.csv : ,1,-10.69,-10.64,47,15
61,154.csv : ,1,-10.70,-9.56,19,2
155,239.csv : ,1,-10.73,-9.34,20,47
48,142.csv : ,1,-10.73,-9.75,16,19
162,245.csv : ,1,-10.77,-9.49,5,8
89,18.csv : ,1,-10.77,-9.76,22,9
120,207.csv : ,1,-10.81,-9.61,10,7
301,91.csv : ,1,-10.81,-9.75,33,33
51,145.csv : ,1,-10.82,-9.29,11,50
197,277.csv : ,1,-10.83,-10.75,13,49
74,166.csv : ,1,-10.89,-9.32,9,46
55,149.csv : ,1,-10.94,-10.36,18,37
52,146.csv : ,1,-10.95,-9.30,12,28
266,6.csv : ,1,-10.96,-10.96,1,17
6,104.csv : ,1,-11.10,-10.72,11,12
5,103.csv : ,1,-11.12,-10.53,6,7
130,216.csv : ,1,-11.13,-10.69,3,10
68,160.csv : ,1,-11.18,-10.77,3,3
189,27.csv : ,1,-11.20,-10.57,6,39
177,259.csv : ,1,-11.38,-10.31,18,47
12,11.csv : ,1,-11.47,-10.91,7,44
23,12.csv : ,1,-11.49,-10.79,18,42
255,5.csv : ,1,-11.69,-11.12,15,29
156,24.csv : ,1,-12.31,-10.41,2,34
24,120.csv : ,1,-6.70,-6.30,26,27
91,181.csv : ,1,-6.75,-6.67,49,34
95,185.csv : ,1,-7.14,-6.89,42,1
92,182.csv : ,1,-7.22,-7.03,32,1
103,192.csv : ,1,-7.25,-6.92,48,9
35,130.csv : ,1,-7.26,-6.93,40,49
304,94.csv : ,1,-7.42,-7.19,49,44
76,168.csv : ,1,-7.45,-7.26,41,14
144,229.csv : ,1,-7.52,-7.34,32,9
172,254.csv : ,1,-7.57,-7.26,27,14
102,191.csv : ,1,-7.65,-7.33,34,4
99,189.csv : ,1,-7.66,-7.35,36,29
212,290.csv : ,1,-7.67,-7.24,33,19
13,110.csv : ,1,-7.70,-7.61,50,49
11,109.csv : ,1,-7.76,-7.69,49,6
171,253.csv : ,1,-7.78,-7.69,45,18
281,73.csv : ,1,-7.81,-7.69,38,46
45,14.csv : ,1,-7.83,541193.51,31,26
185,266.csv : ,1,-7.84,-7.73,47,14
101,190.csv : ,1,-7.85,-7.20,25,47
292,83.csv : ,1,-7.87,-7.46,13,45
41,136.csv : ,1,-7.88,-7.18,29,45
85,176.csv : ,1,-7.89,-7.14,25,2
15,112.csv : ,1,-7.94,-7.53,6,17
303,93.csv : ,1,-8.00,-7.30,45,25
