"Index","pIC50"
10,9.81868721095778
187,9.81868721095778
192,8.83681616691887
190,8.82733133519292
12,8.491251762151
172,8.09179668190404
189,8.08744393372704
191,7.24105721834795
362,6.01190570365812
59,5.92799978312732
144,5.87757418620913
68,5.82296220853077
426,5.76104453737575
143,5.73671885561183
62,5.69360361668449
128,5.59414882748311
129,5.55023576496122
121,5.52250051491643
123,5.46305277359089
43,5.39986215195222
127,5.37292777427958
44,5.34376783441547
130,5.30114008581008
54,5.28264294068302
45,5.270356945371
60,5.24679739295513
159,5.24124706711591
1,5.19520964171027
310,5.18452867323693
122,5.16982421339757
58,5.14285079547665
25,5.11688841792652
376,4.9376237262641
425,4.91363884233151
164,4.89714326618123
242,4.89692806337099
84,4.88606581148764
11,4.88082430622388
188,4.86374551065322
461,4.84359197957788
243,4.83503492220512
31,4.81332878906768
32,4.81332878906768
388,4.81254542913084
26,4.78042682678299
241,4.72631690261269
312,4.7110692558468
83,4.71064074528532
33,4.69942003161498
106,4.6657372990526
173,4.63788802755232
207,4.63141702136593
88,4.60407889882537
93,4.59577030494453
205,4.57648656089588
311,4.55318968849339
147,4.5262599029152
314,4.50564946830284
377,4.50113038683773
389,4.48845479644121
462,4.48261970724923
352,4.47822892231767
91,4.47795242830005
396,4.46092043171941
162,4.45958594377774
145,4.4579263017172
238,4.45259864483811
385,4.44842890769885
90,4.42426167924564
27,4.4172099896192
272,4.41623109321857
288,4.41424814350148
353,4.41370104005754
392,4.41259168466426
47,4.40950047943114
154,4.40800919931189
287,4.3789360483401
53,4.36972870857922
378,4.36609921974382
73,4.35536110220842
75,4.3416459658077
260,4.34072592832838
52,4.33788149042891
46,4.32711625158068
348,4.31937764955026
346,4.31919376303224
313,4.311263314403
142,4.30783820235979
395,4.30664063300572
174,4.29430968201656
354,4.28528843919466
108,4.28418133081745
306,4.28071879558906
369,4.27763531882666
156,4.2680558657956
390,4.26761908425482
155,4.26557609282464
48,4.26480988238248
28,4.2586277796235
30,4.2586277796235
321,4.25601629274246
355,4.25361180404847
368,4.25127564339943
89,4.24836414248303
318,4.24286486795397
74,4.24274677449588
22,4.23809662750759
336,4.22079226957661
291,4.21873121153822
24,4.20870179443954
87,4.20437766741993
