Ligand,Affinity
Lig100,-5.10182381
Lig100,-4.88299036
Lig100,-4.77065372
Lig100,-4.42559195
Lig100,-4.42318964
Lig100,-4.19477034
Lig100,-4.14469671
Lig100,-3.99244881
Lig100,-3.98699784
Lig100,-3.95456123
Lig100,-3.95206046
Lig100,-3.87633777
Lig100,-3.87284923
Lig100,-3.79458117
Lig100,-3.74380422
Lig100,-3.72605872
Lig100,-3.6899519
Lig100,-3.54064441
Lig100,-3.51712823
Lig100,-3.45383978
Lig100,-3.43187165
Lig100,-3.38525176
Lig100,-3.35890317
Lig100,-3.3414762
Lig100,-3.28292894
Lig100,-3.27512813
Lig100,-3.22237825
Lig100,-3.14219832
Lig100,-3.11618471
Lig100,-3.05460048
Lig100,-3.02566838
Lig100,-3.00899911
Lig100,-3.00542903
Lig100,-2.98522997
Lig100,-2.96883035
Lig100,-2.96312547
Lig100,-2.95046902
Lig100,-2.90487885
Lig100,-2.88472533
Lig100,-2.86993003
Lig100,-2.8621192
Lig100,-2.82018805
Lig100,-2.81546402
Lig100,-2.81445479
Lig100,-2.79257751
Lig100,-2.69451284
Lig100,-2.6572361
Lig100,-2.6552937
Lig100,-2.60404468
Lig100,-2.56475949
Lig101,-5.53879881
Lig101,-5.37107563
Lig101,-4.5225668
Lig101,-4.51958609
Lig101,-4.44797182
Lig101,-4.44153881
Lig101,-4.43811369
Lig101,-4.39547729
Lig101,-4.39340067
Lig101,-4.36274958
Lig101,-4.35442066
Lig101,-4.30952215
Lig101,-4.22839212
Lig101,-4.14378548
Lig101,-4.09589005
Lig101,-4.0806756
Lig101,-4.02279949
Lig101,-4.01463079
Lig101,-3.95241356
Lig101,-3.93754745
Lig101,-3.92512059
Lig101,-3.89102602
Lig101,-3.88021731
Lig101,-3.87986684
Lig101,-3.86552501
Lig101,-3.7852962
Lig101,-3.77075052
Lig101,-3.75309944
Lig101,-3.74360919
Lig101,-3.67805171
Lig101,-3.6283145
Lig101,-3.57885456
Lig101,-3.54005599
Lig101,-3.53380132
Lig101,-3.4926064
Lig101,-3.46955776
Lig101,-3.46776056
Lig101,-3.45053339
Lig101,-3.43278146
Lig101,-3.34887457
Lig101,-3.33115625
Lig101,-3.33105779
Lig101,-3.30588102
Lig101,-3.2673223
Lig101,-3.23702931
Lig101,-3.18850589
Lig101,-3.11723685
Lig101,-3.09984231
Lig102,-4.99737597
Lig102,-4.96194935
Lig102,-4.92319965
Lig102,-4.74335384
Lig102,-4.64326715
Lig102,-4.16098356
Lig102,-4.08739662
Lig102,-4.07158232
Lig102,-4.02264643
Lig102,-3.95328236
Lig102,-3.9343822
Lig102,-3.88739038
Lig102,-3.86359477
Lig102,-3.85471463
Lig102,-3.83285236
Lig102,-3.80157566
Lig102,-3.79052091
Lig102,-3.78537917
Lig102,-3.67970228
Lig102,-3.66165209
Lig102,-3.64486313
Lig102,-3.6152184
Lig102,-3.53099871
Lig102,-3.46815038
Lig102,-3.45652723
Lig102,-3.45496845
Lig102,-3.43858957
Lig102,-3.40961647
Lig102,-3.40592575
Lig102,-3.40231991
Lig102,-3.39887428
Lig102,-3.3660531
Lig102,-3.33253908
Lig102,-3.25083923
Lig102,-3.19858217
Lig102,-3.14535594
Lig102,-3.10550141
Lig102,-3.04751778
Lig102,-3.01197457
Lig102,-3.00414658
Lig102,-2.97291255
Lig102,-2.95288658
Lig102,-2.93052578
Lig102,-2.92972755
Lig102,-2.91711497
Lig102,-2.82574391
Lig102,-2.79852891
Lig102,-2.72399902
Lig102,-2.7169652
Lig103,-5.42406607
Lig103,-5.06212902
Lig103,-5.04408646
Lig103,-4.94324636
Lig103,-4.63452959
Lig103,-4.57470226
Lig103,-4.53148937
Lig103,-4.45624304
Lig103,-4.41867971
Lig103,-4.3705616
Lig103,-4.2600956
Lig103,-4.12360096
Lig103,-3.92216349
Lig103,-3.89319992
Lig103,-3.88888144
Lig103,-3.76751542
Lig103,-3.67040133
Lig103,-3.65422821
Lig103,-3.61758685
Lig103,-3.60208273
Lig103,-3.60019827
Lig103,-3.55779886
Lig103,-3.55484486
Lig103,-3.53590989
Lig103,-3.52108097
Lig103,-3.48868394
Lig103,-3.47161245
Lig103,-3.47030234
Lig103,-3.42312956
Lig103,-3.37824106
Lig103,-3.36016679
Lig103,-3.30955625
Lig103,-3.27175498
Lig103,-3.26895475
Lig103,-3.26547575
Lig103,-3.26540065
Lig103,-3.24791908
Lig103,-3.21062136
Lig103,-3.20982456
Lig103,-3.20417619
Lig103,-3.143507
Lig103,-3.1304791
Lig103,-3.11953092
Lig103,-3.11297178
Lig103,-3.11268854
Lig103,-3.01130795
Lig103,-2.98617435
Lig103,-2.9708159
Lig103,-2.96855569
Lig103,-2.86620116
Lig104,-4.82747412
Lig104,-4.82700014
Lig104,-4.66421986
Lig104,-4.51794767
Lig104,-4.50845051
Lig104,-4.32382536
Lig104,-4.28553629
Lig104,-4.13179159
Lig104,-4.0613308
Lig104,-3.96976328
Lig104,-3.90817714
Lig104,-3.84875035
Lig104,-3.75823045
Lig104,-3.72700143
Lig104,-3.7187767
Lig104,-3.69069767
Lig104,-3.65385962
Lig104,-3.49749613
Lig104,-3.48258519
Lig104,-3.47861934
Lig104,-3.40797138
Lig104,-3.38541818
Lig104,-3.34049773
Lig104,-3.28436232
Lig104,-3.28273916
Lig104,-3.27373099
Lig104,-3.21846485
Lig104,-3.20026684
Lig104,-3.15451193
Lig104,-3.14373207
Lig104,-3.11824369
Lig104,-3.10217381
Lig104,-2.99757862
Lig104,-2.98101258
Lig104,-2.95028329
Lig104,-2.91691613
Lig104,-2.89376736
Lig104,-2.86589265
Lig104,-2.85390401
Lig104,-2.78704166
Lig104,-2.78098321
Lig104,-2.77703643
Lig104,-2.75891161
Lig104,-2.73069811
Lig104,-2.70799136
Lig104,-2.69824195
Lig104,-2.695786
Lig104,-2.68914056
Lig104,-2.57603359
Lig105,-5.08005571
Lig105,-5.06684637
Lig105,-4.93679714
Lig105,-4.67654419
Lig105,-4.66795588
Lig105,-4.64158249
Lig105,-4.50978899
Lig105,-4.46975088
Lig105,-4.40303755
Lig105,-4.36547756
Lig105,-4.34790039
Lig105,-4.25846672
Lig105,-4.20337439
Lig105,-4.10481024
Lig105,-4.09183884
Lig105,-4.02615833
Lig105,-3.86143231
Lig105,-3.8523047
Lig105,-3.83940172
Lig105,-3.82147861
Lig105,-3.82120633
Lig105,-3.80209684
Lig105,-3.74167395
Lig105,-3.74138284
Lig105,-3.63908839
Lig105,-3.62615967
Lig105,-3.58441973
Lig105,-3.55898714
Lig105,-3.55747271
Lig105,-3.46956015
Lig105,-3.4671278
Lig105,-3.45036292
Lig105,-3.43182302
Lig105,-3.42313886
Lig105,-3.40859699
Lig105,-3.37504268
Lig105,-3.35354018
Lig105,-3.31872416
Lig105,-3.29988694
Lig105,-3.25140429
Lig105,-3.1921401
