,Label,Molecule,Score,RMSD,RMSD_II
3159,118328,80,-8.5,0.0,0.0
4877,ZINC000101361998,123,-8.4,0.0,0.0
80,118707521,3,-8.2,0.0,0.0
200,76325328,6,-8.1,0.0,0.0
520,52944903,14,-7.9,0.0,0.0
480,52944904,13,-7.9,0.0,0.0
