,Label,Molecule,Score
519,76325328,6,-8.789348599999999
1216,52944904,13,-8.67563057
12040,ZINC000101361998,123,-8.619211199999999
1266,52944903,14,-8.16914654
249,118707521,3,-8.00113201
7811,118328,80,-7.96580267
2414,44341508,25,-7.46789789
11492,ZINC000100656214,117,-7.30036116
5019,2733787,52,-7.1838336
2962,24847493,31,-7.17588568
