LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
ZINC000044021353_entry_00335_conf_01,-64.1772,-48.1772,-3.05606,-23.2617,-0.215866,-9.61572,-17.4623,-2.67405,1458034,3.46058
ZINC000044021353_entry_00336_conf_01,-63.3695,-47.3695,-3.01759,-22.9689,-0.213149,-9.49469,-17.1695,-2.53478,1443432,3.44174
ZINC000056871016_entry_00337_conf_01,-56.9452,-44.9452,-3.55908,-22.5987,-0.242077,-9.22478,-17.8365,-2.84726,799196,1.51704
ZINC000056871016_entry_00338_conf_01,-57.8454,-43.8454,-3.61534,-22.956,-0.245904,-9.3706,-17.4,-3.04449,969333,1.94539
ZINC000056871016_entry_00339_conf_01,-58.1969,-44.1969,-3.63731,-23.0954,-0.247398,-9.42754,-17.5395,-2.90984,987094,2.0092
ZINC000077269504_entry_00340_conf_01,-63.0119,-53.0119,-2.86418,-22.4879,-0.203716,-9.31731,-18.919,-2.52048,784703,1.62568
ZINC000077269504_entry_00341_conf_01,-63.0436,-55.0436,-2.86562,-22.4992,-0.203819,-9.322,-19.6441,-2.62682,673000,1.28954
ZINC000077269504_entry_00342_conf_01,-63.3133,-53.3133,-2.87788,-22.5954,-0.204691,-9.36187,-19.0266,-2.53253,797768,1.64687
ZINC000082114392_entry_00343_conf_01,-57.5638,-45.5638,-4.42798,-24.4813,-0.297949,-9.95742,-19.3778,-3.3861,724201,1.31264
ZINC000082114392_entry_00344_conf_01,-58.4874,-46.4874,-4.49903,-24.8741,-0.30273,-10.1172,-19.7706,-3.2493,722676,1.30996
ZINC000082114392_entry_00345_conf_01,-57.6945,-45.6945,-4.43804,-24.5369,-0.298626,-9.98004,-19.4334,-3.20525,695289,1.26783
ZINC000100342293_entry_00346_conf_01,-61.7005,-45.7005,-2.93812,-22.364,-0.207535,-9.24463,-16.5646,-2.57086,1445096,3.32043
ZINC000100342293_entry_00347_conf_01,-61.0706,-45.0706,-2.90813,-22.1357,-0.205416,-9.15026,-16.3363,-2.54461,1462226,3.42491
ZINC000100342293_entry_00348_conf_01,-64.286,-48.286,-3.06124,-23.3011,-0.216231,-9.63201,-17.5017,-2.67858,1446763,3.37243
ZINC000100656214_entry_00349_conf_01,-69.0081,-53.0081,-3.13673,-24.6278,-0.221657,-10.1819,-18.9177,-2.65416,1520713,3.64155
ZINC000100656214_entry_00350_conf_01,-72.5929,-54.5929,-3.29968,-25.9072,-0.233172,-10.7108,-19.4833,-2.79204,1784891,4.48674
ZINC000100656214_entry_00351_conf_01,-65.1074,-47.1074,-2.95943,-23.2357,-0.209128,-9.60634,-16.8118,-2.50413,1733995,4.38296
ZINC000100815672_entry_00352_conf_01,-68.295,-50.295,-2.7318,-23.3565,-0.186954,-9.55368,-17.2006,-2.52944,1966629,5.21582
ZINC000100815672_entry_00353_conf_01,-72.2956,-52.2956,-2.89182,-24.7247,-0.197905,-10.1133,-17.8848,-2.58198,2169196,6.08951
ZINC000100815672_entry_00354_conf_01,-70.5414,-52.5414,-2.82166,-24.1248,-0.193103,-9.86793,-17.9689,-2.51934,1924421,5.18079
ZINC000101073479_entry_00355_conf_01,-63.1113,-47.1113,-3.0053,-22.8753,-0.21228,-9.45601,-17.076,-2.62964,1602036,3.80204
ZINC000101073479_entry_00356_conf_01,-65.2287,-49.2287,-3.10613,-23.6428,-0.219402,-9.77326,-17.8434,-2.71786,1384123,3.35149
ZINC000101073479_entry_00357_conf_01,-55.9273,-39.9273,-2.66321,-20.2714,-0.188116,-8.37963,-14.4721,-2.43162,1550913,3.63037
ZINC000101135603_entry_00358_conf_01,-70.9673,-48.9673,-2.44715,-23.0989,-0.176779,-9.62016,-15.9382,-2.36558,2974203,9.34656
ZINC000101135603_entry_00359_conf_01,-69.9771,-49.9771,-2.413,-22.7767,-0.174313,-9.48594,-16.2669,-2.18679,2661120,8.00656
ZINC000101135603_entry_00360_conf_01,-71.5226,-49.5226,-2.4663,-23.2797,-0.178163,-9.69545,-16.119,-2.30718,3089653,9.69186
ZINC000101136391_entry_00361_conf_01,-69.2769,-53.2769,-3.64615,-25.9619,-0.257256,-10.7279,-19.9658,-2.88654,1276401,2.97325
ZINC000101136391_entry_00362_conf_01,-68.9704,-52.9704,-3.63002,-25.8471,-0.255163,-10.6671,-19.851,-2.99871,1326350,3.05229
ZINC000101136391_entry_00363_conf_01,-69.7088,-53.7088,-3.66888,-26.1238,-0.25886,-10.7948,-20.1277,-2.90453,1251484,2.86518
ZINC000101178654_entry_00364_conf_01,-62.7297,-46.7297,-3.48498,-23.9358,-0.238255,-9.78729,-17.8307,-2.85135,1340758,2.94601
ZINC000101178654_entry_00365_conf_01,-61.9139,-45.9139,-3.43966,-23.6246,-0.235157,-9.66002,-17.5194,-2.94828,1391019,3.0362
ZINC000101178654_entry_00366_conf_01,-61.5156,-45.5156,-3.41754,-23.4726,-0.233644,-9.59788,-17.3675,-2.92932,1289985,2.85331
ZINC000101361998_entry_00367_conf_01,-86.0534,-62.0534,-2.96736,-28.0093,-0.21331,-11.6461,-20.1976,-2.77592,3116726,10.1855
ZINC000101361998_entry_00368_conf_01,-69.8308,-47.8308,-2.40796,-22.729,-0.173097,-9.45064,-15.5683,-2.32769,2916457,9.19198
ZINC000101361998_entry_00369_conf_01,-77.4128,-53.4128,-2.66941,-25.1969,-0.191891,-10.4768,-17.3852,-2.41915,3236217,10.5748
ZINC000102205030_entry_00370_conf_01,-59.1906,-39.1906,-2.95953,-21.806,-0.203906,-8.93948,-14.438,-2.57351,1869875,4.86069
ZINC000102205030_entry_00371_conf_01,-57.8291,-37.8291,-2.89146,-21.3044,-0.199216,-8.73385,-13.9364,-2.40955,1882653,4.87253
ZINC000102205030_entry_00372_conf_01,-64.0749,-46.0749,-3.20375,-23.6054,-0.220732,-9.67714,-16.9741,-2.78587,1668292,4.16265
ZINC000102863660_entry_00373_conf_01,-61.2184,-47.2184,-3.22202,-22.942,-0.220755,-9.38767,-17.6954,-2.78265,1138825,2.44359
ZINC000102863660_entry_00374_conf_01,-60.2369,-44.2369,-3.17037,-22.5742,-0.217216,-9.23717,-16.5781,-2.86843,1375284,3.06944
ZINC000102863660_entry_00375_conf_01,-62.0571,-46.0571,-3.26616,-23.2563,-0.223779,-9.51629,-17.2602,-2.82078,1290628,2.89505
ZINC000102974493_entry_00376_conf_01,-64.8222,-50.8222,-2.94646,-23.1339,-0.195398,-9.36389,-18.1376,-2.59289,1261980,2.9935
ZINC000102974493_entry_00377_conf_01,-65.5109,-49.5109,-2.97777,-23.3797,-0.197474,-9.46337,-17.6696,-2.72962,1445780,3.53868
ZINC000102974493_entry_00378_conf_01,-66.2595,-50.2595,-3.0118,-23.6469,-0.199731,-9.57151,-17.9368,-2.54844,1448849,3.55202
ZINC000105341667_entry_00379_conf_01,-54.5414,-42.5414,-4.1955,-23.1959,-0.28084,-9.41827,-18.0925,-3.40884,769810,1.41582
ZINC000105341667_entry_00380_conf_01,-55.5216,-43.5216,-4.27089,-23.6128,-0.287379,-9.60416,-18.5093,-3.08453,744059,1.32627
ZINC000105341667_entry_00381_conf_01,-55.8513,-43.8513,-4.29625,-23.753,-0.289085,-9.66119,-18.6495,-3.4907,743436,1.33049
ZINC000106381125_entry_00382_conf_01,-60.4745,-44.4745,-3.02373,-22.279,-0.207574,-9.12233,-16.3846,-2.74884,1415956,3.25289
ZINC000106381125_entry_00383_conf_01,-64.3604,-46.3604,-3.21802,-23.7106,-0.220912,-9.70849,-17.0793,-2.79828,1700292,4.10944
ZINC000106381125_entry_00384_conf_01,-63.4747,-45.4747,-3.17374,-23.3843,-0.217872,-9.57489,-16.753,-2.75977,1643453,3.9582
ZINC000106382931_entry_00385_conf_01,-72.8096,-58.8096,-3.30953,-25.9845,-0.230926,-10.6975,-20.9881,-2.91238,1206786,2.84005
ZINC000106382931_entry_00386_conf_01,-68.098,-52.098,-3.09536,-24.303,-0.215983,-10.0053,-18.5929,-2.72392,1360313,3.33443
ZINC000106382931_entry_00387_conf_01,-66.2823,-50.2823,-3.01283,-23.655,-0.210224,-9.7385,-17.9449,-2.65129,1442884,3.53896
ZINC000106382957_entry_00388_conf_01,-76.3095,-60.3095,-3.3178,-26.833,-0.234573,-11.0955,-21.2069,-2.93498,1507143,3.88953
ZINC000106382957_entry_00389_conf_01,-74.2646,-58.2646,-3.2289,-26.114,-0.228288,-10.7981,-20.4878,-2.97059,1580694,4.00187
ZINC000106382957_entry_00390_conf_01,-72.9353,-54.9353,-3.1711,-25.6465,-0.224201,-10.6048,-19.3171,-2.91741,1772198,4.68021
ZINC000106382965_entry_00391_conf_01,-59.911,-41.911,-2.60483,-21.0667,-0.184165,-8.7111,-14.7373,-2.21893,1699189,4.40665
ZINC000106382965_entry_00392_conf_01,-62.2653,-46.2653,-2.70719,-21.8946,-0.191402,-9.05343,-16.2685,-2.39482,1546128,3.84654
ZINC000106382965_entry_00393_conf_01,-64.3141,-46.3141,-2.79626,-22.615,-0.1977,-9.35131,-16.2856,-2.57256,1727513,4.53669
ZINC000106384102_entry_00394_conf_01,-70.3892,-54.3892,-3.19951,-25.1207,-0.226093,-10.3856,-19.4106,-2.81557,1360157,3.38822
ZINC000106384102_entry_00395_conf_01,-73.6631,-57.6631,-3.34832,-26.2891,-0.236609,-10.8687,-20.579,-2.94652,1391624,3.47072
ZINC000106384102_entry_00396_conf_01,-73.1385,-59.1385,-3.32448,-26.1019,-0.234924,-10.7913,-21.1055,-2.92554,1247156,2.99658
ZINC000164373873_entry_00397_conf_01,-59.9384,-47.9384,-4.61065,-25.4912,-0.31024,-10.3682,-20.3877,-3.52579,702516,1.29544
ZINC000164373873_entry_00398_conf_01,-60.0434,-48.0434,-4.61872,-25.5359,-0.309171,-10.3684,-20.4324,-3.53197,700139,1.29543
ZINC000164373873_entry_00399_conf_01,-59.8372,-47.8372,-4.60286,-25.4482,-0.309716,-10.3507,-20.3447,-3.32429,719279,1.32056
ZINC000196304985_entry_00400_conf_01,-59.6741,-45.6741,-3.72963,-23.6817,-0.253678,-9.66684,-18.1258,-2.9837,983474,1.97525
ZINC000196304985_entry_00401_conf_01,-61.3842,-47.3842,-3.83651,-24.3603,-0.260947,-9.94387,-18.8044,-3.06921,1033966,2.12793
ZINC000196304985_entry_00402_conf_01,-57.486,-45.486,-3.59288,-22.8133,-0.244376,-9.31239,-18.0511,-3.19367,943544,1.76374
ZINC000252694384_entry_00403_conf_01,-66.6589,-40.6589,-2.89821,-23.4395,-0.199926,-9.61306,-14.297,-2.5638,3606107,10.3989
ZINC000252694384_entry_00404_conf_01,-64.9943,-38.9943,-2.82584,-22.8542,-0.194934,-9.37301,-13.7117,-2.7081,3367407,9.52073
ZINC000252694384_entry_00405_conf_01,-69.1363,-41.1363,-3.00593,-24.3107,-0.207356,-9.97033,-14.4649,-2.65909,3854867,11.5733
ZINC000257346145_entry_00406_conf_01,-57.8983,-47.8983,-2.63174,-20.6629,-0.187184,-8.56118,-17.0941,-2.51732,926226,1.83142
ZINC000257346145_entry_00407_conf_01,-59.4412,-51.4412,-2.70187,-21.2135,-0.192172,-8.78932,-18.3585,-2.5844,759542,1.40954
ZINC000257346145_entry_00408_conf_01,-63.9526,-53.9526,-2.90694,-22.8236,-0.206758,-9.4564,-19.2548,-2.66469,814138,1.63678
ZINC000257346492_entry_00409_conf_01,-62.7515,-52.7515,-2.72832,-22.0655,-0.195285,-9.16162,-18.5492,-2.61464,902772,1.85182
ZINC000257346492_entry_00410_conf_01,-56.9435,-46.9435,-2.47581,-20.0233,-0.177211,-8.31368,-16.5069,-2.37265,911104,1.84321
ZINC000257346492_entry_00411_conf_01,-62.9183,-52.9183,-2.73558,-22.1242,-0.195805,-9.18598,-18.6079,-2.62159,862899,1.76374
ZINC000257346903_entry_00412_conf_01,-57.9142,-39.9142,-2.22747,-19.5491,-0.162064,-8.16117,-13.4732,-2.06836,2003687,5.48564
ZINC000257346903_entry_00413_conf_01,-60.6,-42.6,-2.33077,-20.4557,-0.16958,-8.53965,-14.3798,-2.24445,1995942,5.45483
ZINC000257346903_entry_00414_conf_01,-63.6421,-43.6421,-2.44777,-21.4826,-0.178093,-8.96833,-14.7315,-2.35711,2262690,6.50154
ZINC000257347638_entry_00415_conf_01,-62.7378,-48.7378,-1.96056,-19.7612,-0.145418,-8.30282,-15.3514,-1.90114,1562328,4.55233
ZINC000257347638_entry_00416_conf_01,-60.8555,-46.8555,-1.90173,-19.1683,-0.141055,-8.05372,-14.7586,-1.84411,1548392,4.57046
ZINC000257347638_entry_00417_conf_01,-63.8335,-51.8335,-1.9948,-20.1063,-0.147958,-8.44783,-16.3265,-1.93435,1299971,3.60042
ZINC000257347639_entry_00418_conf_01,-64.556,-52.556,-2.01737,-20.3339,-0.149633,-8.54344,-16.5541,-1.95624,1325582,3.67809
ZINC000257347639_entry_00419_conf_01,-60.2397,-46.2397,-1.88249,-18.9743,-0.139628,-7.97222,-14.5646,-1.82544,1511866,4.38791
ZINC000257347639_entry_00420_conf_01,-65.9249,-51.9249,-2.06015,-20.765,-0.152806,-8.72461,-16.3553,-1.99772,1686998,4.98065
ZINC000307008534_entry_00421_conf_01,-55.4963,-43.4963,-3.96402,-23.0261,-0.267806,-9.37812,-18.0472,-3.26449,745567,1.34787
ZINC000307008534_entry_00422_conf_01,-57.8249,-45.8249,-4.13035,-23.9923,-0.277692,-9.75584,-19.0134,-3.2125,801379,1.45253
ZINC000307008534_entry_00423_conf_01,-60.8476,-48.8476,-4.34626,-25.2465,-0.292208,-10.2658,-20.2675,-3.38042,819592,1.49196
ZINC000307565252_entry_00424_conf_01,-67.8783,-55.8783,-2.95123,-23.8683,-0.209957,-9.89003,-19.6487,-2.61071,1018767,2.26622
ZINC000307565252_entry_00425_conf_01,-67.1421,-55.1421,-2.91922,-23.6094,-0.207035,-9.77262,-19.3898,-2.68568,960220,2.22447
ZINC000307565252_entry_00426_conf_01,-70.3393,-56.3393,-3.05823,-24.7337,-0.216893,-10.238,-19.8108,-2.60516,1170439,2.80533
ZINC000383920275_entry_00427_conf_01,-55.052,-47.052,-3.67014,-22.3225,-0.251157,-9.13055,-19.0787,-3.05845,491181,0.786942
ZINC000383920275_entry_00428_conf_01,-55.0904,-45.0904,-3.6727,-22.3381,-0.251332,-9.13692,-18.2833,-3.06058,610102,1.07055
ZINC000383920275_entry_00429_conf_01,-50.6367,-42.6367,-3.37578,-20.5322,-0.231013,-8.39826,-17.2883,-2.97863,511903,0.794537
ZINC000394934764_entry_00430_conf_01,-57.8587,-45.8587,-3.85724,-23.4605,-0.263949,-9.59589,-18.5948,-3.21437,777813,1.45879
ZINC000394934764_entry_00431_conf_01,-53.8603,-41.8603,-3.59069,-21.8393,-0.245709,-8.93277,-16.9735,-3.16826,742699,1.41292
ZINC000394934764_entry_00432_conf_01,-53.4065,-41.4065,-3.56043,-21.6553,-0.243638,-8.8575,-16.7895,-2.96703,792009,1.47324
ZINC000396869768_entry_00433_conf_01,-51.1973,-39.1973,-3.41316,-20.7595,-0.231398,-8.46483,-15.8937,-2.8443,937898,1.65838
ZINC000396869768_entry_00434_conf_01,-54.8983,-42.8983,-3.65989,-22.2602,-0.247001,-9.063,-17.3944,-3.04991,924925,1.6806
ZINC000396869768_entry_00435_conf_01,-56.9736,-44.9736,-3.79824,-23.1017,-0.257506,-9.41986,-18.2359,-3.35139,874178,1.52477
ZINC000575124622_entry_00436_conf_01,-60.7121,-50.7121,-2.63966,-21.3484,-0.187767,-8.84552,-17.8321,-2.52967,892857,1.83495
ZINC000575124622_entry_00437_conf_01,-58.9,-50.9,-2.56087,-20.7112,-0.182162,-8.5815,-17.8982,-2.45417,643454,1.24909
ZINC000575124622_entry_00438_conf_01,-60.7542,-50.7542,-2.64149,-21.3632,-0.187897,-8.85165,-17.8469,-2.53143,905214,1.83941
ZINC000575124647_entry_00439_conf_01,-65.3592,-49.3592,-3.63107,-24.9392,-0.248242,-10.1976,-18.8341,-3.26796,1362186,2.99998
ZINC000575124647_entry_00440_conf_01,-59.7173,-41.7173,-3.31763,-22.7864,-0.226814,-9.31729,-15.9181,-2.84368,1546035,3.50462
ZINC000575124647_entry_00441_conf_01,-59.2452,-41.2452,-3.2914,-22.6063,-0.225021,-9.24364,-15.738,-2.69296,1530993,3.50508
ZINC000616582453_entry_00442_conf_01,-70.8687,-48.8687,-3.3747,-25.6871,-0.232078,-10.524,-17.713,-3.08125,2446386,6.39075
ZINC000616582453_entry_00443_conf_01,-70.3498,-46.3498,-3.34999,-25.499,-0.230379,-10.4469,-16.8,-2.93124,2802476,7.52357
ZINC000616582453_entry_00444_conf_01,-69.036,-45.036,-3.28743,-25.0228,-0.226076,-10.2519,-16.3238,-2.8765,2877939,7.77603
ZINC000616582683_entry_00445_conf_01,-59.6513,-41.6513,-3.31396,-22.7612,-0.228311,-9.33087,-15.8929,-2.84054,1616665,3.64928
ZINC000616582683_entry_00446_conf_01,-60.3669,-44.3669,-3.35372,-23.0343,-0.23105,-9.44281,-16.9291,-2.74395,1348966,2.92437
ZINC000616582683_entry_00447_conf_01,-66.6795,-48.6795,-3.70442,-25.443,-0.255211,-10.4303,-18.5747,-3.03089,1618536,3.70898
ZINC000616582813_entry_00448_conf_01,-59.5633,-43.5633,-3.50372,-23.1648,-0.238959,-9.46441,-16.9422,-2.83635,1225743,2.6663
ZINC000616582813_entry_00449_conf_01,-62.1139,-48.1139,-3.65376,-24.1568,-0.249191,-9.86968,-18.712,-3.10569,1055671,2.16524
ZINC000616582813_entry_00450_conf_01,-60.5601,-44.5601,-3.56236,-23.5525,-0.242957,-9.62279,-17.3299,-2.88381,1272955,2.75663
ZINC000616582904_entry_00451_conf_01,-64.7733,-46.7733,-3.59851,-24.7156,-0.249843,-10.1583,-17.8473,-3.08444,1431705,3.29021
ZINC000616582904_entry_00452_conf_01,-62.4226,-46.4226,-3.46792,-23.8187,-0.240776,-9.78962,-17.7135,-2.97251,1352888,2.94161
ZINC000616582904_entry_00453_conf_01,-62.5097,-44.5097,-3.47276,-23.8519,-0.241112,-9.80328,-16.9836,-2.97665,1535581,3.52984
ZINC000616583702_entry_00454_conf_01,-69.3123,-49.3123,-3.46562,-25.5349,-0.237909,-10.4555,-18.1668,-3.01358,2045810,5.09614
ZINC000616583702_entry_00455_conf_01,-67.9054,-45.9054,-3.39527,-25.0166,-0.23308,-10.2432,-16.9117,-2.95241,2394795,6.11688
ZINC000616583702_entry_00456_conf_01,-63.5428,-41.5428,-3.17714,-23.4094,-0.218105,-9.58516,-15.3045,-2.88831,2278900,5.84951
