,Label,Molecule,ECR,Molecule_par,Molecule_impar
62,440271,63,0.005056655494174579,126,125
37,11908605,38,0.005014641171230256,76,75
148,ZINC000616582683,149,0.004992950042140251,298,297
6,57376616,7,0.00468816439336309,14,13
25,44229083,26,0.0043518168991133616,52,51
55,448882,56,0.004227612058684775,112,111
14,51351654,15,0.0040837185275792295,30,29
87,82313,88,0.003977272982339611,176,175
95,739,96,0.003802822556078811,192,191
93,5300,94,0.0037246187570483167,188,187
39,9816401,40,0.0028107260600106127,80,79
142,ZINC000383920275,143,0.00280762361326239,286,285
126,ZINC000105341667,127,0.0027229622652345715,254,253
38,11096158,39,0.0026939913403564676,78,77
10,54758613,11,0.0025054361562456494,22,21
88,35717,89,0.002442171632930137,178,177
149,ZINC000616582813,150,0.00221078736688502,300,299
121,ZINC000101178654,122,0.002061291169278953,244,243
94,899,95,0.0018110316212717695,190,189
59,441477,60,0.001792838844025538,120,119
53,644170,54,0.0012838373658625424,108,107
133,ZINC000196304985,134,0.0012449140135218026,268,267
132,ZINC000164373873,133,0.001183704359975813,266,265
112,ZINC000056871016,113,0.0009699558294487117,226,225
90,24154,91,0.0009227883807611794,182,181
64,440049,65,0.0008357826411717513,130,129
65,439281,66,0.0007733322052986874,132,131
143,ZINC000394934764,144,0.0007246387103011752,288,287
36,12302999,37,0.000656930392155486,74,73
83,96523,84,0.0006190834757355921,168,167
61,440552,62,0.000569293079481539,124,123
41,6971258,42,0.00044831416214527264,84,83
71,254124,72,0.00028091700466418147,144,143
144,ZINC000396869768,145,0.0001937904551761708,290,289
