,Label,TOTAL_SCORE,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,Molecule,Conformation
27,52944903,-88.634,-27.3594,-0.189563,14,01
24,52944904,-84.6176,-25.8685,-0.175703,13,01
23,52948856,-83.8877,-25.4057,-0.169257,12,01
245,ZINC000101361998,-83.811,-27.2794,-0.20775100000000002,123,01
156,122253,-79.7993,-28.479,-0.256319,79,01
238,ZINC000101135603,-77.0546,-25.0803,-0.191943,120,01
160,112106,-74.3502,-25.4274,-0.21404499999999999,81,01
262,ZINC000106384102,-74.2136,-26.4856,-0.238378,132,01
235,ZINC000100815672,-74.0526,-25.3256,-0.202715,118,01
259,ZINC000106382957,-73.1634,-25.7267,-0.224902,130,01
