,Label,Molecule,Score,RMSD,RMSD_II
319,76325328,6,-8.6,0.0,0.0
119,118707521,3,-8.4,0.0,0.0
7323,ZINC000101361998,123,-8.4,0.042,1.275
4745,118328,80,-8.1,0.0,0.0
719,52944904,13,-8.1,0.0,0.0
1436,44341508,25,-8.0,0.0,0.0
