,Label,Molecule,Output,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
11,76325328,6,23,1,-11.95,-11.95,1,10
4,118707521,3,255,1,-11.39,-11.03,12,15
102,2733787,52,5,1,-11.2,-10.44,10,34
148,198514,75,55,1,-11.2,-10.31,24,13
215,ZINC000019893747,108,130,1,-11.18,-10.87,3,27
258,ZINC000106382957,130,177,1,-11.12,-10.42,19,47
145,202260,73,52,1,-11.12,-9.28,9,20
152,129618,77,60,1,-10.97,-10.97,1,1
165,99461,83,74,1,-10.95,-10.02,25,14
158,118328,80,66,1,-10.95,-10.39,9,24
