,Label_ad,Molecule_ad,Label_vin,Molecule_vin,Label_smin,Molecule_smin,Label_plan,Molecule_plan,Label_rdoc,Molecule_rdoc
0,76325328,6,118328,80,76325328,6,52944903,14,5317448,47
1,118707521,3,ZINC000101361998,123,52944904,13,52944904,13,12600646,36
2,2733787,52,118707521,3,ZINC000101361998,123,52948856,12,49859685,16
3,198514,75,76325328,6,52944903,14,ZINC000101361998,123,ZINC000101136391,121
4,ZINC000019893747,108,52944903,14,118707521,3,122253,79,449462,55
5,ZINC000106382957,130,52944904,13,118328,80,ZINC000101135603,120,45933887,20
6,202260,73,ZINC000257347638,139,44341508,25,112106,81,118328,80
7,129618,77,52948856,12,ZINC000100656214,117,ZINC000106384102,132,129878031,2
8,99461,83,2733787,52,2733787,52,ZINC000100815672,118,ZINC000082114392,115
9,118328,80,44341508,25,24847493,31,ZINC000106382957,130,45266741,23
10,52944904,13,ZINC000012364260,101,ZINC000257347638,139,44341508,25,ZINC000003956714,98
11,5462244,46,ZINC000106382957,130,ZINC000102205030,124,ZINC000100656214,117,ZINC000616589990,154
12,ZINC000101135603,120,ZINC000004027857,99,102416,82,ZINC000015205956,107,25243937,30
13,ZINC000015205840,104,102416,82,90659182,5,408523,70,ZINC000102205030,124
14,ZINC000257347638,139,ZINC000257347639,140,ZINC000013545464,102,ZINC000252694384,135,ZINC000015205949,106
15,52944903,14,ZINC000077269504,114,ZINC000044021353,112,ZINC000616583702,152,22833605,33
16,16738680,34,ZINC000032106887,110,112106,81,2733787,52,433580,69
17,312829,71,ZINC000004027859,100,3052142,50,202260,73,7067772,41
18,57339290,9,ZINC000616591357,155,ZINC000015205949,106,ZINC000101136391,121,44119773,27
19,ZINC000257346145,136,6713972,43,ZINC000257347639,140,4282259,49,447448,57
