REC _TITLE1 TOTAL INTER INTRA RESTR VDW
106 129878031 -20.760 -18.924 -3.604 0.000 -13.170
107 129878031 -10.448 -9.878 -3.811 0.000 -11.100
108 129878031 -10.266 -13.816 -5.380 0.000 -13.489
109 129878031 -17.885 -15.120 -5.922 0.000 -12.801
110 129878031 -14.409 -12.906 -3.896 0.000 -13.078
111 129878031 -15.629 -15.832 -1.566 0.000 -12.248
112 129878031 -19.561 -20.159 -2.571 0.037 -15.945
113 129878031 -21.988 -22.799 -1.785 0.000 -16.112
114 129878031 -12.123 -10.850 -5.180 0.000 -11.648
115 129878031 -16.959 -17.736 -0.992 0.000 -14.137
116 129878031 -10.394 -11.715 -3.766 0.000 -11.920
117 129878031 -11.272 -10.485 -2.522 0.000 -10.027
118 129878031 -14.615 -19.136 -3.662 0.000 -13.792
119 129878031 -11.375 -15.211 -5.863 0.000 -12.936
120 129878031 -15.040 -14.416 -2.386 0.000 -11.465
121 129878031 -18.632 -15.834 -5.192 0.000 -14.367
122 129878031 -21.605 -19.605 -3.738 0.000 -15.499
123 129878031 -15.290 -19.919 -4.333 0.000 -14.175
124 129878031 -15.677 -16.575 -3.050 0.000 -13.482
125 129878031 -9.397 -15.195 -3.629 0.020 -14.206
126 129878031 -9.609 -15.001 -3.544 0.000 -16.312
127 129878031 -18.073 -15.477 -4.475 0.126 -10.425
128 129878031 -12.452 -10.184 -4.020 0.000 -13.125
129 129878031 -9.827 -9.376 -3.582 0.000 -12.737
130 129878031 -19.524 -17.013 -4.280 0.000 -15.178
131 129878031 -14.766 -20.404 -3.397 0.000 -15.097
132 129878031 -15.492 -17.061 -2.233 0.000 -13.415
133 129878031 -22.582 -25.786 -0.026 0.000 -15.639
134 129878031 -13.784 -14.186 -2.728 0.000 -10.655
135 129878031 -13.816 -11.750 -3.807 0.000 -14.929
136 129878031 -23.478 -22.569 -4.797 0.000 -14.488
137 129878031 -12.354 -18.439 -2.863 0.000 -13.382
138 129878031 -21.198 -20.287 -2.692 0.000 -14.465
139 129878031 -15.787 -14.601 -3.901 0.309 -13.976
140 129878031 -13.324 -12.612 -4.658 0.036 -12.497
141 129878031 -16.058 -16.855 -2.494 0.000 -15.140
142 129878031 -20.831 -19.361 -3.882 0.022 -14.567
143 129878031 -9.239 -10.084 -4.266 0.000 -9.823
144 129878031 -21.179 -19.782 -4.719 0.000 -15.062
145 129878031 -21.056 -19.240 -3.551 0.000 -13.879
146 129878031 -17.085 -20.908 0.228 0.000 -14.029
147 129878031 -15.008 -14.871 -2.553 0.000 -12.532
148 129878031 -18.788 -19.433 -2.587 0.000 -13.796
149 129878031 -16.940 -13.866 -4.812 0.000 -11.951
150 129878031 -15.403 -16.833 -2.414 0.059 -15.932
151 129878031 -11.787 -12.845 -2.737 0.000 -16.055
152 129878031 -4.714 -5.775 -2.825 0.000 -11.221
153 129878031 -7.569 -10.128 -0.738 0.000 -9.391
154 129878031 -8.858 -9.718 -2.402 0.016 -12.668
155 129878031 -10.048 -12.201 -1.761 0.000 -14.256
156 129878031 -11.940 -12.208 -2.210 0.035 -11.510
157 129878031 -11.309 -11.674 -1.385 0.000 -12.763
158 129878031 -4.943 -6.042 -2.698 0.000 -12.854
159 129878031 -8.201 -11.193 -0.593 0.396 -13.910
160 129878031 -11.055 -13.028 -0.414 0.000 -11.205
161 129878031 -5.704 -9.618 0.008 0.000 -11.119
162 129878031 -9.109 -9.395 -2.124 0.000 -14.700
163 129878031 -11.459 -12.493 -2.968 0.000 -12.550
164 129878031 -9.591 -14.700 -3.099 0.002 -12.372
165 129878031 -7.627 -8.700 -2.077 0.000 -11.609
166 129878031 -3.190 -3.284 -1.652 0.000 -14.639
167 129878031 -3.255 -10.661 -2.327 0.000 -11.577
168 129878031 -10.616 -18.730 -1.345 0.432 -16.269
169 129878031 -2.761 -3.990 -1.927 0.000 -11.689
170 129878031 -10.118 -11.609 -2.318 0.000 -11.725
171 129878031 -6.748 -7.639 -2.714 0.000 -12.148
172 129878031 -5.477 -12.034 -0.988 0.000 -12.498
173 129878031 -6.296 -6.022 -2.665 0.000 -9.237
174 129878031 -3.880 -5.062 -2.070 0.000 -10.163
175 129878031 -10.273 -9.071 -2.940 0.000 -10.456
176 129878031 -13.141 -12.322 -2.561 0.000 -12.207
177 129878031 -9.244 -9.424 -3.613 0.000 -9.777
178 129878031 -8.384 -9.668 -1.890 0.000 -10.689
179 129878031 -10.063 -11.101 -2.119 0.000 -12.134
180 129878031 -8.886 -7.622 -3.004 0.000 -11.056
181 129878031 -13.674 -15.115 -2.148 0.000 -13.544
182 129878031 -8.923 -9.840 -2.232 0.005 -12.937
183 129878031 -8.611 -11.170 -0.671 0.000 -10.562
184 129878031 -10.725 -11.147 -2.831 0.000 -13.962
185 129878031 -5.506 -7.248 -2.060 0.000 -11.298
186 129878031 -10.453 -11.284 -2.140 0.482 -11.487
187 129878031 -5.649 -5.888 -3.000 0.000 -8.903
188 129878031 -7.071 -5.783 -3.021 0.000 -8.238
189 129878031 -11.425 -12.638 -2.091 0.000 -11.257
190 129878031 -1.246 -6.155 -2.620 0.000 -11.305
191 129878031 -13.955 -11.876 -3.826 0.000 -13.300
192 129878031 -12.989 -13.726 -1.041 0.000 -11.993
193 129878031 -5.339 -6.759 -1.815 0.000 -9.411
194 129878031 -7.003 -6.731 -2.014 0.000 -12.260
195 129878031 -12.531 -12.312 -1.962 0.000 -13.451
196 129878031 -10.259 -11.903 -2.246 0.000 -11.795
197 129878031 -7.844 -9.536 -1.916 0.000 -13.036
198 129878031 -6.646 -7.779 -2.470 0.000 -12.137
199 129878031 -9.236 -12.491 -1.854 0.000 -12.542
200 129878031 -4.093 -3.905 -2.590 0.000 -9.124
201 118707521 -14.862 -16.551 -0.127 0.005 -27.653
202 118707521 -8.417 -7.487 -4.538 0.000 -16.523
203 118707521 -16.320 -15.174 -4.766 0.000 -22.547
204 118707521 -7.479 -6.825 -2.422 0.000 -17.335
205 118707521 -18.026 -19.561 -3.476 0.000 -23.707
206 118707521 -18.018 -18.714 -3.205 0.000 -19.629
207 118707521 -12.466 -13.166 -2.665 0.000 -18.864
208 118707521 -14.376 -14.645 -3.633 0.000 -22.510
209 118707521 -13.853 -10.397 -5.205 0.005 -20.559
210 118707521 -13.940 -11.900 -3.846 0.000 -18.809
211 118707521 -14.341 -14.481 -2.265 0.000 -23.368
212 118707521 -11.801 -9.728 -4.060 0.219 -16.730
213 118707521 -12.270 -12.207 -3.364 0.000 -20.705
214 118707521 -15.945 -12.889 -5.449 0.000 -20.694
215 118707521 -12.608 -9.490 -4.875 0.000 -15.675
216 118707521 -9.017 -13.107 -3.449 0.003 -19.480
217 118707521 -10.688 -15.354 -5.090 0.001 -20.429
218 118707521 -11.509 -12.844 -2.570 0.000 -17.812
219 118707521 -13.847 -12.184 -4.740 0.000 -20.346
220 118707521 -16.604 -14.588 -5.157 0.000 -20.171
221 118707521 -11.901 -11.437 -4.448 0.000 -19.917
222 118707521 -11.285 -11.264 -5.046 0.000 -18.860
223 118707521 -7.885 -10.746 -4.707 0.000 -20.067
224 118707521 -8.866 -5.445 -5.181 0.000 -16.303
225 118707521 -11.112 -13.246 -1.811 0.000 -17.691
226 118707521 -7.612 -12.930 -2.883 0.000 -20.789
227 118707521 -21.139 -20.184 -3.343 0.000 -24.154
228 118707521 -15.580 -12.789 -4.546 0.000 -19.642
229 118707521 -14.247 -12.171 -4.096 0.262 -19.387
230 118707521 -12.491 -15.494 -2.530 0.153 -23.950
231 118707521 -16.177 -17.753 -0.302 0.000 -25.386
232 118707521 -16.830 -14.942 -3.622 0.000 -25.342
233 118707521 -17.158 -22.122 1.437 0.262 -24.584
234 118707521 -13.607 -13.362 -2.001 0.000 -23.936
235 118707521 -4.151 -10.419 -2.817 0.000 -15.407
236 118707521 -8.931 -11.379 -1.787 0.000 -14.737
237 118707521 -15.455 -15.796 -1.413 0.000 -19.980
238 118707521 -15.799 -13.960 -4.263 0.001 -22.954
239 118707521 -8.773 -12.113 0.202 0.000 -17.023
240 118707521 -13.478 -15.097 -0.115 0.000 -18.486
241 118707521 -16.498 -17.437 -3.408 0.454 -21.957
242 118707521 -7.394 -8.236 -0.978 0.004 -18.557
243 118707521 -6.002 -8.166 -1.687 0.000 -14.108
244 118707521 -11.657 -10.956 -3.425 0.000 -21.084
245 118707521 -4.599 -9.503 1.017 0.000 -18.165
246 118707521 -9.705 -10.562 -2.276 0.000 -18.426
247 118707521 -7.696 -13.150 -2.814 0.000 -21.720
248 118707521 -4.040 -12.445 0.847 0.000 -18.480
249 118707521 -16.981 -13.971 -4.771 0.000 -23.799
250 118707521 -3.722 -9.531 -3.579 0.000 -17.326
251 118707521 -8.544 -12.356 -0.264 0.000 -15.956
252 118707521 -10.968 -11.342 -1.652 0.000 -19.844
253 118707521 -15.832 -17.227 -1.072 0.003 -20.098
254 118707521 -13.632 -20.830 3.265 0.021 -25.518
255 118707521 -9.943 -9.083 -4.158 0.000 -15.032
256 118707521 -7.560 -8.959 -6.156 0.000 -16.786
257 118707521 -17.367 -19.851 0.586 0.000 -19.023
258 118707521 -9.602 -11.872 0.506 0.000 -17.719
259 118707521 -13.217 -14.095 -2.797 0.000 -19.796
260 118707521 -10.874 -14.559 -1.353 0.016 -21.383
261 118707521 -8.008 -8.075 -4.067 0.000 -14.784
262 118707521 -13.629 -15.663 -1.759 0.000 -21.424
263 118707521 -10.027 -16.834 -0.729 0.000 -22.546
264 118707521 -10.924 -14.463 -1.466 0.000 -23.089
265 118707521 -15.362 -19.652 0.322 0.000 -17.860
266 118707521 -8.412 -10.921 -0.758 0.000 -18.970
267 118707521 -3.157 -10.867 -1.874 0.000 -21.267
268 118707521 -15.269 -11.797 -6.024 0.000 -15.570
269 118707521 -10.511 -11.816 -1.110 0.000 -19.515
270 118707521 -13.543 -10.869 -4.710 0.009 -19.255
271 118707521 -14.017 -10.506 -5.243 0.000 -19.392
272 118707521 -9.578 -12.171 -0.541 0.000 -19.910
273 118707521 -9.429 -13.130 -1.300 0.000 -17.475
274 118707521 -11.469 -12.503 -1.404 0.000 -16.781
275 118707521 -5.512 -10.309 -4.133 0.000 -19.238
276 118707521 -15.900 -17.509 -0.923 0.000 -21.965
277 118707521 -16.247 -18.879 -0.654 0.000 -22.215
278 118707521 -12.159 -12.560 -1.422 0.065 -22.960
279 118707521 3.068 -9.138 3.278 0.000 -17.658
280 118707521 -10.341 -16.770 2.725 0.000 -20.076
281 118707521 -14.846 -14.192 -5.649 0.000 -23.003
282 118707521 -16.693 -12.977 -6.895 0.000 -17.015
283 118707521 -11.155 -20.302 -0.512 0.000 -23.600
284 118707521 -16.873 -23.138 3.001 0.000 -23.959
285 118707521 -16.463 -17.514 -2.865 0.000 -21.605
286 118707521 -4.154 -10.999 -2.091 0.000 -19.504
287 118707521 -14.773 -16.511 -1.579 0.046 -22.781
288 118707521 -6.315 -13.605 -1.657 0.000 -20.081
289 118707521 -13.675 -14.487 -1.640 0.010 -24.887
290 118707521 -11.447 -17.490 -3.372 0.000 -22.167
291 118707521 -9.464 -9.254 -2.060 0.004 -18.030
292 118707521 -9.486 -11.744 -1.355 0.000 -18.348
293 118707521 -12.330 -13.165 -2.953 0.000 -18.984
294 118707521 -7.635 -10.855 -0.575 0.000 -17.822
295 118707521 -1.443 -3.251 -1.826 0.000 -14.938
296 118707521 -10.857 -13.410 -0.679 0.000 -18.101
297 118707521 -16.426 -17.288 -1.524 0.000 -20.879
298 118707521 -6.880 -5.766 -5.371 0.000 -12.983
299 118707521 -11.621 -10.036 -3.351 0.000 -20.292
300 118707521 -12.372 -15.464 -0.067 0.000 -20.044
301 91820057 -5.667 -7.836 -1.094 0.000 -13.405
302 91820057 -7.546 -10.522 -0.257 0.000 -12.271
303 91820057 -2.100 -5.282 0.781 0.000 -11.957
304 91820057 -8.155 -14.848 -1.493 0.000 -12.713
305 91820057 -3.347 -13.470 0.239 0.000 -13.316
306 91820057 -6.923 -9.685 0.339 0.000 -9.291
307 91820057 4.467 -4.185 0.445 0.000 -11.443
308 91820057 -3.315 -12.235 5.286 0.000 -14.687
309 91820057 -8.204 -9.212 -1.389 0.000 -15.263
310 91820057 -4.080 -5.663 -0.817 0.000 -12.095
311 91820057 -7.779 -10.478 -0.537 0.000 -10.555
312 91820057 2.649 -8.430 0.291 0.000 -14.191
313 91820057 -8.760 -10.224 -1.386 0.008 -13.363
314 91820057 -7.593 -11.607 -1.093 0.000 -13.968
315 91820057 -3.146 -5.354 -0.717 0.000 -11.079
316 91820057 -3.352 -5.267 0.179 0.000 -9.889
317 91820057 -5.719 -8.930 -0.464 0.000 -12.122
318 91820057 -1.225 -10.381 0.075 0.000 -15.942
319 91820057 -8.788 -13.001 0.890 0.000 -13.227
320 91820057 -5.080 -6.747 -1.573 0.000 -12.305
321 91820057 -9.432 -9.399 -1.770 0.000 -12.564
322 91820057 -6.480 -9.085 -0.807 0.000 -8.559
323 91820057 -8.603 -10.649 -1.568 0.000 -12.472
324 91820057 -15.927 -16.559 -1.776 0.000 -13.322
325 91820057 -5.910 -10.634 2.338 0.000 -11.287
326 91820057 -8.558 -13.833 0.284 0.000 -16.835
327 91820057 -6.469 -8.715 -0.891 0.000 -16.348
328 91820057 -7.490 -8.449 -1.443 0.000 -14.300
329 91820057 -5.140 -6.748 -0.797 0.000 -13.398
330 91820057 -5.173 -11.129 0.877 0.000 -11.781
331 91820057 -5.568 -7.173 -0.249 0.023 -11.797
332 91820057 -15.712 -16.639 -1.478 0.000 -13.426
333 91820057 -16.960 -20.282 0.262 0.434 -14.868
334 91820057 -2.665 -9.614 -0.593 0.000 -11.881
