,Label,Molecule,Score
18225,ZINC000101361998,123,-8.66566277
772,76325328,6,-8.60473347
1672,52948856,12,-8.56378365
350,118707521,3,-8.18204021
11814,118328,80,-7.94438696
1867,52944904,13,-7.90047503
2017,52944903,14,-7.76556826
7585,2733787,52,-7.69073629
3563,44341508,25,-7.56277704
11963,112106,81,-7.42531919
