TotalEnergy,ElectronicEnergy,CoreRepulsion,FinalHeat,IonisationPotential,HomoEnergy,LumoEnergy,DipolPointCharge,DipolHybrid,DipolSum,ElectronNuclear,ElectronElectron,ResonanceEnergy,ExchangeEnergy,ElectronElectronRepulsion,ElectronNuclearAttraction,NuclearNuclearRepulsion,TotalElectrostaticInteraction,PrincipalMomentsInertiaA,PrincipalMomentsInertiaB,PrincipalMomentsInertiaC,CosmoArea,CosmoVolume,NumberFilledLevels,MullikenElectronegativity,AbsoluteHardness:,AbsoluteSoftness:,SchuurmannMOShiftAlpha,TotalElectrophilicDelocalizability,TotalNucleophilicDelocalizability,TotalSelfPolarizability,HomoLumoGap,HomoLumoFraction,Electrophilicity,PolarizabilityAnisotropy
-6730.0,-55300.0,48500.0,-181.0,9.29,-9.29,-1.31,4.67,1.49,4.74,-9810.0,4110.0,-947.0,-413.0,47600.0,-95800.0,48500.0,334.0,3790.0,30300.0,31200.0,511.0,579.0,96.0,5.3,3.99,0.125,-5.3,-15.8,-15.2,-6.58,7.98,1.33,3.52,0.00361
-7180.0,-59100.0,51900.0,-307.0,9.32,-9.32,-0.971,4.5,2.23,5.26,-10600.0,4430.0,-971.0,-419.0,51000.0,-103000.0,51900.0,345.0,5000.0,30200.0,32900.0,519.0,594.0,100.0,5.15,4.18,0.12,-5.15,-16.1,-15.5,-6.57,8.35,1.23,3.17,0.00433
-7040.0,-54000.0,46900.0,-343.0,9.92,-9.92,-0.779,4.89,1.94,6.3,-10600.0,4400.0,-836.0,-354.0,46100.0,-92700.0,46900.0,298.0,3220.0,34700.0,36300.0,487.0,552.0,93.0,5.35,4.57,0.109,-5.35,-15.1,-12.8,-5.56,9.14,1.17,3.13,0.00773
-6890.0,-51400.0,44600.0,-353.0,10.0,-10.0,-0.792,4.23,2.18,4.96,-10400.0,4330.0,-804.0,-338.0,43700.0,-88000.0,44600.0,286.0,3830.0,31400.0,32600.0,471.0,531.0,90.0,5.41,4.62,0.108,-5.41,-14.7,-12.4,-5.34,9.24,1.17,3.17,0.00292
-6580.0,-47300.0,40700.0,-245.0,9.85,-9.85,-0.998,3.54,3.39,5.26,-9930.0,4110.0,-702.0,-299.0,40000.0,-80400.0,40700.0,239.0,2250.0,29800.0,30800.0,451.0,524.0,85.0,5.43,4.43,0.113,-5.43,-14.6,-11.8,-5.07,8.85,1.23,3.32,0.0126
-7550.0,-58600.0,51100.0,-330.0,9.99,-9.99,-1.02,3.89,1.05,4.18,-11500.0,4820.0,-813.0,-342.0,50100.0,-101000.0,51100.0,245.0,4670.0,27200.0,30000.0,493.0,573.0,97.0,5.5,4.49,0.111,-5.5,-16.1,-12.9,-5.5,8.97,1.23,3.37,0.00404
-7520.0,-62800.0,55300.0,-257.0,9.21,-9.21,-1.18,5.64,2.04,7.61,-11200.0,4720.0,-912.0,-395.0,54300.0,-109000.0,55300.0,274.0,3100.0,36200.0,37600.0,509.0,614.0,102.0,5.2,4.01,0.125,-5.2,-16.8,-15.2,-6.36,8.02,1.3,3.37,0.00927
-7880.0,-65800.0,57900.0,-263.0,9.28,-9.28,-1.07,4.02,1.32,5.32,-11800.0,4950.0,-914.0,-394.0,56900.0,-115000.0,57900.0,276.0,7520.0,31800.0,36600.0,534.0,644.0,105.0,5.17,4.11,0.122,-5.17,-17.3,-15.7,-6.51,8.21,1.26,3.26,0.00472
-7410.0,-56100.0,48700.0,-293.0,10.0,-10.0,-1.12,5.61,1.48,6.97,-11300.0,4720.0,-753.0,-319.0,47800.0,-96200.0,48700.0,217.0,3350.0,33100.0,34400.0,478.0,576.0,94.0,5.57,4.45,0.112,-5.57,-16.0,-12.6,-5.35,8.9,1.25,3.49,0.00453
-6960.0,-52000.0,45000.0,-288.0,9.89,-9.9,-1.09,4.05,3.44,7.14,-10600.0,4460.0,-703.0,-297.0,44200.0,-89000.0,45000.0,188.0,3400.0,28000.0,28500.0,453.0,545.0,89.0,5.49,4.4,0.114,-5.49,-15.3,-11.9,-5.12,8.8,1.25,3.43,0.00298
