,Label,Molecule,ECR,Molecule_primera,Molecule_segunda,Molecule_tercera
93,5300,94,0.004657305571350133,282,281,280
78,122253,79,0.003911123675730027,237,236,235
148,ZINC000616582683,149,0.0038768925544514694,447,446,445
127,ZINC000106381125,128,0.003730169360778088,384,383,382
25,44229083,26,0.003434700856613784,78,77,76
38,11096158,39,0.0030045459779597275,117,116,115
15,49859685,16,0.0029788580713220525,48,47,46
124,ZINC000102863660,125,0.0029568101382108987,375,374,373
126,ZINC000105341667,127,0.0029270818119456307,381,380,379
121,ZINC000101178654,122,0.0026678315423195906,366,365,364
41,6971258,42,0.0022947180262448347,126,125,124
65,439281,66,0.0020301429343395527,198,197,196
29,25243937,30,0.0018663578513901692,90,89,88
57,446101,58,0.0014855242931633378,174,173,172
71,254124,72,0.001049567747932678,216,215,214
112,ZINC000056871016,113,0.001043382103335113,339,338,337
132,ZINC000164373873,133,0.0009649069514428332,399,398,397
83,96523,84,0.0009480754475232786,252,251,250
4,90659182,5,0.0009325165448838052,15,14,13
133,ZINC000196304985,134,0.0005790002271194604,402,401,400
153,ZINC000616589990,154,0.000542852893207904,462,461,460
142,ZINC000383920275,143,0.000490197723342105,429,428,427
143,ZINC000394934764,144,0.00044212623089158985,432,431,430
114,ZINC000082114392,115,0.0003709180960968402,345,344,343
55,448882,56,0.0003246513343545493,168,167,166
144,ZINC000396869768,145,0.00019874452391157755,435,434,433
