Ligand,Affinity
Lig105,-3.82374573
Lig105,-3.80804944
Lig105,-3.79365611
Lig105,-3.56523252
Lig105,-3.52583504
Lig105,-3.48300886
Lig105,-3.48092794
Lig105,-3.44786
Lig105,-3.40320635
Lig105,-3.40316653
Lig105,-3.3347137
Lig105,-3.30687356
Lig105,-3.29214406
Lig105,-3.28280783
Lig105,-3.24030352
Lig105,-3.22869301
Lig105,-3.20224929
Lig105,-3.19165444
Lig105,-3.14996815
Lig105,-3.14033651
Lig105,-3.12116981
Lig105,-3.09500313
Lig105,-3.05325961
Lig105,-3.00584626
Lig105,-3.00311255
Lig105,-2.99509859
Lig105,-2.98958135
Lig105,-2.97801399
Lig105,-2.97008085
Lig105,-2.89671969
Lig105,-2.85441995
Lig105,-2.7600956
Lig106,-4.3152194
Lig106,-4.2404213
Lig106,-4.20967197
Lig106,-4.19779778
Lig106,-4.1682601
Lig106,-4.06999922
Lig106,-4.03537703
Lig106,-3.98189664
Lig106,-3.91347909
Lig106,-3.9035449
Lig106,-3.85698414
Lig106,-3.78064609
Lig106,-3.76712632
Lig106,-3.67740798
Lig106,-3.62549496
Lig106,-3.5559113
Lig106,-3.55168962
Lig106,-3.50071907
Lig106,-3.37520885
Lig106,-3.32942271
Lig106,-3.30828261
Lig106,-3.28343797
Lig106,-3.23178887
Lig106,-3.19377971
Lig106,-3.17937613
Lig106,-3.12705946
Lig106,-3.08200073
Lig106,-3.05175281
Lig106,-3.03334594
Lig106,-3.03111339
Lig106,-3.00943112
Lig106,-2.99084401
Lig106,-2.91899037
Lig106,-2.79700041
Lig106,-2.75996208
Lig106,-2.75279164
Lig106,-2.74925542
Lig106,-2.7369988
Lig106,-2.72331834
Lig106,-2.66517687
Lig106,-2.63661098
Lig106,-2.63599777
Lig106,-2.60955739
Lig106,-2.59714246
Lig106,-2.57768393
Lig106,-2.53444362
Lig106,-2.53372383
Lig106,-2.48256993
Lig106,-2.42849517
Lig106,-2.37422514
Lig107,-5.41519737
Lig107,-4.94859314
Lig107,-4.51746416
Lig107,-4.27366114
Lig107,-4.10425997
Lig107,-4.07835817
Lig107,-3.98635387
Lig107,-3.97147584
Lig107,-3.96479511
Lig107,-3.95059037
Lig107,-3.84331799
Lig107,-3.78731084
Lig107,-3.73511791
Lig107,-3.6933558
Lig107,-3.52962208
Lig107,-3.47842574
Lig107,-3.46774769
Lig107,-3.41141915
Lig107,-3.39923358
Lig107,-3.38714004
Lig107,-3.37922907
Lig107,-3.37907362
Lig107,-3.34252644
Lig107,-3.32885027
Lig107,-3.32814074
Lig107,-3.26146913
Lig107,-3.23851657
Lig107,-3.20573139
Lig107,-3.19974709
Lig107,-3.17762089
Lig107,-3.17484713
Lig107,-3.17462397
Lig107,-3.16648698
Lig107,-3.12824035
Lig107,-3.12093425
Lig107,-3.08753443
Lig107,-3.03323722
Lig107,-3.03100586
Lig107,-3.01407886
Lig107,-2.98063278
Lig107,-2.94496942
Lig107,-2.93516803
Lig107,-2.93426585
Lig107,-2.92538142
Lig107,-2.92427707
Lig107,-2.8791194
Lig107,-2.86155224
Lig107,-2.83166909
Lig107,-2.76976347
Lig108,-5.40194321
Lig108,-4.9089613
Lig108,-4.29478264
Lig108,-4.27979612
Lig108,-4.20992517
Lig108,-4.07516813
Lig108,-4.03922272
Lig108,-3.97953367
Lig108,-3.97430825
Lig108,-3.88117814
Lig108,-3.86321759
Lig108,-3.79935265
Lig108,-3.79931688
Lig108,-3.74360061
Lig108,-3.65790915
Lig108,-3.62251544
Lig108,-3.58492541
Lig108,-3.56314111
Lig108,-3.54703999
Lig108,-3.51232743
Lig108,-3.4627676
Lig108,-3.45563436
Lig108,-3.45521688
Lig108,-3.39323521
Lig108,-3.37651539
Lig108,-3.3733325
Lig108,-3.36957908
Lig108,-3.34278727
Lig108,-3.3292625
Lig108,-3.30893111
Lig108,-3.25213814
Lig108,-3.23079491
Lig108,-3.22587609
Lig108,-3.20030618
Lig108,-3.17137241
Lig108,-3.14695024
Lig108,-3.14217567
Lig108,-3.11862206
Lig108,-3.11168456
Lig108,-3.11099052
Lig108,-3.07718706
Lig108,-3.03476596
Lig108,-3.03034949
Lig108,-2.99228358
Lig108,-2.96435738
Lig108,-2.89841938
Lig108,-2.89741659
Lig108,-2.88834953
Lig108,-2.86621046
Lig108,-2.84069228
Lig109,-5.41123009
Lig109,-5.2638545
Lig109,-4.95411253
Lig109,-4.71646833
Lig109,-4.64763832
Lig109,-4.28339291
Lig109,-4.21974277
Lig109,-4.06444645
Lig109,-4.05489206
Lig109,-4.04333639
Lig109,-4.03909111
Lig109,-3.90115786
Lig109,-3.84146619
Lig109,-3.70396423
Lig109,-3.62601638
Lig109,-3.6246922
Lig109,-3.61028624
Lig109,-3.51466799
Lig109,-3.5068593
Lig109,-3.50525308
Lig109,-3.44060588
Lig109,-3.41015553
Lig109,-3.36106896
Lig109,-3.35943508
Lig109,-3.31044459
Lig109,-3.18054032
Lig109,-3.17938924
Lig109,-3.1603272
Lig109,-3.15364885
Lig109,-3.13302994
Lig109,-3.11385894
Lig109,-3.07144856
Lig109,-3.06743312
Lig109,-3.05309367
Lig109,-3.02759123
Lig109,-3.02730036
Lig109,-3.01910567
Lig109,-2.95375466
Lig109,-2.91513062
Lig109,-2.90931296
Lig109,-2.86604953
Lig109,-2.83442497
Lig109,-2.79803324
Lig109,-2.77564144
Lig109,-2.77116179
Lig109,-2.76886892
Lig109,-2.73492765
Lig109,-2.68273234
Lig109,-2.63885903
Lig109,-2.53785586
Lig10,-5.34569359
Lig10,-4.96678114
Lig10,-4.85194016
Lig10,-4.65969038
Lig10,-4.49595881
Lig10,-4.46587563
Lig10,-4.43388891
Lig10,-4.4086585
Lig10,-4.36838865
Lig10,-4.31291294
Lig10,-4.26287603
Lig10,-4.1331706
Lig10,-4.12073231
Lig10,-4.05296516
Lig10,-4.0428257
Lig10,-4.02030706
Lig10,-3.90256953
Lig10,-3.85102177
Lig10,-3.80913639
Lig10,-3.79557705
Lig10,-3.70265388
Lig10,-3.70114779
Lig10,-3.69104505
Lig10,-3.579566
Lig10,-3.51816654
Lig10,-3.50814295
Lig10,-3.4575572
Lig10,-3.41430306
Lig10,-3.41429305
Lig10,-3.39555597
Lig10,-3.38067031
Lig10,-3.35977077
Lig10,-3.33898139
Lig10,-3.28595567
Lig10,-3.27454114
Lig10,-3.24991798
Lig10,-3.20225763
Lig10,-3.20029497
Lig10,-3.19992018
Lig10,-3.17043781
Lig10,-3.16705275
Lig10,-3.1386292
Lig10,-3.12744808
Lig10,-3.08594775
Lig10,-3.0448873
Lig10,-3.03949118
Lig10,-3.03629613
Lig10,-3.01040602
Lig10,-2.97631145
Lig10,-2.91151285
Lig110,-5.46761036
Lig110,-5.28890944
Lig110,-4.95672131
Lig110,-4.64036655
Lig110,-4.35613966
Lig110,-4.28974628
Lig110,-4.06277657
Lig110,-4.05229616
Lig110,-4.02311039
Lig110,-3.94646835
Lig110,-3.93945932
Lig110,-3.91790819
Lig110,-3.89272332
Lig110,-3.83400846
Lig110,-3.70909262
Lig110,-3.68047667
Lig110,-3.65830302
Lig110,-3.60670972
Lig110,-3.58569336
Lig110,-3.49336815
Lig110,-3.48687148
Lig110,-3.44332981
Lig110,-3.43551707
Lig110,-3.43508005
Lig110,-3.41677833
Lig110,-3.36261678
Lig110,-3.34074736
Lig110,-3.32053733
Lig110,-3.19965601
Lig110,-3.16648722
Lig110,-3.11822963
Lig110,-3.11099434
Lig110,-3.08001304
Lig110,-3.06560516
Lig110,-3.00709558
Lig110,-3.00567007
Lig110,-3.00250435
Lig110,-2.94842649
Lig110,-2.9258585
Lig110,-2.9053185
Lig110,-2.87329578
Lig110,-2.84580874
Lig110,-2.83856249
Lig110,-2.83322358
Lig110,-2.80185294
Lig110,-2.78072047
Lig110,-2.68912411
Lig110,-2.64513111
Lig110,-2.52583814
Lig111,-5.01031208
Lig111,-4.69338036
Lig111,-4.23445988
Lig111,-4.2010951
Lig111,-4.01298571
Lig111,-3.96892238
Lig111,-3.93084383
Lig111,-3.87620878
Lig111,-3.72838116
Lig111,-3.72776842
Lig111,-3.69088626
Lig111,-3.69054985
Lig111,-3.68956923
Lig111,-3.58872342
Lig111,-3.57666016
Lig111,-3.56441021
Lig111,-3.56074548
Lig111,-3.51068497
Lig111,-3.49121881
Lig111,-3.38994026
Lig111,-3.37002921
Lig111,-3.36415553
Lig111,-3.34696388
Lig111,-3.33469152
Lig111,-3.28088355
Lig111,-3.27108717
Lig111,-3.24391627
Lig111,-3.18364882
Lig111,-3.13483667
Lig111,-3.07237124
Lig111,-3.07086873
Lig111,-3.0448668
Lig111,-3.0218575
Lig111,-2.99879193
Lig111,-2.98112559
Lig111,-2.96872044
Lig111,-2.95056486
Lig111,-2.93407631
Lig111,-2.82919574
Lig111,-2.82016778
Lig111,-2.80182505
Lig111,-2.76628613
Lig111,-2.7538116
Lig111,-2.71447802
Lig111,-2.70321774
Lig111,-2.61591339
Lig111,-2.59795308
Lig111,-2.5282042
Lig112,-4.49584532
Lig112,-4.39354086
Lig112,-4.27710104
Lig112,-4.16642237
Lig112,-3.81146598
Lig112,-3.78195429
Lig112,-3.77088642
Lig112,-3.7370975
Lig112,-3.71928263
Lig112,-3.71563029
Lig112,-3.70593357
Lig112,-3.62280107
Lig112,-3.59879398
Lig112,-3.5881319
Lig112,-3.38102627
Lig112,-3.37533975
Lig112,-3.35239697
Lig112,-3.34653068
Lig112,-3.30206943
Lig112,-3.25747466
Lig112,-3.23414993
Lig112,-3.20102072
Lig112,-3.17717028
Lig112,-3.1402638
Lig112,-3.05375266
Lig112,-3.04324889
Lig112,-3.00626636
Lig112,-3.00484681
Lig112,-2.98959041
Lig112,-2.97641659
Lig112,-2.97280097
Lig112,-2.96151662
Lig112,-2.95686221
Lig112,-2.95540643
Lig112,-2.89227247
Lig112,-2.88696051
Lig112,-2.86830354
Lig112,-2.78983402
Lig112,-2.78028154
Lig112,-2.77431417
Lig112,-2.77034545
Lig112,-2.75166297
Lig112,-2.72115421
Lig112,-2.70427728
Lig112,-2.67812824
Lig112,-2.66204977
Lig112,-2.65504098
Lig112,-2.65480638
Lig112,-2.62848067
Lig113,-6.10563755
Lig113,-5.6708889
Lig113,-5.65779734
Lig113,-5.30771685
Lig113,-5.16749287
Lig113,-5.09926367
Lig113,-5.07338953
Lig113,-5.02224112
Lig113,-4.91175413
Lig113,-4.89192486
Lig113,-4.7785511
Lig113,-4.70849133
Lig113,-4.60784292
Lig113,-4.58359766
Lig113,-4.53568888
Lig113,-4.36329126
Lig113,-4.29514885
Lig113,-4.27620888
Lig113,-4.27300549
Lig113,-4.26335955
Lig113,-4.22021961
Lig113,-4.16978359
Lig113,-4.15359211
Lig113,-4.09213352
Lig113,-4.05783272
Lig113,-4.0568161
Lig113,-3.98946786
Lig113,-3.93280292
Lig113,-3.92515779
Lig113,-3.90922832
Lig113,-3.88507581
Lig113,-3.83067799
Lig113,-3.79132104
Lig113,-3.77735066
Lig113,-3.76618218
Lig113,-3.74061227
Lig113,-3.70959258
Lig113,-3.70577288
Lig113,-3.6932497
Lig113,-3.68783593
Lig113,-3.6860826
Lig113,-3.67718315
Lig113,-3.67055321
Lig113,-3.65863967
Lig113,-3.62802386
Lig113,-3.59430218
Lig113,-3.56514287
