Ligand,affinity_(kcal/mol),rmsd_lb,rmsd_ub
Lig100,-5.9,0.000,0.000
Lig100,-5.7,1.956,4.614
Lig100,-5.7,3.373,6.872
Lig100,-5.6,1.987,4.073
Lig100,-5.4,1.926,5.737
Lig100,-5.4,2.137,5.901
Lig100,-5.2,2.856,5.579
Lig100,-5.1,1.882,2.070
Lig100,-5.1,4.262,6.283
Lig100,-5.1,6.634,7.784
Lig100,-5.0,2.128,4.325
Lig100,-5.0,2.229,4.133
Lig100,-5.0,4.177,6.117
Lig100,-4.9,3.065,4.865
Lig100,-4.8,5.541,8.152
Lig100,-4.8,6.026,7.465
Lig100,-4.6,4.125,5.464
Lig100,-4.6,2.490,3.574
Lig100,-4.6,6.380,9.022
Lig100,-4.5,5.447,7.652
Lig101,-5.7,0.000,0.000
Lig101,-5.6,2.146,5.669
Lig101,-5.6,1.923,4.588
Lig101,-5.5,2.422,6.111
Lig101,-5.2,2.243,3.374
Lig101,-5.2,4.091,6.085
Lig101,-5.0,2.061,4.042
Lig101,-5.0,2.148,3.871
Lig101,-5.0,2.162,4.186
Lig101,-5.0,3.364,5.344
Lig101,-4.9,2.691,4.839
Lig101,-4.8,4.122,6.794
Lig101,-4.7,2.452,5.104
Lig101,-4.7,3.312,6.023
Lig101,-4.7,2.248,4.747
Lig101,-4.7,5.423,7.684
Lig101,-4.6,2.186,3.625
Lig101,-4.6,2.260,3.216
Lig101,-4.5,2.263,4.304
Lig101,-4.5,6.612,8.466
Lig102,-5.7,0.000,0.000
Lig102,-5.6,2.167,5.679
Lig102,-5.6,1.915,4.581
Lig102,-5.6,2.365,6.093
Lig102,-5.2,4.128,6.135
Lig102,-5.2,2.221,3.325
Lig102,-5.1,2.051,2.801
Lig102,-5.0,2.177,4.309
Lig102,-5.0,2.052,3.500
Lig102,-4.9,2.733,4.880
Lig102,-4.9,2.395,4.003
Lig102,-4.8,4.480,7.004
Lig102,-4.8,2.146,2.580
Lig102,-4.7,2.749,4.806
Lig102,-4.7,3.139,5.492
Lig102,-4.6,4.034,5.475
Lig102,-4.6,4.052,6.861
Lig102,-4.5,7.494,10.188
Lig102,-4.5,6.175,8.207
Lig102,-4.5,5.470,7.927
Lig103,-5.5,0.000,0.000
Lig103,-5.5,1.752,2.641
Lig103,-5.4,2.784,5.444
Lig103,-5.3,2.234,3.526
Lig103,-5.3,1.973,4.618
Lig103,-5.1,2.426,5.111
Lig103,-5.1,1.922,4.513
Lig103,-5.0,2.013,4.617
Lig103,-4.9,2.020,4.221
Lig103,-4.9,1.823,4.695
Lig103,-4.7,2.984,5.532
Lig103,-4.7,2.801,4.488
Lig103,-4.6,2.688,5.868
Lig103,-4.6,2.087,4.365
Lig103,-4.6,2.598,4.939
Lig103,-4.5,2.013,5.103
Lig103,-4.5,2.263,5.154
Lig103,-4.4,6.832,10.403
Lig103,-4.4,2.483,5.328
Lig103,-4.4,2.539,5.317
Lig104,-5.4,0.000,0.000
Lig104,-5.3,1.848,4.052
Lig104,-5.2,1.773,4.572
Lig104,-5.2,2.175,4.731
Lig104,-5.2,1.790,4.763
Lig104,-5.0,1.987,5.017
Lig104,-5.0,2.100,4.566
Lig104,-4.9,1.721,5.160
Lig104,-4.9,2.199,4.690
Lig104,-4.8,2.730,5.400
Lig104,-4.8,2.259,3.612
Lig104,-4.7,3.473,5.928
Lig104,-4.7,1.931,5.522
Lig104,-4.6,2.443,5.728
Lig104,-4.5,2.231,4.104
Lig104,-4.5,3.002,6.107
Lig104,-4.5,1.848,2.431
Lig104,-4.3,2.825,6.083
Lig104,-4.3,6.058,8.130
Lig104,-4.2,5.408,8.202
Lig105,-6.0,0.000,0.000
Lig105,-6.0,3.715,6.388
Lig105,-5.6,2.864,6.111
Lig105,-5.5,2.557,5.038
Lig105,-5.5,2.081,5.343
Lig105,-5.4,1.751,3.939
Lig105,-5.3,4.592,6.865
Lig105,-5.2,2.082,4.629
Lig105,-5.2,7.063,9.352
Lig105,-5.2,2.667,4.738
Lig105,-5.1,9.220,11.358
Lig105,-5.0,2.385,5.368
Lig105,-5.0,2.305,3.190
Lig105,-5.0,2.524,5.314
Lig105,-5.0,2.823,3.989
Lig105,-4.9,7.014,9.814
Lig105,-4.8,3.251,4.745
Lig105,-4.8,2.431,5.181
Lig105,-4.7,2.366,4.939
Lig105,-4.7,4.011,6.493
Lig106,-6.7,0.000,0.000
Lig106,-6.3,5.390,8.319
Lig106,-6.0,3.609,4.183
Lig106,-5.8,2.645,3.314
Lig106,-5.8,1.856,2.250
Lig106,-5.6,6.034,9.042
Lig106,-5.3,2.424,2.947
Lig106,-5.2,2.457,3.054
Lig106,-5.2,2.987,6.922
Lig106,-5.2,4.013,5.117
Lig106,-5.1,2.996,3.941
Lig106,-5.0,3.202,3.926
Lig106,-4.8,11.303,12.450
Lig106,-4.8,4.191,5.117
Lig106,-4.7,4.251,5.134
Lig106,-4.7,3.636,6.831
Lig106,-4.7,3.567,4.529
Lig106,-4.6,4.823,6.863
Lig106,-4.5,5.256,6.314
Lig106,-4.5,4.237,5.394
Lig107,-5.4,0.000,0.000
Lig107,-5.2,7.834,9.739
Lig107,-5.2,5.009,7.046
Lig107,-5.1,7.931,9.531
Lig107,-4.8,8.333,9.808
Lig107,-4.7,2.813,6.244
Lig107,-4.7,2.868,6.379
Lig107,-4.6,3.159,6.263
Lig107,-4.6,3.653,6.509
Lig107,-4.6,7.949,9.644
Lig107,-4.5,8.621,10.288
Lig107,-4.5,6.467,7.951
Lig107,-4.4,4.906,7.265
Lig107,-4.4,2.994,4.699
Lig107,-4.3,3.036,4.525
Lig107,-4.3,5.781,7.545
Lig107,-4.3,9.352,10.435
Lig107,-4.2,3.785,6.660
Lig107,-4.2,3.627,5.480
Lig107,-4.1,3.285,6.911
Lig108,-6.4,0.000,0.000
