,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
115,202.csv : ,1,-9.99,-9.92,32,20
71,163.csv : ,1,-9.98,-9.88,2,35
233,309.csv : ,1,-9.96,-9.89,46,10
112,20.csv : ,1,-9.96,-9.01,28,45
113,200.csv : ,1,-9.95,-9.80,49,24
29,125.csv : ,1,-9.94,-8.95,14,20
278,70.csv : ,1,-9.94,-9.22,28,17
264,58.csv : ,1,-9.92,-8.94,12,13
82,173.csv : ,1,-9.92,-9.54,10,15
170,252.csv : ,1,-9.92,-9.51,31,9
125,211.csv : ,1,-9.90,-9.40,18,45
194,274.csv : ,1,-9.87,-9.65,27,23
157,240.csv : ,1,-9.87,-9.10,4,4
235,310.csv : ,1,-9.87,-9.77,42,50
149,233.csv : ,1,-9.86,-9.49,11,21
294,85.csv : ,1,-9.86,-9.75,22,31
106,195.csv : ,1,-9.86,-9.65,2,48
47,141.csv : ,1,-9.86,-9.86,1,32
134,22.csv : ,1,-9.85,-8.51,19,33
234,31.csv : ,1,-9.84,-9.03,6,4
277,7.csv : ,1,-9.84,-9.29,8,18
142,227.csv : ,1,-9.83,-9.68,44,16
273,66.csv : ,1,-9.83,-9.16,31,2
46,140.csv : ,1,-9.81,-8.90,9,14
114,201.csv : ,1,-9.80,-9.71,45,17
246,41.csv : ,1,-9.79,-9.34,15,5
110,199.csv : ,1,-9.79,-9.55,45,46
181,262.csv : ,1,-9.78,-9.13,6,46
150,234.csv : ,1,-9.77,-8.94,13,15
173,255.csv : ,1,-9.75,-9.16,15,11
26,122.csv : ,1,-9.75,-8.92,35,10
168,250.csv : ,1,-9.74,-8.32,9,49
287,79.csv : ,1,-9.74,-9.08,27,18
191,271.csv : ,1,-9.74,-9.62,26,35
254,49.csv : ,1,-9.74,-9.61,2,23
104,193.csv : ,1,-9.73,-9.23,29,15
143,228.csv : ,1,-9.73,-9.39,28,15
291,82.csv : ,1,-9.73,-9.10,10,38
122,209.csv : ,1,-9.72,-9.31,2,4
169,251.csv : ,1,-9.71,-9.40,26,23
249,44.csv : ,1,-9.70,-9.12,14,12
108,197.csv : ,1,-9.70,-9.51,39,16
268,61.csv : ,1,-9.68,-8.86,18,26
117,204.csv : ,1,-9.68,-9.04,9,2
256,50.csv : ,1,-9.67,-8.89,22,40
133,219.csv : ,1,-9.65,-9.57,49,42
295,86.csv : ,1,-9.64,-9.02,24,43
164,247.csv : ,1,-9.64,-8.28,11,7
239,35.csv : ,1,-9.61,-9.12,32,8
267,60.csv : ,1,-9.61,-8.67,45,48
198,278.csv : ,1,-9.60,-9.60,1,43
161,244.csv : ,1,-9.60,-9.16,42,1
105,194.csv : ,1,-9.60,-8.93,22,29
289,80.csv : ,1,-9.60,-8.50,16,49
159,242.csv : ,1,-9.60,-9.17,21,41
123,21.csv : ,1,-9.59,-8.73,19,1
193,273.csv : ,1,-9.59,-9.40,42,32
31,127.csv : ,1,-9.58,-9.32,9,30
131,217.csv : ,1,-9.57,-9.27,15,18
4,102.csv : ,1,-9.55,-9.13,13,16
307,97.csv : ,1,-9.55,-9.11,4,9
136,221.csv : ,1,-9.53,-9.23,19,5
262,56.csv : ,1,-9.52,-8.68,11,37
58,151.csv : ,1,-9.51,-8.53,9,15
153,237.csv : ,1,-9.50,-8.18,21,1
121,208.csv : ,1,-9.50,-8.82,5,34
272,65.csv : ,1,-9.50,729435.69,23,12
