,Label,TOTAL_SCORE,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,Molecule,Conformation
0,ZINC000101361998,-86.1547,-28.0422,-0.213561,123,01
1,2733335,-81.4698,-31.0866,-0.306004,53,01
2,52944904,-78.6695,-24.0501,-0.163011,13,01
3,44630437,-78.5639,-31.1781,-0.333979,24,01
4,ZINC000003956714,-77.9832,-27.8309,-0.250486,98,01
5,12600646,-77.8985,-28.6981,-0.248323,36,01
6,ZINC000100815672,-76.7933,-26.2629,-0.210218,118,01
7,82313,-76.4892,-31.0148,-0.34577600000000003,88,01
8,45266822,-76.3007,-26.0945,-0.197498,22,01
9,447448,-75.7599,-29.4639,-0.303937,57,01
10,2733787,-75.5739,-25.1913,-0.199215,52,01
13,7067772,-75.3351,-28.7457,-0.282962,41,01
14,ZINC000252694384,-75.1656,-26.4308,-0.22544,135,01
15,24139,-74.9572,-30.3937,-0.338851,92,01
16,ZINC000101136391,-74.8822,-28.0626,-0.277034,121,01
20,2801971,-74.69800000000002,-26.6584,-0.239934,51,01
21,5284365,-74.4267,-27.419,-0.237256,48,01
22,ZINC000015205946,-74.275,-25.7497,-0.216986,105,01
23,45266741,-74.2511,-32.4321,-0.412089,23,01
24,ZINC000100656214,-74.2104,-26.4844,-0.238367,117,01
