,LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
427,ZINC000383920275_entry_00428_conf_01,-58.2869,-48.2869,-3.88579,-23.6342,-0.265915,-9.667060000000001,-19.5794,-3.2381599999999997,821148,2.10137
378,ZINC000105341667_entry_00379_conf_01,-58.2718,-46.2718,-4.48245,-24.7824,-0.300048,-10.0624,-19.6789,-3.23732,959648,2.58333
301,ZINC000012364260_entry_00302_conf_01,-58.0665,-48.0665,-2.63939,-20.7229,-0.187728,-8.58605,-17.1541,-2.32266,1100814,3.20475
434,ZINC000396869768_entry_00435_conf_01,-57.9758,-45.9758,-3.8650599999999997,-23.5081,-0.262035,-9.58557,-18.6423,-3.41034,1155542,3.01241
330,ZINC000032106889_entry_00331_conf_01,-57.8376,-49.8376,-2.62898,-20.6413,-0.188209,-8.57077,-17.7862,-2.51468,906658,2.58679
414,ZINC000257347638_entry_00415_conf_01,-57.8006,-43.8006,-1.80627,-18.206,-0.133974,-7.649430000000001,-13.7963,-1.75153,1716670,7.319260000000001
45,49859685_entry_00046_conf_01,-57.6687,-43.6687,-3.03519,-21.6117,-0.192761,-8.6225,-16.3651,-2.6213,1404711,4.33366
431,ZINC000394934764_entry_00432_conf_01,-57.6271,-45.6271,-3.8418,-23.3666,-0.262892,-9.55748,-18.5009,-3.2015,1058331,2.83748
99,16738680_entry_00100_conf_01,-57.1487,-41.1487,-2.85744,-21.0538,-0.19553800000000002,-8.61155,-15.1593,-2.48473,1939763,6.37819
137,5462244_entry_00138_conf_01,-57.1039,-41.1039,-2.8552,-21.0373,-0.195385,-8.6048,-15.1428,-2.48278,1797350,5.979369999999999
430,ZINC000394934764_entry_00431_conf_01,-57.0358,-45.0358,-3.80239,-23.1269,-0.26019499999999995,-9.459430000000001,-18.2611,-3.16866,1013608,2.73737
460,ZINC000616589990_entry_00461_conf_01,-56.8371,-44.8371,-3.78914,-23.0463,-0.25811300000000004,-9.4122,-18.1805,-2.99142,987464,2.75743
135,5462244_entry_00136_conf_01,-56.8119,-40.8119,-2.8406,-20.9297,-0.194386,-8.5608,-15.0352,-2.3671599999999997,1716200,5.70068
429,ZINC000394934764_entry_00430_conf_01,-56.7078,-44.7078,-3.7805199999999997,-22.9939,-0.25869899999999996,-9.40503,-18.1281,-3.15044,1023996,2.81908
171,446101_entry_00172_conf_01,-56.6088,-42.6088,-2.9794099999999997,-21.2145,-0.188531,-8.45377,-15.9679,-2.46125,1423397,4.49
322,ZINC000019893747_entry_00323_conf_01,-56.5878,-38.5878,-2.2635099999999997,-19.3528,-0.164821,-8.0814,-13.1968,-2.09584,2339596,8.83342
428,ZINC000383920275_entry_00429_conf_01,-56.4256,-48.4256,-3.76171,-22.8795,-0.257423,-9.358369999999999,-19.6356,-3.13476,727764,1.73728
327,ZINC000032106887_entry_00328_conf_01,-56.232,-48.232,-2.556,-20.0682,-0.18298399999999998,-8.33284,-17.2132,-2.556,877362,2.45835
426,ZINC000383920275_entry_00427_conf_01,-56.2165,-48.2165,-3.74776,-22.7947,-0.256469,-9.32368,-19.5508,-3.1231400000000002,670853,1.60951
418,ZINC000257347639_entry_00419_conf_01,-56.1742,-42.1742,-1.7554400000000001,-17.6938,-0.130205,-7.4341800000000005,-13.284,-1.70225,1515623,6.32106
415,ZINC000257347638_entry_00416_conf_01,-55.9715,-41.9715,-1.74911,-17.6299,-0.129735,-7.407360000000001,-13.2202,-1.6961099999999998,1514809,6.1121300000000005
323,ZINC000019893747_entry_00324_conf_01,-55.8828,-37.8828,-2.2353099999999997,-19.1117,-0.162768,-7.98072,-12.9557,-2.06973,2344838,8.71997
328,ZINC000032106887_entry_00329_conf_01,-55.2247,-47.2247,-2.51021,-19.7088,-0.179706,-8.18357,-16.8537,-2.4010700000000003,885321,2.4708900000000003
117,9816401_entry_00118_conf_01,-55.1685,-39.1685,-3.2452099999999997,-21.4557,-0.220473,-8.7548,-15.2331,-2.6270700000000002,1665385,5.17379
54,45934204_entry_00055_conf_01,-55.0935,-39.0935,-2.75468,-20.2966,-0.188506,-8.301860000000001,-14.4022,-2.29556,1845999,6.019769999999999
136,5462244_entry_00137_conf_01,-55.0348,-39.0348,-2.7517400000000003,-20.275,-0.188305,-8.29301,-14.3805,-2.29312,1841165,6.11345
329,ZINC000032106887_entry_00330_conf_01,-54.6115,-46.6115,-2.48234,-19.4899,-0.17771099999999998,-8.09271,-16.6349,-2.3744099999999997,922053,2.52494
8,118707521_entry_00009_conf_01,-54.2686,-36.2686,-1.55053,-16.5905,-0.11248,-6.919230000000001,-11.0877,-1.46672,2016590,9.7604
433,ZINC000396869768_entry_00434_conf_01,-53.8194,-41.8194,-3.58796,-21.8227,-0.242146,-8.884889999999999,-16.9569,-3.16585,1167114,3.00604
419,ZINC000257347639_entry_00420_conf_01,-52.1888,-38.1888,-1.6309,-16.4384,-0.120967,-6.90675,-12.0287,-1.58148,1854953,7.58713
432,ZINC000396869768_entry_00433_conf_01,-50.8796,-38.8796,-3.3919699999999997,-20.6306,-0.229962,-8.412289999999999,-15.7649,-2.8266400000000003,1224903,3.1482099999999997
416,ZINC000257347638_entry_00417_conf_01,-50.2743,-38.2743,-1.57107,-15.8354,-0.116529,-6.65338,-12.0556,-1.57107,1537484,5.99797
16,76325328_entry_00017_conf_01,-49.2508,-31.2508,-1.40717,-15.0565,-0.10207999999999999,-6.27946,-9.55371,-1.40717,1988024,9.781419999999999
7,118707521_entry_00008_conf_01,-39.3928,-21.3928,-1.12551,-12.0428,-0.0816475,-5.02257,-6.54001,-1.06467,1865327,8.56274
17,76325328_entry_00018_conf_01,17.6281,35.6281,0.50366,5.3891,0.036536900000000004,2.24757,10.8919,0.47643500000000005,1773573,8.10984
15,76325328_entry_00016_conf_01,64.0752,82.0752,1.8307200000000001,19.5885,0.132806,8.16956,25.0913,1.8845599999999998,1699902,7.896539999999999
6,118707521_entry_00007_conf_01,77.1941,95.1941,2.20554,23.5991,0.159996,9.842210000000001,29.1018,2.08633,1673455,7.58455
