,Label_ad,Molecule_ad,Label_vin,Molecule_vin,Label_smin,Molecule_smin,Label_plan,Molecule_plan,Label_rdoc,Molecule_rdoc
0,76325328,6,76325328,6,52944903,14,ZINC000101361998,123,45266741,23
1,118707521,3,52944903,14,52948856,12,2733335,53,447448,57
2,198515,74,52944904,13,52944904,13,52944904,13,24139,92
3,118328,80,118328,80,118707521,3,44630437,24,44630437,24
4,2733787,52,118707521,3,76325328,6,ZINC000003956714,98,129878031,2
5,312829,71,2733787,52,44341508,25,12600646,36,445621,59
6,198514,75,29327,90,29327,90,ZINC000100815672,118,441477,60
7,ZINC000015205840,104,52948856,12,2733787,52,82313,88,5284365,48
8,202260,73,44341508,25,2733335,53,45266822,22,45357367,21
9,ZINC000102205030,124,ZINC000257347639,140,118328,80,447448,57,6713972,43
10,ZINC000019893747,108,134695375,1,12600646,36,2733787,52,439213,67
11,ZINC000101135603,120,112106,81,7067772,41,7067772,41,44119773,27
12,129618,77,ZINC000257347638,139,ZINC000003956714,98,ZINC000252694384,135,134695375,1
13,ZINC000101361998,123,2733335,53,134695375,1,24139,92,52944904,13
14,99461,83,ZINC000004027859,100,112106,81,ZINC000101136391,121,82313,88
15,ZINC000106382957,130,ZINC000100342293,116,25243963,29,2801971,51,449462,55
16,102416,82,ZINC000575124622,146,82313,88,5284365,48,29327,90
17,ZINC000257347639,140,ZINC000077269504,114,5284365,48,ZINC000015205946,105,51351654,15
18,ZINC000257347638,139,45266822,22,ZINC000101073479,119,45266741,23,7067772,41
19,112106,81,ZINC000101361998,123,24847493,31,ZINC000100656214,117,6420074,44
