Number,Molecule,affinity_(kcal/mol),rmsd_lb,rmsd_ub
0,Lig100,-5.9,0.0,0.0
1,Lig100,-5.7,1.956,4.614
2,Lig100,-5.7,3.373,6.872000000000001
3,Lig100,-5.6,1.9869999999999999,4.073
4,Lig100,-5.4,1.926,5.737
5,Lig100,-5.4,2.137,5.901
6,Lig100,-5.2,2.8560000000000003,5.579
7,Lig100,-5.1,1.882,2.07
8,Lig100,-5.1,4.262,6.2829999999999995
9,Lig100,-5.1,6.6339999999999995,7.784
10,Lig100,-5.0,2.128,4.325
11,Lig100,-5.0,2.229,4.133
12,Lig100,-5.0,4.177,6.117000000000001
13,Lig100,-4.9,3.065,4.865
14,Lig100,-4.8,5.541,8.152000000000001
15,Lig100,-4.8,6.026,7.465
16,Lig100,-4.6,4.125,5.4639999999999995
17,Lig100,-4.6,2.49,3.574
18,Lig100,-4.6,6.38,9.022
19,Lig100,-4.5,5.447,7.652
20,Lig101,-5.7,0.0,0.0
21,Lig101,-5.6,2.146,5.669
22,Lig101,-5.6,1.923,4.588
23,Lig101,-5.5,2.4219999999999997,6.111000000000001
24,Lig101,-5.2,2.2430000000000003,3.3739999999999997
25,Lig101,-5.2,4.091,6.085
26,Lig101,-5.0,2.061,4.042
27,Lig101,-5.0,2.148,3.8710000000000004
28,Lig101,-5.0,2.162,4.186
29,Lig101,-5.0,3.364,5.343999999999999
30,Lig101,-4.9,2.6910000000000003,4.8389999999999995
31,Lig101,-4.8,4.122,6.794
32,Lig101,-4.7,2.452,5.104
33,Lig101,-4.7,3.312,6.023
34,Lig101,-4.7,2.248,4.747
35,Lig101,-4.7,5.422999999999999,7.684
36,Lig101,-4.6,2.186,3.625
37,Lig101,-4.6,2.26,3.216
38,Lig101,-4.5,2.263,4.303999999999999
39,Lig101,-4.5,6.612,8.466000000000001
40,Lig102,-5.7,0.0,0.0
41,Lig102,-5.6,2.167,5.678999999999999
42,Lig102,-5.6,1.915,4.581
43,Lig102,-5.6,2.365,6.093
44,Lig102,-5.2,4.128,6.135
45,Lig102,-5.2,2.221,3.325
46,Lig102,-5.1,2.051,2.801
47,Lig102,-5.0,2.177,4.309
48,Lig102,-5.0,2.052,3.5
49,Lig102,-4.9,2.733,4.88
50,Lig102,-4.9,2.395,4.003
51,Lig102,-4.8,4.48,7.004
52,Lig102,-4.8,2.146,2.58
53,Lig102,-4.7,2.7489999999999997,4.806
54,Lig102,-4.7,3.139,5.492000000000001
55,Lig102,-4.6,4.034,5.475
56,Lig102,-4.6,4.052,6.861000000000001
57,Lig102,-4.5,7.494,10.187999999999999
58,Lig102,-4.5,6.175,8.207
59,Lig102,-4.5,5.47,7.9270000000000005
60,Lig103,-5.5,0.0,0.0
61,Lig103,-5.5,1.7519999999999998,2.641
62,Lig103,-5.4,2.784,5.444
63,Lig103,-5.3,2.234,3.5260000000000002
64,Lig103,-5.3,1.973,4.618
65,Lig103,-5.1,2.426,5.111000000000001
66,Lig103,-5.1,1.922,4.513
67,Lig103,-5.0,2.013,4.617
68,Lig103,-4.9,2.02,4.221
69,Lig103,-4.9,1.8230000000000002,4.695
70,Lig103,-4.7,2.984,5.532
71,Lig103,-4.7,2.801,4.488
72,Lig103,-4.6,2.688,5.867999999999999
73,Lig103,-4.6,2.0869999999999997,4.365
74,Lig103,-4.6,2.5980000000000003,4.939
75,Lig103,-4.5,2.013,5.103
76,Lig103,-4.5,2.263,5.154
77,Lig103,-4.4,6.832000000000001,10.402999999999999
78,Lig103,-4.4,2.483,5.327999999999999
79,Lig103,-4.4,2.539,5.317
80,Lig104,-5.4,0.0,0.0
81,Lig104,-5.3,1.848,4.052
82,Lig104,-5.2,1.7730000000000001,4.572
83,Lig104,-5.2,2.175,4.731
84,Lig104,-5.2,1.79,4.763
85,Lig104,-5.0,1.9869999999999999,5.0169999999999995
86,Lig104,-5.0,2.1,4.566
87,Lig104,-4.9,1.7209999999999999,5.16
88,Lig104,-4.9,2.199,4.69
89,Lig104,-4.8,2.73,5.4
90,Lig104,-4.8,2.259,3.612
91,Lig104,-4.7,3.4730000000000003,5.928
92,Lig104,-4.7,1.931,5.522
93,Lig104,-4.6,2.443,5.728
94,Lig104,-4.5,2.231,4.104
95,Lig104,-4.5,3.002,6.107
96,Lig104,-4.5,1.848,2.431
97,Lig104,-4.3,2.825,6.082999999999999
98,Lig104,-4.3,6.058,8.13
99,Lig104,-4.2,5.4079999999999995,8.202
100,Lig105,-6.0,0.0,0.0
101,Lig105,-6.0,3.715,6.388
102,Lig105,-5.6,2.864,6.111000000000001
103,Lig105,-5.5,2.557,5.038
104,Lig105,-5.5,2.081,5.343
105,Lig105,-5.4,1.751,3.9389999999999996
106,Lig105,-5.3,4.592,6.865
107,Lig105,-5.2,2.082,4.629
108,Lig105,-5.2,7.063,9.352
109,Lig105,-5.2,2.667,4.738
110,Lig105,-5.1,9.22,11.357999999999999
111,Lig105,-5.0,2.385,5.367999999999999
112,Lig105,-5.0,2.305,3.19
113,Lig105,-5.0,2.524,5.314
114,Lig105,-5.0,2.823,3.989
115,Lig105,-4.9,7.013999999999999,9.814
116,Lig105,-4.8,3.2510000000000003,4.745
117,Lig105,-4.8,2.431,5.181
118,Lig105,-4.7,2.366,4.939
119,Lig105,-4.7,4.011,6.492999999999999
120,Lig106,-6.7,0.0,0.0
121,Lig106,-6.3,5.39,8.318999999999999
122,Lig106,-6.0,3.609,4.183
123,Lig106,-5.8,2.645,3.3139999999999996
124,Lig106,-5.8,1.8559999999999999,2.25
125,Lig106,-5.6,6.034,9.042
126,Lig106,-5.3,2.424,2.947
127,Lig106,-5.2,2.457,3.054
128,Lig106,-5.2,2.987,6.922000000000001
129,Lig106,-5.2,4.013,5.117
130,Lig106,-5.1,2.9960000000000004,3.9410000000000003
131,Lig106,-5.0,3.202,3.926
132,Lig106,-4.8,11.302999999999999,12.45
133,Lig106,-4.8,4.191,5.117
134,Lig106,-4.7,4.251,5.1339999999999995
135,Lig106,-4.7,3.636,6.831
136,Lig106,-4.7,3.5669999999999997,4.529
137,Lig106,-4.6,4.823,6.8629999999999995
138,Lig106,-4.5,5.256,6.314
139,Lig106,-4.5,4.237,5.394
140,Lig107,-5.4,0.0,0.0
141,Lig107,-5.2,7.834,9.738999999999999
142,Lig107,-5.2,5.0089999999999995,7.046
143,Lig107,-5.1,7.931,9.531
144,Lig107,-4.8,8.333,9.808
145,Lig107,-4.7,2.813,6.244
146,Lig107,-4.7,2.8680000000000003,6.379
147,Lig107,-4.6,3.159,6.263
148,Lig107,-4.6,3.653,6.5089999999999995
149,Lig107,-4.6,7.949,9.644
150,Lig107,-4.5,8.621,10.288
151,Lig107,-4.5,6.4670000000000005,7.9510000000000005
152,Lig107,-4.4,4.906000000000001,7.265
153,Lig107,-4.4,2.9939999999999998,4.699
154,Lig107,-4.3,3.036,4.525
155,Lig107,-4.3,5.781000000000001,7.545
156,Lig107,-4.3,9.352,10.435
157,Lig107,-4.2,3.785,6.66
158,Lig107,-4.2,3.627,5.48
159,Lig107,-4.1,3.285,6.9110000000000005
160,Lig108,-6.4,0.0,0.0
161,Lig108,-5.7,1.913,2.951
162,Lig108,-5.7,6.067,8.612
163,Lig108,-5.6,4.205,7.439
164,Lig108,-5.3,5.545,8.467
165,Lig108,-5.2,4.971,7.744
166,Lig108,-5.0,2.03,2.517
167,Lig108,-4.9,7.181,9.382
168,Lig108,-4.8,5.115,6.921
169,Lig108,-4.7,4.258,7.0760000000000005
170,Lig108,-4.7,6.079,8.237
171,Lig108,-4.7,3.325,7.071000000000001
172,Lig108,-4.7,4.587,7.452999999999999
173,Lig108,-4.6,1.735,2.043
174,Lig108,-4.5,3.6319999999999997,7.52
175,Lig108,-4.5,6.319,9.148
176,Lig108,-4.4,6.001,9.107000000000001
177,Lig108,-4.4,4.413,5.606
178,Lig108,-4.4,4.917,6.854
179,Lig108,-4.3,1.9969999999999999,2.279
180,Lig109,-5.7,0.0,0.0
181,Lig109,-5.6,1.5919999999999999,1.933
182,Lig109,-5.5,1.8030000000000002,3.3510000000000004
183,Lig109,-5.3,1.819,3.0389999999999997
184,Lig109,-5.1,1.942,4.002
185,Lig109,-4.9,1.6780000000000002,2.226
186,Lig109,-4.9,1.75,2.299
187,Lig109,-4.7,8.117,9.601
188,Lig109,-4.6,1.719,3.138
189,Lig109,-4.6,1.921,2.9939999999999998
190,Lig109,-4.5,2.162,3.964
191,Lig109,-4.4,2.191,4.207
192,Lig109,-4.2,2.322,4.06
193,Lig109,-4.2,5.8020000000000005,7.546
194,Lig109,-4.2,3.262,4.8660000000000005
195,Lig109,-4.2,2.437,3.2310000000000003
196,Lig109,-4.2,2.326,3.6519999999999997
197,Lig109,-4.2,2.952,4.5969999999999995
198,Lig109,-4.1,6.035,7.54
199,Lig109,-4.1,2.793,4.292
200,Lig10,-6.8,0.0,0.0
201,Lig10,-6.2,4.137,7.827999999999999
202,Lig10,-5.9,2.8339999999999996,4.359
203,Lig10,-5.8,3.714,7.266
204,Lig10,-5.7,3.1910000000000003,6.689
205,Lig10,-5.6,3.884,7.3870000000000005
206,Lig10,-5.5,2.2569999999999997,3.373
207,Lig10,-5.5,1.541,2.449
208,Lig10,-5.4,3.656,6.916
209,Lig10,-5.2,2.59,3.4960000000000004
210,Lig10,-5.2,3.877,6.303
211,Lig10,-5.2,3.4730000000000003,6.867000000000001
212,Lig10,-5.2,2.327,2.8280000000000003
213,Lig10,-5.1,2.162,3.5860000000000003
214,Lig10,-5.1,3.8810000000000002,6.325
215,Lig10,-5.1,3.283,7.1
216,Lig10,-4.9,5.271,8.27
217,Lig10,-4.9,7.358,9.198
218,Lig10,-4.9,4.357,7.2170000000000005
219,Lig10,-4.9,8.449,10.33
220,Lig110,-5.8,0.0,0.0
221,Lig110,-5.7,1.499,1.8319999999999999
222,Lig110,-5.6,1.795,3.383
223,Lig110,-5.3,1.831,3.0439999999999996
224,Lig110,-5.1,1.96,4.024
225,Lig110,-5.0,1.3330000000000002,1.671
226,Lig110,-5.0,2.22,3.4210000000000003
227,Lig110,-4.7,2.0669999999999997,3.477
228,Lig110,-4.6,1.868,2.9930000000000003
229,Lig110,-4.5,3.1830000000000003,5.197
230,Lig110,-4.4,2.15,4.216
231,Lig110,-4.4,9.708,10.277000000000001
232,Lig110,-4.4,2.059,3.2889999999999997
233,Lig110,-4.3,2.154,3.4
234,Lig110,-4.1,3.077,4.442
235,Lig110,-4.1,3.134,4.753
236,Lig110,-4.0,2.403,4.085
237,Lig110,-4.0,6.182,7.63
238,Lig110,-3.9,6.624,8.445
239,Lig110,-3.8,2.5780000000000003,3.775
240,Lig111,-5.2,0.0,0.0
241,Lig111,-5.1,2.281,4.143
242,Lig111,-5.1,2.032,3.117
243,Lig111,-5.0,2.474,3.9210000000000003
244,Lig111,-4.9,1.786,3.1630000000000003
245,Lig111,-4.9,2.488,3.9419999999999997
246,Lig111,-4.6,2.386,3.205
247,Lig111,-4.6,1.69,2.0869999999999997
248,Lig111,-4.5,2.002,3.3710000000000004
249,Lig111,-4.4,2.367,4.362
250,Lig111,-4.4,2.431,4.0889999999999995
251,Lig111,-4.2,2.75,4.534
252,Lig111,-4.2,9.376,10.645999999999999
253,Lig111,-4.2,3.0810000000000004,4.453
254,Lig111,-4.2,2.582,3.835
255,Lig111,-4.1,4.085,5.696000000000001
256,Lig111,-4.1,5.959,7.603
257,Lig111,-4.0,3.37,5.067
258,Lig111,-4.0,2.112,2.7
259,Lig111,-3.9,5.752999999999999,7.999
260,Lig112,-6.0,0.0,0.0
261,Lig112,-5.8,1.8,4.917
262,Lig112,-5.5,2.11,4.7410000000000005
263,Lig112,-5.3,2.804,4.306
264,Lig112,-5.0,3.0010000000000003,5.409
265,Lig112,-4.8,3.784,6.829
266,Lig112,-4.8,3.798,5.941
267,Lig112,-4.8,5.205,6.563
268,Lig112,-4.7,4.841,8.324
269,Lig112,-4.7,3.957,6.3229999999999995
270,Lig112,-4.6,7.15,9.29
271,Lig112,-4.6,3.287,5.563
272,Lig112,-4.6,3.157,4.22
273,Lig112,-4.6,8.219,9.357999999999999
274,Lig112,-4.4,4.29,6.553999999999999
275,Lig112,-4.3,2.983,4.194
276,Lig112,-4.3,2.8339999999999996,5.907
277,Lig112,-4.2,5.369,8.205
278,Lig112,-4.2,4.803999999999999,8.061
279,Lig112,-4.1,6.007000000000001,8.537
280,Lig113,-5.8,0.0,0.0
281,Lig113,-5.0,3.622,6.465
282,Lig113,-4.9,2.076,4.707
283,Lig113,-4.8,2.7689999999999997,4.4239999999999995
284,Lig113,-4.8,5.9910000000000005,8.732000000000001
285,Lig113,-4.7,1.994,3.072
286,Lig113,-4.5,6.965,8.919
287,Lig113,-4.5,7.067,9.222999999999999
288,Lig113,-4.4,5.024,8.196
289,Lig113,-4.4,8.337,9.72
290,Lig113,-4.4,3.032,5.605
291,Lig113,-4.3,7.803999999999999,9.54
292,Lig113,-4.3,8.027000000000001,10.520999999999999
293,Lig113,-4.2,8.227,10.081
294,Lig113,-4.2,2.985,4.7139999999999995
295,Lig113,-4.2,6.96,9.158999999999999
296,Lig113,-4.1,7.9270000000000005,10.376
297,Lig113,-4.1,6.95,9.328
298,Lig113,-4.1,4.357,7.001
299,Lig113,-4.1,7.126,9.06
300,Lig114,-6.2,0.0,0.0
301,Lig114,-5.5,1.5419999999999998,4.76
302,Lig114,-5.2,3.427,6.526
303,Lig114,-4.9,2.909,4.218999999999999
304,Lig114,-4.9,1.656,2.399
305,Lig114,-4.9,1.886,4.736000000000001
306,Lig114,-4.8,2.861,5.4270000000000005
307,Lig114,-4.8,7.968999999999999,9.841000000000001
308,Lig114,-4.6,2.602,4.52
309,Lig114,-4.5,3.7939999999999996,5.903
310,Lig114,-4.4,2.9789999999999996,4.4719999999999995
311,Lig114,-4.4,4.466,6.683
312,Lig114,-4.3,3.055,4.113
313,Lig114,-4.3,5.372000000000001,7.843
314,Lig114,-4.3,5.257999999999999,8.792
315,Lig114,-4.2,6.718,8.642999999999999
316,Lig114,-4.2,4.702,7.601
317,Lig114,-4.2,4.774,8.29
318,Lig114,-4.2,3.162,4.908
319,Lig114,-4.1,3.405,5.859
320,Lig115,-5.5,0.0,0.0
321,Lig115,-4.9,2.617,4.523
322,Lig115,-4.8,2.449,3.193
323,Lig115,-4.8,7.325,9.422
324,Lig115,-4.7,6.117000000000001,8.375
325,Lig115,-4.7,5.246,8.158999999999999
326,Lig115,-4.6,3.0069999999999997,4.427
327,Lig115,-4.6,8.478,10.311
328,Lig115,-4.5,8.567,10.821
329,Lig115,-4.5,6.785,10.26
330,Lig115,-4.5,3.014,5.073
331,Lig115,-4.4,7.806,9.735
332,Lig115,-4.4,3.8169999999999997,5.912999999999999
333,Lig115,-4.3,3.137,4.287
334,Lig115,-4.3,8.097000000000001,9.804
335,Lig115,-4.3,4.002,5.1080000000000005
336,Lig115,-4.2,2.866,5.912999999999999
337,Lig115,-4.2,9.092,10.347999999999999
338,Lig115,-4.2,7.93,9.926
339,Lig115,-4.1,7.227,9.71
340,Lig116,-5.3,0.0,0.0
341,Lig116,-5.1,1.953,4.817
342,Lig116,-5.0,2.81,4.598
343,Lig116,-4.8,1.786,3.113
344,Lig116,-4.8,6.723,8.337
345,Lig116,-4.7,3.1239999999999997,5.254
346,Lig116,-4.7,3.4,4.933
347,Lig116,-4.7,2.95,5.556
348,Lig116,-4.6,2.208,4.992
349,Lig116,-4.6,3.971,5.774
350,Lig116,-4.6,4.024,5.792000000000001
351,Lig116,-4.5,5.652,7.495
352,Lig116,-4.5,2.569,5.142
353,Lig116,-4.4,4.505,6.16
354,Lig116,-4.3,2.696,4.308
355,Lig116,-4.3,2.27,3.719
356,Lig116,-4.3,4.533,7.031000000000001
357,Lig116,-4.2,5.37,7.857
358,Lig116,-4.1,3.383,5.614
359,Lig116,-4.1,3.193,5.07
360,Lig117,-5.5,0.0,0.0
361,Lig117,-5.1,2.432,4.085
362,Lig117,-4.9,4.821000000000001,6.943
363,Lig117,-4.8,2.428,3.532
364,Lig117,-4.8,8.25,9.81
365,Lig117,-4.8,9.213,10.729000000000001
366,Lig117,-4.7,2.141,4.7410000000000005
367,Lig117,-4.7,2.234,4.336
368,Lig117,-4.6,2.042,3.015
369,Lig117,-4.6,7.269,8.722999999999999
370,Lig117,-4.5,7.3839999999999995,9.292
371,Lig117,-4.4,1.624,3.035
372,Lig117,-4.3,2.272,5.502000000000001
373,Lig117,-4.3,1.858,4.977
374,Lig117,-4.3,8.349,9.761000000000001
375,Lig117,-4.1,8.095,9.122
376,Lig117,-4.1,3.345,5.075
377,Lig117,-4.0,3.0780000000000003,5.297999999999999
378,Lig117,-4.0,8.253,9.804
379,Lig117,-4.0,2.9189999999999996,4.257
380,Lig118,-5.5,0.0,0.0
381,Lig118,-5.2,2.833,4.177
382,Lig118,-5.2,3.095,5.155
383,Lig118,-5.2,2.647,5.822
384,Lig118,-5.2,2.2769999999999997,4.552
385,Lig118,-5.2,7.445,9.667
386,Lig118,-5.1,2.0780000000000003,2.867
387,Lig118,-5.0,2.347,3.929
388,Lig118,-5.0,1.7109999999999999,2.2769999999999997
389,Lig118,-4.8,4.232,6.5489999999999995
390,Lig118,-4.8,2.339,4.001
391,Lig118,-4.7,2.467,4.029
392,Lig118,-4.7,2.3280000000000003,4.686
393,Lig118,-4.5,6.228,8.095
394,Lig118,-4.5,2.0380000000000003,2.661
395,Lig118,-4.3,3.2969999999999997,5.426
396,Lig118,-4.2,5.4239999999999995,7.9270000000000005
397,Lig118,-4.1,2.988,5.377999999999999
398,Lig118,-4.0,5.952999999999999,8.774
399,Lig118,-4.0,3.739,5.0089999999999995
400,Lig119,-5.8,0.0,0.0
401,Lig119,-5.8,7.568,9.849
402,Lig119,-5.6,7.852,9.943
403,Lig119,-5.5,9.447000000000001,11.273
404,Lig119,-5.5,8.82,10.632
405,Lig119,-5.4,7.597,9.402000000000001
406,Lig119,-5.3,8.951,10.407
407,Lig119,-5.3,7.297999999999999,9.198
408,Lig119,-5.2,7.87,10.25
409,Lig119,-5.2,11.032,13.017999999999999
410,Lig119,-5.2,8.177,9.777000000000001
411,Lig119,-5.1,3.489,5.51
412,Lig119,-5.1,2.458,5.922000000000001
413,Lig119,-5.0,11.15,13.037
414,Lig119,-5.0,8.373,10.347000000000001
415,Lig119,-5.0,8.189,9.831
416,Lig119,-4.9,7.468,9.667
417,Lig119,-4.8,4.746,7.65
418,Lig119,-4.8,3.6319999999999997,5.337000000000001
419,Lig119,-4.8,10.047,12.073
420,Lig11,-6.2,0.0,0.0
421,Lig11,-6.1,3.404,6.947
422,Lig11,-5.8,3.5269999999999997,6.563
423,Lig11,-5.6,4.1930000000000005,6.67
424,Lig11,-5.6,2.923,4.662
425,Lig11,-5.5,2.6489999999999996,4.126
426,Lig11,-5.5,3.176,6.492999999999999
427,Lig11,-5.4,3.1910000000000003,6.391
428,Lig11,-5.2,4.148,7.733
429,Lig11,-5.2,6.399,8.621
430,Lig11,-5.1,4.787,8.127
431,Lig11,-5.1,2.073,2.47
432,Lig11,-5.0,4.81,7.896
433,Lig11,-4.8,3.15,3.985
434,Lig11,-4.6,7.765,9.204
435,Lig11,-4.6,3.1839999999999997,6.569
436,Lig11,-4.4,7.966,10.385
437,Lig11,-4.4,5.307,7.745
438,Lig11,-4.4,4.378,7.193
439,Lig11,-4.4,7.774,8.684
440,Lig120,-5.8,0.0,0.0
441,Lig120,-5.6,2.2159999999999997,4.5969999999999995
442,Lig120,-5.5,2.92,5.215
443,Lig120,-5.3,2.435,3.924
444,Lig120,-5.2,2.002,2.66
445,Lig120,-5.2,2.7239999999999998,4.353
446,Lig120,-5.1,2.035,3.111
447,Lig120,-5.0,1.993,2.391
448,Lig120,-5.0,2.755,5.228
449,Lig120,-4.9,2.906,5.8839999999999995
450,Lig120,-4.9,2.072,5.92
451,Lig120,-4.9,9.605,11.315
452,Lig120,-4.9,2.318,3.4
453,Lig120,-4.9,2.245,3.457
454,Lig120,-4.8,2.5869999999999997,4.997
455,Lig120,-4.6,2.306,5.502999999999999
456,Lig120,-4.6,2.164,6.287000000000001
457,Lig120,-4.6,2.861,4.265
458,Lig120,-4.5,8.307,9.202
459,Lig120,-4.5,1.7280000000000002,5.267
460,Lig121,-5.9,0.0,0.0
461,Lig121,-5.6,2.645,4.699
462,Lig121,-5.4,2.674,4.573
463,Lig121,-5.1,3.4019999999999997,6.8660000000000005
464,Lig121,-5.1,3.655,5.811
465,Lig121,-5.1,3.109,5.011
466,Lig121,-5.1,5.782,8.305
467,Lig121,-4.8,4.729,5.744
468,Lig121,-4.8,2.9019999999999997,6.4
469,Lig121,-4.8,3.41,5.362
470,Lig121,-4.8,2.875,4.521
471,Lig121,-4.7,3.378,5.207000000000001
472,Lig121,-4.7,3.668,5.396
473,Lig121,-4.4,5.474,7.273
474,Lig121,-4.4,5.047,7.122000000000001
475,Lig121,-4.3,5.602,7.818
476,Lig121,-4.3,4.861000000000001,6.502999999999999
477,Lig121,-4.3,5.08,7.5120000000000005
478,Lig121,-4.3,2.822,5.773
479,Lig121,-4.3,4.725,6.881
480,Lig122,-6.7,0.0,0.0
481,Lig122,-6.0,1.723,3.2260000000000004
482,Lig122,-5.7,2.471,5.749
483,Lig122,-5.1,8.847000000000001,9.814
484,Lig122,-5.0,2.845,5.8420000000000005
485,Lig122,-5.0,3.0839999999999996,4.349
486,Lig122,-4.9,2.126,2.866
487,Lig122,-4.9,2.529,5.778
488,Lig122,-4.9,3.0039999999999996,6.028
489,Lig122,-4.9,2.494,3.155
490,Lig122,-4.8,3.562,6.1770000000000005
491,Lig122,-4.7,2.795,6.15
492,Lig122,-4.6,2.668,5.837999999999999
493,Lig122,-4.6,4.236000000000001,6.71
494,Lig122,-4.6,8.318999999999999,9.68
495,Lig122,-4.5,4.798,5.841
496,Lig122,-4.5,3.4530000000000003,6.187
497,Lig122,-4.5,2.8489999999999998,4.662
498,Lig122,-4.5,3.272,5.079
499,Lig122,-4.4,3.033,4.593
500,Lig123,-5.7,0.0,0.0
501,Lig123,-5.5,4.143,6.85
502,Lig123,-5.4,2.529,5.956
503,Lig123,-5.2,1.892,2.968
504,Lig123,-5.0,3.437,6.443
505,Lig123,-4.9,3.053,4.6339999999999995
506,Lig123,-4.8,2.241,3.682
507,Lig123,-4.8,2.2680000000000002,6.409
508,Lig123,-4.8,3.4139999999999997,4.886
509,Lig123,-4.7,2.335,6.125
510,Lig123,-4.7,2.241,6.016
511,Lig123,-4.6,2.867,4.602
512,Lig123,-4.6,2.333,3.642
513,Lig123,-4.6,2.824,5.452000000000001
514,Lig123,-4.6,2.6639999999999997,4.473
515,Lig123,-4.5,2.745,6.2410000000000005
516,Lig123,-4.4,2.67,6.452999999999999
517,Lig123,-4.4,1.722,2.251
518,Lig123,-4.3,3.062,4.37
519,Lig123,-4.2,3.28,4.478
520,Lig124,-6.0,0.0,0.0
521,Lig124,-5.8,1.6540000000000001,2.019
522,Lig124,-5.8,2.088,2.523
523,Lig124,-5.7,2.786,5.945
524,Lig124,-5.1,1.608,1.791
525,Lig124,-5.0,1.855,4.9719999999999995
526,Lig124,-4.9,2.76,4.652
527,Lig124,-4.9,8.939,10.221
528,Lig124,-4.8,2.958,4.961
529,Lig124,-4.8,4.974,6.422000000000001
530,Lig124,-4.8,2.391,4.921
531,Lig124,-4.7,10.022,11.538
532,Lig124,-4.6,2.733,3.992
533,Lig124,-4.6,2.461,3.719
534,Lig124,-4.6,2.009,3.1239999999999997
535,Lig124,-4.6,2.094,2.653
536,Lig124,-4.6,4.623,6.811
537,Lig124,-4.5,2.395,2.966
538,Lig124,-4.5,8.937000000000001,9.942
539,Lig124,-4.5,2.313,5.27
540,Lig125,-6.1,0.0,0.0
541,Lig125,-5.5,2.801,5.475
542,Lig125,-5.3,2.471,4.081
543,Lig125,-5.2,3.052,4.9910000000000005
544,Lig125,-5.2,2.853,6.017
545,Lig125,-5.1,2.7539999999999996,5.169
546,Lig125,-5.1,1.719,5.266
547,Lig125,-5.0,2.27,5.527
548,Lig125,-5.0,2.042,5.247999999999999
549,Lig125,-4.9,2.573,4.297
550,Lig125,-4.7,2.745,3.862
551,Lig125,-4.6,2.6660000000000004,6.184
552,Lig125,-4.6,6.645,8.641
553,Lig125,-4.5,2.635,5.664
554,Lig125,-4.5,3.827,7.728
555,Lig125,-4.5,2.985,5.124
556,Lig125,-4.4,2.263,3.827
557,Lig125,-4.3,2.633,4.3919999999999995
558,Lig125,-4.3,6.428999999999999,8.369
559,Lig126,-5.1,0.0,0.0
560,Lig126,-5.0,2.9,5.114
561,Lig126,-5.0,3.071,6.874
562,Lig126,-4.7,5.6770000000000005,7.627000000000001
563,Lig126,-4.6,6.265,8.0
564,Lig126,-4.5,2.302,4.753
565,Lig126,-4.5,1.875,4.683
566,Lig126,-4.5,3.715,6.843999999999999
567,Lig126,-4.5,2.937,4.968
568,Lig126,-4.5,2.12,3.735
569,Lig126,-4.4,5.093,7.074
570,Lig126,-4.4,5.64,8.037
571,Lig126,-4.4,3.158,5.796
572,Lig126,-4.3,3.7689999999999997,5.254
573,Lig126,-4.3,4.019,7.205
574,Lig126,-4.3,1.857,4.873
575,Lig126,-4.2,2.218,3.634
576,Lig126,-4.2,2.775,5.061
577,Lig126,-4.2,3.159,4.763999999999999
578,Lig126,-4.1,1.733,3.1919999999999997
579,Lig127,-5.8,0.0,0.0
580,Lig127,-5.6,4.836,7.375
581,Lig127,-5.3,4.494,6.29
582,Lig127,-5.3,7.52,9.73
583,Lig127,-5.3,6.032,9.347999999999999
584,Lig127,-5.3,3.319,5.242000000000001
585,Lig127,-5.1,4.185,5.95
586,Lig127,-5.0,4.482,8.277999999999999
587,Lig127,-5.0,4.388999999999999,8.01
588,Lig127,-5.0,5.227,7.257999999999999
589,Lig127,-5.0,3.984,6.347
590,Lig127,-4.9,4.571000000000001,8.238
591,Lig127,-4.9,3.5389999999999997,5.506
592,Lig127,-4.8,4.79,7.194
593,Lig127,-4.8,2.265,3.804
594,Lig127,-4.7,2.71,4.488
595,Lig127,-4.7,5.066,6.296
596,Lig127,-4.6,8.877,12.280999999999999
597,Lig127,-4.5,2.63,3.986
598,Lig127,-4.5,4.088,6.108
599,Lig128,-6.3,0.0,0.0
600,Lig128,-6.0,2.674,5.574
601,Lig128,-6.0,6.059,7.545
602,Lig128,-5.6,3.616,6.731
603,Lig128,-5.3,1.883,2.9010000000000002
604,Lig128,-5.3,3.966,6.455
605,Lig128,-5.2,4.1339999999999995,6.395
606,Lig128,-5.1,2.987,5.519
607,Lig128,-5.1,5.39,7.711
608,Lig128,-5.0,4.0969999999999995,6.34
609,Lig128,-4.9,3.5789999999999997,6.659
610,Lig128,-4.8,4.675,6.858
611,Lig128,-4.7,7.207999999999999,9.429
612,Lig128,-4.7,2.335,4.135
613,Lig128,-4.6,4.2330000000000005,6.846
614,Lig128,-4.6,5.687,7.657
615,Lig128,-4.4,5.591,7.612
616,Lig128,-4.4,6.474,8.186
617,Lig128,-4.4,2.191,2.798
618,Lig128,-4.3,4.961,7.182
619,Lig129,-6.1,0.0,0.0
620,Lig129,-6.0,1.9569999999999999,6.147
621,Lig129,-5.8,3.858,6.331
622,Lig129,-5.8,3.2880000000000003,6.347
623,Lig129,-5.7,4.754,6.69
624,Lig129,-5.6,6.347,10.575
625,Lig129,-5.6,4.037,6.8660000000000005
626,Lig129,-5.5,3.072,3.6910000000000003
627,Lig129,-5.3,10.949000000000002,13.145
628,Lig129,-5.2,10.382,12.398
629,Lig129,-5.2,3.852,6.1160000000000005
630,Lig129,-5.0,4.117,7.4
631,Lig129,-5.0,3.915,5.649
632,Lig129,-5.0,4.03,5.278
633,Lig129,-4.9,1.702,3.428
634,Lig129,-4.9,4.132,6.172000000000001
