Number,Molecule,Affinity
197,Lig104,-4.82747412
198,Lig104,-4.82700014
199,Lig104,-4.66421986
200,Lig104,-4.51794767
201,Lig104,-4.50845051
202,Lig104,-4.32382536
203,Lig104,-4.28553629
204,Lig104,-4.13179159
205,Lig104,-4.0613307999999995
206,Lig104,-3.96976328
207,Lig104,-3.90817714
208,Lig104,-3.84875035
209,Lig104,-3.75823045
210,Lig104,-3.72700143
211,Lig104,-3.7187767
212,Lig104,-3.69069767
213,Lig104,-3.65385962
214,Lig104,-3.49749613
215,Lig104,-3.48258519
216,Lig104,-3.47861934
217,Lig104,-3.40797138
218,Lig104,-3.38541818
219,Lig104,-3.34049773
220,Lig104,-3.28436232
221,Lig104,-3.28273916
222,Lig104,-3.27373099
223,Lig104,-3.21846485
224,Lig104,-3.20026684
225,Lig104,-3.15451193
226,Lig104,-3.14373207
227,Lig104,-3.11824369
228,Lig104,-3.10217381
229,Lig104,-2.99757862
230,Lig104,-2.98101258
231,Lig104,-2.95028329
232,Lig104,-2.91691613
233,Lig104,-2.89376736
234,Lig104,-2.86589265
235,Lig104,-2.85390401
236,Lig104,-2.78704166
237,Lig104,-2.78098321
238,Lig104,-2.77703643
239,Lig104,-2.75891161
240,Lig104,-2.73069811
241,Lig104,-2.70799136
242,Lig104,-2.69824195
243,Lig104,-2.695786
244,Lig104,-2.68914056
245,Lig104,-2.57603359
246,Lig105,-5.08005571
247,Lig105,-5.06684637
248,Lig105,-4.93679714
249,Lig105,-4.67654419
250,Lig105,-4.66795588
251,Lig105,-4.64158249
252,Lig105,-4.50978899
253,Lig105,-4.46975088
254,Lig105,-4.40303755
255,Lig105,-4.36547756
256,Lig105,-4.34790039
257,Lig105,-4.25846672
258,Lig105,-4.20337439
259,Lig105,-4.10481024
260,Lig105,-4.09183884
261,Lig105,-4.02615833
262,Lig105,-3.86143231
263,Lig105,-3.8523047
264,Lig105,-3.83940172
265,Lig105,-3.82147861
266,Lig105,-3.82120633
267,Lig105,-3.80209684
268,Lig105,-3.74167395
269,Lig105,-3.74138284
270,Lig105,-3.63908839
271,Lig105,-3.62615967
272,Lig105,-3.58441973
273,Lig105,-3.55898714
274,Lig105,-3.55747271
275,Lig105,-3.46956015
276,Lig105,-3.4671277999999996
277,Lig105,-3.45036292
278,Lig105,-3.43182302
279,Lig105,-3.42313886
280,Lig105,-3.40859699
281,Lig105,-3.37504268
282,Lig105,-3.35354018
283,Lig105,-3.31872416
284,Lig105,-3.29988694
285,Lig105,-3.25140429
286,Lig105,-3.1921401
287,Lig105,-3.08172011
288,Lig105,-3.04843354
289,Lig105,-3.01613832
290,Lig105,-3.00097108
291,Lig105,-2.9683907000000005
292,Lig105,-2.9617188
293,Lig105,-2.91953349
294,Lig105,-2.90317035
295,Lig105,-2.85111785
296,Lig106,-5.24134493
297,Lig106,-5.14626455
298,Lig106,-4.98508453
299,Lig106,-4.92716837
300,Lig106,-4.725088599999999
301,Lig106,-4.58774137
302,Lig106,-4.51988745
303,Lig106,-4.38693666
