Number,Molecule,Affinity
0,Lig100,-5.2747612
1,Lig100,-5.00581741
2,Lig100,-4.80276346
3,Lig100,-4.78555202
4,Lig100,-4.7808733
5,Lig100,-4.76923513
6,Lig100,-4.74694347
7,Lig100,-4.57327175
8,Lig100,-4.53436804
9,Lig100,-4.49584436
10,Lig100,-4.28815031
11,Lig100,-4.17862558
12,Lig100,-4.02464867
13,Lig100,-4.01232195
14,Lig100,-3.96323323
15,Lig100,-3.95005965
16,Lig100,-3.91250587
17,Lig100,-3.90688848
18,Lig100,-3.87401962
19,Lig100,-3.83554649
20,Lig100,-3.83275557
21,Lig100,-3.8183856
22,Lig100,-3.70808053
23,Lig100,-3.65688944
24,Lig100,-3.64260435
25,Lig100,-3.62428761
26,Lig100,-3.54272413
27,Lig100,-3.51707649
28,Lig100,-3.51226354
29,Lig100,-3.46755862
30,Lig100,-3.45771837
31,Lig100,-3.43775725
32,Lig100,-3.41256642
33,Lig100,-3.36373091
34,Lig100,-3.35246658
35,Lig100,-3.3412528
36,Lig100,-3.32854223
37,Lig100,-3.31799459
38,Lig100,-3.28912234
39,Lig100,-3.28567004
40,Lig100,-3.26155496
41,Lig100,-3.23756504
42,Lig100,-3.20850968
43,Lig100,-3.17841148
44,Lig100,-3.17678738
45,Lig100,-3.16121244
46,Lig100,-3.15449834
47,Lig100,-3.12353206
48,Lig100,-3.12018228
49,Lig100,-3.00849533
50,Lig101,-6.04153728
51,Lig101,-5.78829193
52,Lig101,-5.45979929
53,Lig101,-5.36960649
54,Lig101,-5.20831108
55,Lig101,-5.0789032
56,Lig101,-4.97317505
57,Lig101,-4.80413818
58,Lig101,-4.75487947
59,Lig101,-4.72138166
60,Lig101,-4.67770958
61,Lig101,-4.60966921
62,Lig101,-4.59307051
63,Lig101,-4.55866003
64,Lig101,-4.55093718
65,Lig101,-4.53063011
66,Lig101,-4.52244997
67,Lig101,-4.40462065
68,Lig101,-4.39270449
69,Lig101,-4.38302898
70,Lig101,-4.36874485
71,Lig101,-4.33550787
72,Lig101,-4.32949018
73,Lig101,-4.23232365
74,Lig101,-4.17225885
75,Lig101,-4.12827492
76,Lig101,-4.11951733
77,Lig101,-4.07795095
78,Lig101,-4.06150341
79,Lig101,-4.01020908
80,Lig101,-4.00766563
81,Lig101,-4.00739765
82,Lig101,-4.00588274
83,Lig101,-3.97038937
84,Lig101,-3.95819736
85,Lig101,-3.95489979
86,Lig101,-3.95071602
87,Lig101,-3.94775963
88,Lig101,-3.90628767
89,Lig101,-3.88649416
90,Lig101,-3.87517691
91,Lig101,-3.81973553
92,Lig101,-3.81336093
93,Lig101,-3.81175613
94,Lig101,-3.77268648
95,Lig101,-3.76478052
96,Lig101,-3.73699665
97,Lig101,-3.73466325
98,Lig101,-3.73197722
99,Lig101,-3.62673807
100,Lig102,-5.87103415
101,Lig102,-5.78379202
102,Lig102,-5.52161026
103,Lig102,-5.37924814
104,Lig102,-5.33614063
105,Lig102,-5.33521032
106,Lig102,-5.26460743
107,Lig102,-5.09194279
108,Lig102,-5.03217506
109,Lig102,-4.95118999
110,Lig102,-4.88152552
111,Lig102,-4.84196329
112,Lig102,-4.7824173
113,Lig102,-4.77961636
114,Lig102,-4.67343855
115,Lig102,-4.62456465
116,Lig102,-4.62170744
117,Lig102,-4.54507828
118,Lig102,-4.5446229
119,Lig102,-4.54136181
120,Lig102,-4.52678251
121,Lig102,-4.5150733
122,Lig102,-4.46870947
123,Lig102,-4.40970087
124,Lig102,-4.40273714
125,Lig102,-4.3915987
126,Lig102,-4.35005999
127,Lig102,-4.27985907
128,Lig102,-4.25980186
129,Lig102,-4.23628855
130,Lig102,-4.1992135
131,Lig102,-4.15906906
132,Lig102,-4.14608479
133,Lig102,-4.13665819
134,Lig102,-4.1217432
135,Lig102,-4.11366844
136,Lig102,-4.10315418
137,Lig102,-3.99146461
138,Lig102,-3.98821259
139,Lig102,-3.98795867
140,Lig102,-3.95146871
141,Lig102,-3.94047523
142,Lig102,-3.93081808
143,Lig102,-3.89789104
144,Lig102,-3.87453341
145,Lig102,-3.87130356
146,Lig102,-3.86403847
147,Lig102,-3.79449558
148,Lig102,-3.7598629
149,Lig102,-3.72786808
150,Lig103,-7.07988787
151,Lig103,-6.76766777
152,Lig103,-6.56721687
153,Lig103,-6.48759222
154,Lig103,-6.46209574
155,Lig103,-6.35441494
156,Lig103,-6.33102465
157,Lig103,-6.24462461
158,Lig103,-6.10097551
159,Lig103,-6.08704805
160,Lig103,-6.08411121
161,Lig103,-6.03927135
162,Lig103,-6.0242691
163,Lig103,-6.00798416
164,Lig103,-5.98426914
165,Lig103,-5.96496058
166,Lig103,-5.91623354
167,Lig103,-5.88085604
168,Lig103,-5.80753231
169,Lig103,-5.79692793
170,Lig103,-5.78846169
171,Lig103,-5.72362089
172,Lig103,-5.71722555
173,Lig103,-5.71559143
174,Lig103,-5.41309834
175,Lig103,-5.39265299
176,Lig103,-5.37201262
177,Lig103,-5.33315516
178,Lig103,-5.28916264
179,Lig103,-5.234953400000001
180,Lig103,-5.23355579
181,Lig103,-5.19440937
182,Lig103,-5.09386873
183,Lig103,-5.04798174
184,Lig103,-4.99950218
185,Lig103,-4.96968269
186,Lig103,-4.95224619
187,Lig103,-4.8362875
188,Lig103,-4.83095264
189,Lig103,-4.76323605
190,Lig103,-4.74826479
191,Lig103,-4.72976255
192,Lig103,-4.72356987
193,Lig103,-4.70670891
194,Lig103,-4.70230722
195,Lig103,-4.68413925
196,Lig103,-4.67402267
197,Lig103,-4.63078928
198,Lig103,-4.52462339
199,Lig104,-6.87977743
200,Lig104,-6.66384649
201,Lig104,-6.492342
202,Lig104,-6.38643837
203,Lig104,-6.36403656
204,Lig104,-6.18640089
205,Lig104,-6.11181498
206,Lig104,-6.05829763
207,Lig104,-6.01647186
208,Lig104,-6.00287342
