,LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
27,52944903_entry_00028_conf_01,-84.1483,-58.1483,-2.47495,-25.9748,-0.17996900000000002,-10.8417,-17.9492,-2.27428,4669789,22.7935
239,ZINC000101135603_entry_00240_conf_01,-80.8392,-60.8392,-2.78756,-26.3121,-0.20137,-10.9584,-19.8024,-2.52622,3245683,13.3225
97,4282259_entry_00098_conf_01,-78.4517,-62.4517,-3.73579,-28.4356,-0.263879,-11.7545,-22.6362,-3.13807,1825708,6.03803
81,7067772_entry_00082_conf_01,-77.6327,-59.6327,-4.312930000000001,-29.6224,-0.291591,-12.0676,-22.7541,-3.23469,2009130,6.79634
174,82313_entry_00175_conf_01,-76.6003,-64.6003,-5.10668,-31.0599,-0.346279,-12.6657,-26.1941,-3.8300099999999997,1018969,2.8652
245,ZINC000101361998_entry_00246_conf_01,-76.5119,-52.5119,-2.6383400000000004,-24.9036,-0.189658,-10.3548,-17.0919,-2.46813,4028616,17.8963
23,52948856_entry_00024_conf_01,-76.495,-46.495,-2.12486,-23.1668,-0.154341,-9.66606,-14.0812,-1.9123700000000001,4990028,26.1642
46,44630437_entry_00047_conf_01,-76.2931,-62.2931,-4.76832,-30.2769,-0.324326,-12.359000000000002,-24.721,-3.63301,1332800,3.8478800000000004
235,ZINC000100815672_entry_00236_conf_01,-76.1927,-56.1927,-3.04771,-26.0575,-0.208573,-10.6585,-19.2176,-2.6273299999999997,2642109,10.3089
178,29327_entry_00179_conf_01,-75.7072,-61.7072,-4.20596,-28.8877,-0.28544,-11.7832,-23.5457,-3.2916199999999995,1328916,4.30555
24,52944904_entry_00025_conf_01,-75.4962,-47.4962,-2.15703,-23.08,-0.156763,-9.63158,-14.5201,-1.9867400000000002,4359164,22.2535
104,2733335_entry_00105_conf_01,-75.4408,-57.4408,-4.19116,-28.7861,-0.284435,-11.7417,-21.9178,-3.2800300000000004,1841968,6.35775
2,129878031_entry_00003_conf_01,-75.3248,-57.3248,-4.43087,-29.2947,-0.302191,-11.9689,-22.2943,-3.2749900000000003,1943216,6.1621
233,ZINC000100656214_entry_00234_conf_01,-75.2785,-57.2785,-3.42175,-26.8656,-0.241798,-11.107000000000001,-20.4417,-2.89533,2145289,7.61025
56,25243963_entry_00057_conf_01,-75.1761,-61.1761,-3.95663,-28.1727,-0.25128,-11.2402,-22.9261,-3.26852,1448726,4.54023
127,440235_entry_00128_conf_01,-74.9634,-58.9634,-3.94544,-28.093000000000004,-0.24966,-11.1948,-22.0969,-3.25928,1848953,6.11605
116,445621_entry_00117_conf_01,-74.28399999999999,-62.284,-6.19034,-32.4465,-0.412272,-13.152000000000001,-27.2051,-4.36965,831849,2.28365
162,102416_entry_00163_conf_01,-74.1615,-58.1615,-3.09006,-25.7104,-0.21665399999999999,-10.6017,-20.1635,-2.64862,2009453,7.3191
234,ZINC000100815672_entry_00235_conf_01,-74.0442,-54.0442,-2.96177,-25.3228,-0.202692,-10.3579,-18.4828,-2.55325,2702985,10.6698
236,ZINC000101073479_entry_00237_conf_01,-73.9855,-57.9855,-3.5231199999999996,-26.8168,-0.248856,-11.0853,-21.0174,-2.95942,1840428,6.26946
257,ZINC000106382931_entry_00258_conf_01,-73.8849,-59.8849,-3.3584099999999997,-26.3683,-0.234337,-10.8555,-21.3719,-2.84173,1591746,5.43043
95,5284365_entry_00096_conf_01,-73.7648,-51.7648,-3.68824,-27.1752,-0.234393,-10.8446,-19.0703,-2.95059,2872483,10.7219
43,45266822_entry_00044_conf_01,-73.6029,-51.6029,-2.9441200000000003,-25.1718,-0.19051500000000002,-10.1059,-17.6479,-2.53803,3390583,13.0384
126,440235_entry_00127_conf_01,-73.5723,-59.5723,-3.8722300000000005,-27.5717,-0.245027,-10.987,-22.3251,-3.1988,1419963,4.52723
161,112106_entry_00162_conf_01,-73.4377,-57.4377,-2.93751,-25.1153,-0.211418,-10.447000000000001,-19.6434,-2.62277,1889206,6.899369999999999
25,52944904_entry_00026_conf_01,-73.2431,-45.2431,-2.09266,-22.3912,-0.152403,-9.35067,-13.8313,-1.92745,4590470,23.2018
269,ZINC000252694384_entry_00270_conf_01,-73.2134,-45.2134,-3.18319,-25.7443,-0.219584,-10.5583,-15.8986,-2.8159,4776946,19.1773
94,5284365_entry_00095_conf_01,-73.0667,-51.0667,-3.65334,-26.918000000000003,-0.23292100000000002,-10.7535,-18.8131,-3.04445,2705880,10.0424
80,7067772_entry_00081_conf_01,-72.7981,-54.7981,-4.04434,-27.7777,-0.274472,-11.3304,-20.9094,-3.16514,1900445,6.36259
