,Label,Molecule,Output,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
23,52948856,12,156,1,-12.31,-10.41,2,34
4,118707521,3,255,1,-11.69,-11.12,15,29
11,76325328,6,23,1,-11.49,-10.79,18,42
258,ZINC000106382957,130,177,1,-11.38,-10.31,18,47
26,52944903,14,189,1,-11.2,-10.57,6,39
159,118328,80,68,1,-11.18,-10.77,3,3
215,ZINC000019893747,108,130,1,-11.13,-10.69,3,10
102,2733787,52,5,1,-11.12,-10.53,6,7
145,202260,73,52,1,-10.95,-9.3,12,28
148,198514,75,55,1,-10.94,-10.36,18,37
165,99461,83,74,1,-10.89,-9.32,9,46
276,ZINC000257347638,139,197,1,-10.83,-10.75,13,49
90,5462244,46,301,1,-10.81,-9.75,33,33
206,ZINC000015205840,104,120,1,-10.81,-9.61,10,7
244,ZINC000101361998,123,162,1,-10.77,-9.49,5,8
17,57339290,9,89,1,-10.77,-9.76,22,9
141,312829,71,48,1,-10.73,-9.75,16,19
238,ZINC000101135603,120,155,1,-10.73,-9.34,20,47
153,129618,77,61,1,-10.7,-9.56,19,2
271,ZINC000257346145,136,192,1,-10.69,-10.64,47,15
