"ECR","Index","Molecule"
"2.91268642140103e-05","149","ZINC000616582683"
"1.69229305629834e-05","47","5317448"
"1.20784676692827e-05","70","408523"
"1.07059055258853e-05","73","202260"
"9.23138147400099e-06","93","18897"
"8.16276577384595e-06","57","447448"
"5.58764341439734e-06","128","ZINC000106381125"
"4.4965867703202e-06","56","448882"
"3.61957882989602e-06","59","445621"
"3.22463111402813e-06","61","441038"
"2.88906580290066e-06","60","441477"
"2.81661362029359e-06","124","ZINC000102205030"
"2.17082495280732e-06","62","440552"
"2.1349499958703e-06","66","439281"
"2.05707950844588e-06","150","ZINC000616582813"
"1.81681021705192e-06","65","440049"
"1.46493226230845e-06","67","439213"
"1.25083192291235e-06","122","ZINC000101178654"
"1.2041304164568e-06","68","439174"
"6.86010120202405e-07","72","254124"
"1.60230789020004e-07","84","96523"
"1.27391874795876e-07","86","84265"
"1.10038320660699e-07","95","899"
"9.63068328943304e-08","88","82313"
"8.66252717002493e-08","89","35717"
"6.87104596876099e-08","92","24139"
"6.35712025236564e-08","133","ZINC000164373873"
"3.11919506681537e-08","113","ZINC000056871016"
"2.51018688439898e-08","134","ZINC000196304985"
"1.34849453039131e-08","115","ZINC000082114392"
"1.26249059969184e-08","141","ZINC000307008534"
"1.21257481973252e-08","125","ZINC000102863660"
"6.23087364645843e-10","127","ZINC000105341667"
"1.36879282291966e-10","145","ZINC000396869768"
