SMILES,TotalEnergy,ElectronicEnergy,CoreRepulsion,FinalHeat,IonisationPotential,HomoEnergy,LumoEnergy,DipolPointCharge,DipolHybrid,DipolSum,ElectronNuclear,ElectronElectron,ResonanceEnergy,ExchangeEnergy,ElectronElectronRepulsion,ElectronNuclearAttraction,NuclearNuclearRepulsion,TotalElectrostaticInteraction,PrincipalMomentsInertiaA,PrincipalMomentsInertiaB,PrincipalMomentsInertiaC,CosmoArea,CosmoVolume,NumberFilledLevels,MullikenElectronegativity,AbsoluteHardness:,AbsoluteSoftness:,SchuurmannMOShiftAlpha,TotalElectrophilicDelocalizability,TotalNucleophilicDelocalizability,TotalSelfPolarizability,HomoLumoGap,HomoLumoFraction,Electrophilicity,PolarizabilityAnisotropy
C\C(O)=N\[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OC(N)=O,-3760.0,-25200.0,21400.0,-314.0,10.2,-10.2,1.02,2.49,1.0,1.76,-5810.0,2490.0,-448.0,-181.0,20900.0,-42100.0,21400.0,183.0,1360.0,2490.0,3270.0,253.0,286.0,52.0,4.59,5.61,0.0891,-4.59,-8.32,-6.5,-2.82,11.2,0.818,1.88,0.0012
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OC(O)=N,-3760.0,-25400.0,21600.0,-301.0,9.99,-9.99,0.522,5.45,1.83,5.21,-5810.0,2490.0,-446.0,-181.0,21100.0,-42600.0,21600.0,182.0,1520.0,2220.0,3100.0,249.0,285.0,52.0,4.73,5.26,0.0951,-4.73,-8.3,-6.62,-2.84,10.5,0.901,2.13,0.00166
C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1NC(C)=O)C([O-])=O,-4140.0,-28800.0,24600.0,-345.0,8.64,-9.96,-4.01,5.91,0.753,6.51,-6370.0,2730.0,-497.0,-204.0,24100.0,-48500.0,24600.0,207.0,2160.0,3110.0,4380.0,284.0,335.0,57.0,6.99,2.97,0.168,-6.99,-11.8,-6.38,-3.24,5.95,2.35,8.21,5.69E-4
C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1\N=C(\C)O)C([O-])=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[C@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1\N=C(\C)O)C([O-])=O,-4140.0,-28700.0,24500.0,-332.0,8.87,-10.2,-4.26,3.49,1.43,4.72,-6370.0,2720.0,-494.0,-203.0,24000.0,-48300.0,24500.0,208.0,2180.0,3370.0,3850.0,288.0,339.0,57.0,7.24,2.99,0.167,-7.24,-12.3,-6.23,-3.29,5.97,2.42,8.78,0.00292
N[C@@H]1[C@@H](O)O[C@@H](CO)[C@H](O)[C@H]1O,-2580.0,-14700.0,12100.0,-234.0,9.65,-9.65,1.33,3.19,1.15,3.88,-3990.0,1720.0,-307.0,-126.0,11800.0,-23800.0,12100.0,128.0,678.0,863.0,1020.0,177.0,192.0,36.0,4.16,5.49,0.0911,-4.16,-5.35,-4.43,-1.84,11.0,0.758,1.58,1.44E-4
[NH3+][C@@H]1[C@@H](O)O[C@@H](CO)[C@H](O)[C@H]1O,-2590.0,-14600.0,12000.0,-213.0,9.85,-10.0,-5.31,2.68,0.677,3.24,-4010.0,1730.0,-311.0,-127.0,11600.0,-23500.0,12000.0,130.0,740.0,1040.0,1170.0,191.0,206.0,36.0,7.66,2.36,0.212,-7.66,-8.83,-3.68,-1.95,4.71,3.25,12.5,0.119
N[C@@H]1[C@@H](O)O[C@@H](CO)[C@H](O)[C@H]1O,-2580.0,-14600.0,12000.0,-235.0,10.0,-10.0,1.4,1.83,1.7,2.89,-3990.0,1720.0,-307.0,-126.0,11700.0,-23600.0,12000.0,128.0,651.0,941.0,1070.0,178.0,192.0,36.0,4.3,5.7,0.0878,-4.3,-5.48,-4.29,-1.87,11.4,0.755,1.62,4.89E-5
CN(N=O)C(\O)=N\[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3810.0,-24000.0,20200.0,-250.0,9.94,-9.94,-0.511,1.77,2.12,3.8,-5870.0,2490.0,-434.0,-176.0,19700.0,-39700.0,20200.0,182.0,1010.0,4070.0,4870.0,260.0,278.0,52.0,5.22,4.71,0.106,-5.22,-8.68,-6.38,-2.89,9.43,1.11,2.89,0.00827
C\[N+](=N\O)C(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3820.0,-25200.0,21300.0,-253.0,8.62,-9.97,-4.29,2.61,0.792,2.94,-5890.0,2500.0,-441.0,-178.0,20900.0,-42000.0,21300.0,186.0,1320.0,3050.0,3570.0,260.0,291.0,52.0,7.13,2.84,0.176,-7.13,-11.3,-5.53,-2.94,5.68,2.51,8.94,0.00282
CN(N=O)C(\O)=N\[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3810.0,-24000.0,20200.0,-247.0,9.8,-9.8,-0.323,3.45,1.72,4.62,-5870.0,2490.0,-435.0,-176.0,19700.0,-39700.0,20200.0,183.0,1080.0,4090.0,4610.0,262.0,282.0,52.0,5.06,4.74,0.106,-5.06,-8.53,-6.48,-2.91,9.48,1.07,2.7,0.00395
CC(=O)N[C@H]1[C@H](O)O[C@H](CO[P@@]([O-])(=O)OCC[N+](C)(C)C)[C@H](O)[C@@H]1O,-5170.0,-42000.0,36800.0,-459.0,8.32,-8.32,0.039,13.4,1.88,14.9,-7830.0,3330.0,-694.0,-263.0,36200.0,-72700.0,36800.0,288.0,2840.0,6440.0,8330.0,347.0,429.0,74.0,4.14,4.18,0.12,-4.14,-11.3,-9.67,-4.17,8.36,0.991,2.05,5.75E-4
CC(=O)N[C@H]1[C@H](O)O[C@H](CO[P@@]([O-])(=O)OCC[N+](C)(C)C)[C@H](O)[C@@H]1O,-5170.0,-41700.0,36500.0,-448.0,8.6,-8.6,-0.355,13.1,1.68,14.6,-7820.0,3320.0,-695.0,-264.0,35900.0,-72200.0,36500.0,289.0,2570.0,7090.0,8770.0,348.0,437.0,74.0,4.48,4.12,0.121,-4.48,-11.5,-9.57,-4.17,8.25,1.09,2.43,8.49E-4
CC(=O)N[C@H]1[C@H](O)O[C@H](CO[P@@]([O-])(=O)OCC[N+](C)(C)C)[C@H](O)[C@@H]1O,-5170.0,-41900.0,36700.0,-453.0,8.54,-8.53,-0.279,12.9,1.64,14.4,-7830.0,3330.0,-695.0,-264.0,36100.0,-72600.0,36700.0,288.0,2490.0,7050.0,8560.0,344.0,433.0,74.0,4.41,4.13,0.121,-4.41,-11.4,-9.52,-4.13,8.26,1.07,2.35,8.89E-4
N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-2580.0,-14100.0,11500.0,-230.0,9.68,-9.68,1.27,0.976,1.53,1.38,-3990.0,1710.0,-307.0,-126.0,11100.0,-22500.0,11500.0,129.0,628.0,1130.0,1560.0,189.0,201.0,36.0,4.2,5.48,0.0913,-4.2,-5.39,-4.38,-1.92,11.0,0.767,1.61,7.29E-4
[NH3+][C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-2590.0,-13700.0,11100.0,-208.0,9.76,-10.1,-5.19,1.37,1.28,2.04,-4000.0,1730.0,-312.0,-127.0,10800.0,-21800.0,11100.0,131.0,762.0,1490.0,2000.0,212.0,217.0,36.0,7.66,2.47,0.202,-7.66,-8.52,-3.67,-1.86,4.94,3.1,11.9,0.397
[NH3+][C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-2590.0,-14200.0,11600.0,-204.0,7.6,-10.1,-3.39,3.35,1.11,3.9,-4000.0,1730.0,-313.0,-128.0,11300.0,-22800.0,11600.0,132.0,656.0,1190.0,1660.0,194.0,206.0,36.0,6.73,3.34,0.15,-6.73,-7.63,-3.57,-1.89,6.69,2.01,6.77,0.00722
CC\C(O)=N\[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3290.0,-20600.0,17300.0,-275.0,10.2,-10.2,0.874,2.14,1.94,3.72,-5060.0,2170.0,-412.0,-171.0,16800.0,-33900.0,17300.0,171.0,936.0,2890.0,3370.0,251.0,270.0,47.0,4.66,5.53,0.0904,-4.66,-7.3,-5.84,-2.6,11.1,0.842,1.96,0.00202
CC\C(O)=N\[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3290.0,-20500.0,17200.0,-278.0,10.2,-10.2,0.784,2.68,1.51,2.84,-5060.0,2180.0,-411.0,-171.0,16800.0,-33900.0,17200.0,170.0,937.0,2880.0,3480.0,246.0,263.0,47.0,4.71,5.49,0.091,-4.71,-7.36,-5.78,-2.59,11.0,0.857,2.02,0.00326
C\C=C(\O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3290.0,-20800.0,17500.0,-271.0,8.74,-8.74,0.894,3.61,0.578,3.62,-5060.0,2180.0,-415.0,-171.0,17000.0,-34400.0,17500.0,172.0,802.0,2890.0,3340.0,248.0,268.0,47.0,3.92,4.82,0.104,-3.92,-6.91,-6.3,-2.57,9.63,0.814,1.6,0.00504
COC1=CC2=CC=C(O[C@@H]3O[C@H](CO)[C@H](O)[C@@H](O)[C@H]3\N=C(\C)O)C=C2C=C1,-4900.0,-39400.0,34500.0,-262.0,8.47,-8.47,-0.736,3.06,1.95,4.38,-7350.0,3150.0,-692.0,-291.0,33900.0,-68100.0,34500.0,288.0,2630.0,8980.0,10800.0,374.0,431.0,73.0,4.6,3.87,0.129,-4.6,-11.9,-11.2,-4.8,7.73,1.19,2.74,0.00798
COC1=CC=C2C=C(O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3NC(C)=O)C=CC2=C1,-4900.0,-40700.0,35800.0,-273.0,8.47,-8.47,-0.611,6.05,0.591,5.77,-7350.0,3150.0,-696.0,-292.0,35200.0,-70700.0,35800.0,290.0,1870.0,8590.0,9220.0,349.0,434.0,73.0,4.54,3.93,0.127,-4.54,-12.0,-11.1,-4.78,7.86,1.16,2.62,0.00856
COC1=CC2=CC=C(O[C@@H]3O[C@H](CO)[C@H](O)[C@@H](O)[C@H]3\N=C(\C)O)C=C2C=C1,-4900.0,-40200.0,35300.0,-260.0,8.61,-8.61,-0.825,5.26,1.91,6.03,-7350.0,3150.0,-692.0,-291.0,34700.0,-69700.0,35300.0,289.0,2670.0,7790.0,9360.0,362.0,431.0,73.0,4.72,3.89,0.128,-4.72,-12.1,-11.1,-4.81,7.78,1.21,2.86,0.00903
C\C(O)=N\[C@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@H](O)[C@@H]1O,-4190.0,-25900.0,21700.0,-395.0,10.0,-10.0,-0.61,3.2,0.926,2.74,-6480.0,2730.0,-473.0,-169.0,21300.0,-42800.0,21700.0,193.0,977.0,5660.0,5940.0,273.0,299.0,55.0,5.31,4.7,0.106,-5.31,-9.27,-6.34,-3.11,9.41,1.13,3.0,0.0022
C\C(O)=N/[C@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@H](O)[C@@H]1O,-4190.0,-26200.0,22000.0,-398.0,10.2,-10.2,-0.561,2.36,1.51,2.8,-6480.0,2730.0,-472.0,-169.0,21500.0,-43300.0,22000.0,193.0,1040.0,5270.0,5630.0,269.0,298.0,55.0,5.4,4.84,0.103,-5.4,-9.38,-6.3,-3.05,9.67,1.12,3.01,0.00254
C\C(O)=N/[C@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@H](O)[C@@H]1O,-4190.0,-26100.0,21900.0,-397.0,10.0,-10.0,-0.61,2.88,1.05,2.51,-6480.0,2730.0,-473.0,-169.0,21500.0,-43200.0,21900.0,194.0,995.0,5360.0,5700.0,270.0,299.0,55.0,5.32,4.71,0.106,-5.32,-9.33,-6.32,-3.07,9.42,1.13,3.0,0.00216
CC(=O)N[C@@H]1[C@@H](O)O[C@@H](CO)[C@H](O)[C@@H]1O,-3140.0,-19500.0,16300.0,-280.0,9.81,-9.81,1.2,3.2,0.359,3.02,-4850.0,2090.0,-381.0,-156.0,15900.0,-32100.0,16300.0,157.0,899.0,1830.0,2190.0,221.0,244.0,44.0,4.3,5.5,0.0909,-4.3,-6.71,-5.62,-2.37,11.0,0.782,1.68,6.24E-4
C\C(O)=N\[C@@H]1[C@@H](O)O[C@@H](CO)[C@H](O)[C@@H]1O,-3140.0,-19500.0,16300.0,-280.0,10.1,-10.1,0.778,2.56,0.389,2.41,-4860.0,2090.0,-377.0,-155.0,15900.0,-32100.0,16300.0,154.0,726.0,2070.0,2230.0,218.0,242.0,44.0,4.67,5.44,0.0918,-4.67,-6.93,-5.38,-2.37,10.9,0.857,2.0,0.00176
C\C(O)=N/[C@@H]1[C@@H](O)O[C@@H](CO)[C@H](O)[C@@H]1O,-3140.0,-19300.0,16200.0,-277.0,10.0,-10.0,0.604,0.207,0.885,0.949,-4850.0,2090.0,-377.0,-155.0,15700.0,-31800.0,16200.0,155.0,813.0,2050.0,2300.0,222.0,248.0,44.0,4.71,5.31,0.0941,-4.71,-7.02,-5.33,-2.38,10.6,0.886,2.09,0.00187
OC[C@H]1O[C@@H](O)[C@@H](\N=C(\O)CN=[N+]=[N-])[C@@H](O)[C@@H]1O,-3690.0,-23500.0,19800.0,-182.0,9.95,-9.95,-0.366,3.28,1.25,3.93,-5640.0,2380.0,-436.0,-176.0,19300.0,-38900.0,19800.0,184.0,1050.0,3720.0,4180.0,263.0,290.0,51.0,5.16,4.79,0.104,-5.16,-8.53,-6.65,-2.96,9.58,1.08,2.78,0.00387
OC[C@H]1O[C@@H](O)[C@@H](N\C(O)=C\N=[N+]=[N-])[C@@H](O)[C@@H]1O,-3690.0,-23400.0,19700.0,-182.0,8.78,-8.78,-0.085,3.75,0.847,3.76,-5640.0,2380.0,-440.0,-177.0,19200.0,-38800.0,19700.0,186.0,1040.0,3910.0,4320.0,262.0,288.0,51.0,4.43,4.35,0.115,-4.43,-7.85,-7.41,-2.94,8.69,1.02,2.26,0.00647
OC[C@H]1O[C@@H](O)[C@@H](N\C(O)=C/N=[N+]=[N-])[C@@H](O)[C@@H]1O,-3690.0,-23800.0,20100.0,-185.0,9.22,-9.22,-0.615,4.24,1.48,5.14,-5640.0,2380.0,-440.0,-176.0,19600.0,-39500.0,20100.0,185.0,1670.0,2700.0,3540.0,256.0,285.0,51.0,4.92,4.3,0.116,-4.92,-8.3,-6.97,-2.97,8.6,1.14,2.81,0.00309
CC(=O)N[C@H]1[C@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@@H](O)[C@@H]1O,-4190.0,-25900.0,21700.0,-392.0,9.96,-9.96,-0.58,3.28,1.1,3.44,-6470.0,2730.0,-475.0,-170.0,21300.0,-42800.0,21700.0,195.0,1320.0,5160.0,5430.0,272.0,302.0,55.0,5.27,4.69,0.107,-5.27,-8.92,-6.66,-3.08,9.38,1.12,2.96,0.00189
C\C(O)=N/[C@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@@H](O)[C@@H]1O,-4190.0,-26100.0,21900.0,-393.0,9.96,-9.96,-0.621,0.413,1.69,1.77,-6470.0,2730.0,-473.0,-169.0,21400.0,-43100.0,21900.0,194.0,1030.0,5230.0,5700.0,269.0,301.0,55.0,5.29,4.67,0.107,-5.29,-9.22,-6.39,-3.19,9.34,1.13,3.0,0.00249
C\C(O)=N/[C@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@@H](O)[C@@H]1O,-4190.0,-26000.0,21800.0,-392.0,10.0,-10.0,-0.738,3.21,1.62,2.92,-6480.0,2730.0,-472.0,-169.0,21400.0,-43000.0,21800.0,193.0,934.0,5540.0,5780.0,272.0,303.0,55.0,5.39,4.65,0.107,-5.39,-9.32,-6.33,-3.11,9.31,1.16,3.12,0.00298
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[P]([O-])([O-])=O,-4190.0,-26600.0,22400.0,-402.0,9.75,-9.75,-0.949,3.45,1.23,2.98,-6470.0,2730.0,-477.0,-170.0,21900.0,-44100.0,22400.0,195.0,2140.0,2920.0,4360.0,266.0,304.0,55.0,5.35,4.4,0.114,-5.35,-9.0,-6.6,-3.0,8.8,1.22,3.25,0.00105
C\C(O)=N/[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[P]([O-])([O-])=O,-4190.0,-26900.0,22700.0,-392.0,10.1,-10.1,-0.966,4.39,1.27,4.36,-6470.0,2730.0,-474.0,-169.0,22300.0,-44900.0,22700.0,195.0,2170.0,2460.0,3980.0,264.0,307.0,55.0,5.56,4.59,0.109,-5.56,-9.46,-6.26,-3.07,9.18,1.21,3.36,4.86E-4
C\C(O)=N/[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[P]([O-])([O-])=O,-4190.0,-26600.0,22400.0,-393.0,10.2,-10.2,-0.678,1.88,0.951,1.75,-6470.0,2730.0,-473.0,-169.0,21900.0,-44100.0,22400.0,194.0,2040.0,3010.0,4390.0,269.0,303.0,55.0,5.45,4.78,0.105,-5.45,-9.38,-6.29,-3.12,9.55,1.14,3.11,0.00181
OC[C@@H]1O[C@H](O)[C@@H](NC(=O)N(CCCl)N=O)[C@H](O)[C@H]1O,-4210.0,-29900.0,25700.0,-283.0,10.4,-10.4,-0.537,0.748,1.3,1.89,-6490.0,2740.0,-472.0,-191.0,25100.0,-50600.0,25700.0,197.0,1570.0,3920.0,4230.0,268.0,322.0,58.0,5.45,4.91,0.102,-5.45,-9.24,-6.93,-3.11,9.82,1.11,3.02,0.00105
OC[C@@H]1O[C@H](O)[C@@H](NC(=O)N(CCCl)N=O)[C@H](O)[C@H]1O,-4210.0,-28500.0,24300.0,-275.0,10.2,-10.2,-0.678,5.09,0.217,5.11,-6480.0,2730.0,-471.0,-191.0,23700.0,-47800.0,24300.0,198.0,1250.0,6350.0,6940.0,294.0,335.0,58.0,5.44,4.76,0.105,-5.44,-9.3,-6.89,-3.18,9.52,1.14,3.11,0.00508
OC[C@@H]1O[C@H](O)[C@@H](NC(=O)N(CCCl)N=O)[C@H](O)[C@H]1O,-4210.0,-29700.0,25500.0,-283.0,10.1,-10.1,-0.273,1.94,0.869,1.52,-6480.0,2740.0,-472.0,-191.0,25000.0,-50300.0,25500.0,197.0,1600.0,3940.0,4320.0,270.0,322.0,58.0,5.19,4.92,0.102,-5.19,-9.08,-7.04,-3.19,9.83,1.06,2.74,9.91E-4
CCCNC(=O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1\N=C(\C)O,-4210.0,-32000.0,27800.0,-325.0,10.1,-10.1,0.409,4.33,1.05,4.92,-6410.0,2750.0,-552.0,-227.0,27200.0,-54800.0,27800.0,227.0,2460.0,2780.0,4490.0,295.0,351.0,61.0,4.85,5.26,0.095,-4.85,-9.79,-7.56,-3.4,10.5,0.922,2.24,0.00157
CCCNC(=O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1\N=C(/C)O,-4210.0,-31100.0,26900.0,-328.0,10.0,-10.0,0.806,4.04,1.87,5.02,-6410.0,2750.0,-551.0,-228.0,26300.0,-52900.0,26900.0,227.0,2400.0,3580.0,5160.0,308.0,365.0,61.0,4.62,5.43,0.0921,-4.62,-9.47,-7.8,-3.46,10.9,0.851,1.97,4.35E-4
CCCNC(=O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1\N=C(\C)O,-4210.0,-30900.0,26700.0,-329.0,10.0,-10.0,0.817,3.51,1.78,4.36,-6410.0,2750.0,-551.0,-228.0,26200.0,-52700.0,26700.0,227.0,2570.0,3500.0,5300.0,309.0,363.0,61.0,4.62,5.43,0.092,-4.62,-9.48,-7.77,-3.41,10.9,0.85,1.96,5.07E-4
C[C@@H](O[C@H]1[C@@H](N)[C@H](O)O[C@H](CO)[C@H]1O)C([O-])=O,-3570.0,-22700.0,19100.0,-296.0,8.58,-10.1,-3.94,1.33,1.68,1.35,-5510.0,2360.0,-423.0,-173.0,18600.0,-37500.0,19100.0,178.0,1360.0,2750.0,3240.0,253.0,283.0,49.0,7.04,3.1,0.161,-7.04,-10.1,-5.3,-2.7,6.2,2.27,7.99,4.79E-4
C[C@@H](O[C@H]1[C@@H]([NH3+])[C@H](O)O[C@H](CO)[C@H]1O)C([O-])=O,-3590.0,-23500.0,19900.0,-314.0,10.3,-10.3,0.444,3.58,1.74,5.29,-5540.0,2380.0,-428.0,-177.0,19400.0,-39100.0,19900.0,179.0,1200.0,2570.0,3140.0,248.0,282.0,50.0,4.9,5.35,0.0935,-4.9,-7.91,-6.07,-2.68,10.7,0.917,2.25,8.52E-4
C[C@@H](O[C@H]1[C@@H]([NH3+])[C@H](O)O[C@H](CO)[C@H]1O)C([O-])=O,-3590.0,-23700.0,20100.0,-311.0,10.4,-10.4,0.584,5.58,1.52,6.75,-5540.0,2380.0,-429.0,-177.0,19600.0,-39500.0,20100.0,179.0,1350.0,2320.0,2870.0,242.0,275.0,50.0,4.89,5.47,0.0914,-4.89,-7.86,-6.14,-2.69,10.9,0.893,2.18,7.22E-4
C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@H](O)[C@@H]1NC(C)=O)C([O-])=O,-4140.0,-28300.0,24200.0,-345.0,8.24,-9.8,-3.62,3.86,0.848,4.32,-6370.0,2720.0,-498.0,-204.0,23700.0,-47600.0,24200.0,208.0,2680.0,2940.0,4580.0,292.0,337.0,57.0,6.71,3.09,0.162,-6.71,-11.5,-6.43,-3.26,6.18,2.17,7.29,0.00312
C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@H](O)[C@@H]1\N=C(/C)O)C([O-])=O,-4140.0,-28400.0,24200.0,-338.0,8.7,-10.3,-4.05,4.97,1.16,5.86,-6380.0,2730.0,-493.0,-203.0,23700.0,-47700.0,24200.0,206.0,2020.0,3710.0,4600.0,294.0,340.0,57.0,7.17,3.12,0.16,-7.17,-12.3,-6.2,-3.31,6.24,2.3,8.24,0.00358
C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@H](O)[C@@H]1\N=C(/C)O)C([O-])=O,-4140.0,-28300.0,24200.0,-340.0,8.41,-10.2,-3.76,3.92,0.732,4.5,-6380.0,2730.0,-494.0,-203.0,23600.0,-47600.0,24200.0,206.0,2660.0,3170.0,4330.0,299.0,335.0,57.0,6.99,3.24,0.154,-6.99,-11.9,-6.28,-3.28,6.48,2.16,7.55,0.00143
C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1N=C(C)O)C([O-])=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1N=C(C)O)C([O-])=O,-4140.0,-28400.0,24300.0,-316.0,8.49,-9.94,-3.93,3.98,0.572,4.25,-6360.0,2710.0,-494.0,-204.0,23800.0,-47900.0,24300.0,209.0,2200.0,3240.0,4380.0,287.0,342.0,57.0,6.94,3.01,0.166,-6.94,-11.7,-6.43,-3.29,6.01,2.31,8.0,0.00214
C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1NC(C)=O)C([O-])=O,-4140.0,-28100.0,23900.0,-343.0,8.32,-9.98,-3.67,6.62,0.67,6.9,-6370.0,2720.0,-497.0,-204.0,23400.0,-47100.0,23900.0,208.0,2840.0,3090.0,4670.0,298.0,336.0,57.0,6.82,3.15,0.159,-6.82,-11.5,-6.46,-3.27,6.31,2.16,7.37,0.0034
OC[C@H]1O[C@@H](O)[C@H](NC(=O)N(CCCl)N=O)[C@@H](O)[C@@H]1O,-4210.0,-29100.0,24900.0,-272.0,10.3,-10.3,-0.559,4.55,1.51,3.93,-6480.0,2730.0,-471.0,-191.0,24400.0,-49100.0,24900.0,198.0,1690.0,4150.0,5120.0,277.0,324.0,58.0,5.43,4.88,0.103,-5.43,-9.27,-6.96,-3.19,9.75,1.11,3.03,0.00125
OC[C@H]1O[C@H](O)[C@H](NC(=O)N(CCCl)N=O)[C@@H](O)[C@@H]1O,-4210.0,-28700.0,24500.0,-282.0,10.2,-10.2,-0.707,4.55,0.847,4.08,-6480.0,2730.0,-472.0,-191.0,24000.0,-48300.0,24500.0,198.0,1320.0,5250.0,5830.0,282.0,328.0,58.0,5.47,4.76,0.105,-5.47,-9.42,-6.81,-3.13,9.53,1.15,3.14,8.21E-4
OC[C@H]1O[C@H](O)[C@H](NC(=O)N(CCCl)N=O)[C@@H](O)[C@@H]1O,-4210.0,-29200.0,25000.0,-278.0,10.1,-10.1,-0.162,2.26,0.937,1.9,-6480.0,2730.0,-472.0,-191.0,24500.0,-49300.0,25000.0,198.0,1510.0,4520.0,4780.0,275.0,325.0,58.0,5.12,4.96,0.101,-5.12,-9.13,-7.01,-3.18,9.92,1.03,2.64,0.00142
N[C@@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-2580.0,-14200.0,11600.0,-231.0,10.2,-10.2,1.31,3.36,1.18,4.11,-3990.0,1720.0,-307.0,-126.0,11200.0,-22700.0,11600.0,129.0,687.0,1070.0,1400.0,188.0,202.0,36.0,4.43,5.74,0.0871,-4.43,-5.54,-4.23,-1.91,11.5,0.772,1.71,3.81E-4
[NH3+][C@@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-2590.0,-14000.0,11400.0,-211.0,9.75,-9.88,-5.18,1.54,2.05,3.1,-4000.0,1730.0,-312.0,-127.0,11000.0,-22300.0,11400.0,131.0,808.0,1310.0,1660.0,205.0,214.0,36.0,7.53,2.35,0.213,-7.53,-8.45,-3.72,-1.91,4.7,3.21,12.1,0.0208
[NH3+][C@@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-2590.0,-14200.0,11600.0,-212.0,9.68,-9.86,-5.14,2.87,2.0,4.1,-4010.0,1730.0,-311.0,-127.0,11300.0,-22800.0,11600.0,131.0,841.0,1130.0,1370.0,197.0,212.0,36.0,7.5,2.36,0.212,-7.5,-8.34,-3.73,-1.9,4.72,3.18,11.9,0.00199
CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@H]1O,-3140.0,-19300.0,16200.0,-281.0,10.2,-10.2,0.914,4.29,0.869,4.8,-4850.0,2090.0,-381.0,-156.0,15800.0,-31800.0,16200.0,157.0,938.0,1870.0,2340.0,222.0,245.0,44.0,4.63,5.54,0.0902,-4.63,-6.85,-5.49,-2.36,11.1,0.835,1.93,2.33E-4
C\C(O)=N\[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@H]1O,-3140.0,-19500.0,16300.0,-277.0,9.73,-9.73,1.4,3.51,1.41,3.59,-4860.0,2090.0,-378.0,-155.0,15900.0,-32000.0,16300.0,156.0,862.0,1900.0,2200.0,220.0,241.0,44.0,4.17,5.57,0.0898,-4.17,-6.67,-5.63,-2.36,11.1,0.749,1.56,0.00109
