,Label,Molecule,Index,Score,Aromatic,Hydrophobic,Donors,Aceptors,Negatives
267,ZINC000196304985,134,104.0,7.365760000000001,0.46036000000000005,0.368288,0.30690700000000004,0.566597,0.43328
294,ZINC000616582453,148,105.0,7.36775,0.35084499999999996,0.245592,0.188917,0.43339700000000003,0.283375
141,312829,71,106.0,7.36769,0.272877,0.188915,0.144465,0.46048100000000003,0.26313200000000003
39,45933887,20,107.0,7.36762,0.613969,0.526259,0.460476,0.669784,0.5667399999999999
144,202260,73,108.0,7.3676,0.306983,0.216694,0.167445,0.49117299999999997,0.294704
177,35717,89,109.0,7.367539999999999,0.49117,0.387765,0.320328,0.613962,0.460471
182,24139,92,111.0,7.36751,0.491167,0.387764,0.320326,0.613959,0.46046899999999996
248,ZINC000102863660,125,114.0,7.36775,0.387777,0.30699,0.25406,0.491184,0.368388
206,ZINC000015205840,104,115.0,7.3670100000000005,0.30695900000000004,0.245567,0.20463900000000002,0.566693,0.387737
307,ZINC000616589990,154,118.0,7.36762,0.491175,0.38777,0.320331,0.6139680000000001,0.460476
263,ZINC000106384102,132,120.0,7.367889999999999,0.334904,0.272885,0.23024699999999998,0.49119300000000005,0.368394
195,ZINC000003956714,98,121.0,7.36716,0.33487100000000003,0.25404,0.20464300000000002,0.61393,0.387745
247,ZINC000102205030,124,122.0,7.3677600000000005,0.368388,0.27288,0.21669899999999997,0.566751,0.368388
89,6323218,45,123.0,7.36765,0.368383,0.272876,0.216696,0.49117700000000003,0.334893
90,5462244,46,124.0,7.36742,0.368371,0.28336300000000003,0.23023200000000002,0.46046400000000004,0.334883
254,ZINC000106381125,128,126.0,7.36712,0.368356,0.272856,0.21668,0.491141,0.334869
78,9816401,40,129.0,7.36769,0.43339399999999995,0.334895,0.272877,0.5262640000000001,0.387773
126,440235,64,130.0,7.36751,0.387763,0.2947,0.237661,0.613959,0.409306
40,45357367,21,131.0,7.367439999999999,0.409302,0.350831,0.306977,0.5667260000000001,0.46046499999999996
203,ZINC000013545464,102,132.0,7.3677600000000005,0.350846,0.283375,0.23767,0.566751,0.40931999999999996
293,ZINC000575124647,147,134.0,7.3677600000000005,0.40931999999999996,0.30699,0.245592,0.526269,0.368388
198,ZINC000004027859,100,135.0,7.36753,0.334888,0.283367,0.24558400000000002,0.669776,0.49116899999999997
81,7067772,41,136.0,7.367439999999999,0.409302,0.320323,0.263123,0.491162,0.368372
67,16738680,34,137.0,7.3675,0.368375,0.28336500000000003,0.23023400000000002,0.46046800000000004,0.334886
281,ZINC000307008534,141,140.0,7.366860000000001,0.526204,0.40926999999999997,0.334857,0.613905,0.460429
282,ZINC000307565252,142,141.0,7.36153,0.320067,0.272649,0.237469,0.566272,0.43303100000000005
111,448882,56,142.0,7.3677600000000005,0.46048500000000003,0.368388,0.30699,0.566751,0.43339799999999995
224,ZINC000056871016,113,143.0,7.36705,0.460441,0.36835300000000004,0.30696100000000004,0.566696,0.433356
242,ZINC000101178654,122,148.0,7.3677600000000005,0.40931999999999996,0.320337,0.26313400000000003,0.526269,0.387777
123,440552,62,150.0,7.3677600000000005,0.491184,0.40931999999999996,0.350846,0.56675,0.46048500000000003
17,57339290,9,157.0,7.36769,0.320334,0.23766700000000002,0.188915,0.409316,0.283373
257,ZINC000106382931,129,158.0,7.36228,0.334649,0.262939,0.216538,0.613524,0.409016
245,ZINC000101361998,123,161.0,7.3677,0.25405900000000003,0.19388699999999998,0.15675999999999998,0.5262640000000001,0.320335
229,ZINC000082114392,115,162.0,7.367539999999999,0.566734,0.46047200000000005,0.387765,0.6697770000000001,0.526253
6,91820057,4,163.0,7.36698,0.387736,0.30695700000000004,0.25403400000000004,0.5666899999999999,0.40927600000000003
241,ZINC000101136391,121,164.0,7.36712,0.387743,0.306964,0.254039,0.6697390000000001,0.460445
233,ZINC000100656214,117,165.0,7.3677600000000005,0.33489800000000003,0.26313400000000003,0.21669899999999997,0.566751,0.387777
303,ZINC000616583702,152,166.0,7.36775,0.368388,0.26313400000000003,0.20465999999999998,0.460484,0.30699
211,ZINC000015205949,106,167.0,7.36791,0.306996,0.24559699999999998,0.204664,0.566762,0.387785
52,44119773,27,170.0,7.36775,0.491184,0.40931999999999996,0.35084499999999996,0.56675,0.46048500000000003
289,ZINC000396869768,145,174.0,7.367660000000001,0.49117700000000003,0.368383,0.29470599999999997,0.669787,0.46047899999999997
236,ZINC000101073479,119,178.0,7.367489999999999,0.350833,0.28336500000000003,0.237661,0.5667300000000001,0.40930500000000003
150,193108,76,184.0,7.36625,0.460391,0.387698,0.33483,0.613854,0.491084
278,ZINC000257347639,140,185.0,7.368180000000001,0.230256,0.18892799999999998,0.160178,0.5262979999999999,0.350866
301,ZINC000616582904,151,186.0,7.3669199999999995,0.409273,0.30695500000000003,0.24556399999999998,0.5666859999999999,0.387733
166,96523,84,188.0,7.367889999999999,0.46049300000000004,0.368395,0.306996,0.566761,0.43340500000000004
149,198514,75,189.0,7.36791,0.26314,0.188921,0.147358,0.46049399999999996,0.272886
152,129618,77,190.0,7.36757,0.263127,0.188912,0.147351,0.46047299999999997,0.272873
268,ZINC000252694384,135,192.0,7.362080000000001,0.32009,0.21034499999999998,0.15664,0.409004,0.245403
251,ZINC000102974493,126,196.0,7.36715,0.33487,0.263112,0.21668099999999998,0.613929,0.40928600000000004
112,447448,57,199.0,7.3675,0.433382,0.350833,0.2947,0.491167,0.387763
221,ZINC000032106889,111,207.0,7.36764,0.334893,0.283371,0.245588,0.8186260000000001,0.5667409999999999
99,3052142,50,208.0,7.367710000000001,0.263133,0.184193,0.14168699999999998,0.46048199999999995,0.263133
8,90659182,5,209.0,7.36775,0.40931999999999996,0.320337,0.26313400000000003,0.5262680000000001,0.387776
64,22833605,33,210.0,7.367430000000001,0.433378,0.334883,0.272868,0.526245,0.387759
173,82398,87,212.0,7.367889999999999,0.30699499999999996,0.245596,0.204664,0.566761,0.387784
261,ZINC000106382965,131,213.0,7.3674,0.320322,0.254048,0.210497,0.526243,0.36837
43,45266822,22,216.0,7.3677,0.29470799999999997,0.210506,0.163727,0.46048100000000003,0.283373
193,ZINC000001471333,97,217.0,7.3677600000000005,0.33489800000000003,0.27288,0.23024299999999998,0.491184,0.368388
63,24779679,32,218.0,7.36775,0.35084499999999996,0.25406100000000004,0.199128,0.46048500000000003,0.30699
101,2801971,51,220.0,7.36468,0.334758,0.253954,0.204574,0.6137229999999999,0.387615
164,99461,83,223.0,7.36759,0.272874,0.188913,0.144463,0.460474,0.26312800000000003
146,198515,74,224.0,7.36758,0.26312800000000003,0.179697,0.136437,0.49117200000000005,0.26312800000000003
308,ZINC000616591357,155,229.0,7.367719999999999,0.320336,0.263133,0.223264,0.6697930000000001,0.460483
59,25243937,30,232.0,7.3677600000000005,0.387777,0.30699,0.25406100000000004,0.566751,0.40931999999999996
304,ZINC000616583781,153,244.0,7.36752,0.387764,0.27287100000000003,0.2105,0.526251,0.334887
196,ZINC000004027857,99,246.0,7.36788,0.334904,0.28338,0.245596,0.669808,0.491192
97,4282259,49,248.0,7.3679,0.350853,0.283381,0.23767399999999997,0.566762,0.409328
298,ZINC000616582813,150,253.0,7.3677600000000005,0.43339799999999995,0.33489800000000003,0.27288,0.566751,0.40931999999999996
22,52948856,12,254.0,7.364730000000001,0.204576,0.147295,0.115074,0.490982,0.253956
204,ZINC000015205814,103,256.0,7.3674100000000005,0.306975,0.23765799999999998,0.193879,0.613951,0.387758
297,ZINC000616582683,149,257.0,7.367780000000001,0.409321,0.294711,0.23024299999999998,0.6139819999999999,0.387778
37,45934204,19,262.0,7.3677600000000005,0.368388,0.283375,0.230242,0.46048500000000003,0.33489800000000003
168,90220,85,269.0,7.36775,0.30699,0.23766900000000002,0.193888,0.6139789999999999,0.387776
238,ZINC000101135603,120,275.0,7.36263,0.253884,0.193753,0.15665199999999999,0.5663560000000001,0.334665
50,44229083,26,277.0,7.3677600000000005,0.387777,0.30699,0.25406100000000004,0.566751,0.40931999999999996
121,441038,61,290.0,7.367380000000001,0.433375,0.334881,0.272866,0.526241,0.387757
