LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
ZINC000015205949_entry_00212_conf_01,-67.2366,-49.2366,-2.80153,-23.3096,-0.196424,-9.61174,-17.0694,-2.40131,2145348,8.09983
ZINC000015205956_entry_00213_conf_01,-66.39,-50.39,-3.16143,-24.0637,-0.223308,-9.94726,-18.2644,-2.6556,1814518,6.16577
ZINC000015205956_entry_00214_conf_01,-70.0387,-54.0387,-3.33518,-25.3863,-0.235581,-10.494,-19.5869,-2.80155,1771395,6.04424
ZINC000019893747_entry_00215_conf_01,-64.9748,-46.9748,-2.59899,-22.2211,-0.18925,-9.27916,-16.0652,-2.32053,2076145,7.86438
ZINC000019893747_entry_00216_conf_01,-54.8377,-36.8377,-2.19351,-18.7542,-0.159724,-7.83146,-12.5983,-2.03103,2516424,9.39949
ZINC000019898298_entry_00217_conf_01,-67.1805,-53.1805,-3.19907,-24.3502,-0.225967,-10.0657,-19.2758,-2.68722,1562710,4.95157
ZINC000019898298_entry_00218_conf_01,-69.9847,-53.9847,-3.33261,-25.3667,-0.235399,-10.4859,-19.5673,-2.79939,1731742,5.8407
ZINC000032106887_entry_00219_conf_01,-56.2336,-48.2336,-2.55607,-20.0688,-0.182989,-8.33309,-17.2138,-2.55607,902258,2.54099
ZINC000032106887_entry_00220_conf_01,-57.6662,-49.6662,-2.62119,-20.5801,-0.187651,-8.54537,-17.725,-2.50722,892899,2.53779
ZINC000032106889_entry_00221_conf_01,-54.2571,-46.2571,-2.46623,-19.3634,-0.176557,-8.04019,-16.5084,-2.35901,830918,2.31687
ZINC000032106889_entry_00222_conf_01,-59.4172,-51.4172,-2.70078,-21.205,-0.193349,-8.80485,-18.3499,-2.58336,870299,2.39726
ZINC000044021353_entry_00223_conf_01,-69.3651,-53.3651,-3.3031,-25.1421,-0.233315,-10.393,-19.3427,-2.77461,1649562,5.41131
ZINC000044021353_entry_00224_conf_01,-67.4149,-51.4149,-3.21023,-24.4352,-0.226756,-10.1008,-18.6358,-2.69659,1692617,5.5604
ZINC000056871016_entry_00225_conf_01,-61.1683,-47.1683,-3.82302,-24.2747,-0.26003,-9.90889,-18.7187,-3.21938,1214278,3.44145
ZINC000056871016_entry_00226_conf_01,-65.0957,-51.0957,-4.06848,-25.8333,-0.276725,-10.5451,-20.2774,-3.25479,1332524,3.79995
ZINC000077269504_entry_00227_conf_01,-62.1889,-54.1889,-2.82677,-22.1941,-0.201056,-9.19561,-19.3391,-2.5912,963037,2.81942
ZINC000077269504_entry_00228_conf_01,-66.4625,-56.4625,-3.02102,-23.7193,-0.214872,-9.82753,-20.1505,-2.6585,1033721,3.25117
ZINC000082114392_entry_00229_conf_01,-60.7905,-48.7905,-4.67619,-25.8536,-0.314651,-10.5156,-20.7501,-3.37725,896685,2.33163
ZINC000082114392_entry_00230_conf_01,-66.6579,-54.6579,-5.12753,-28.349,-0.34323,-11.5105,-23.2455,-3.92105,922744,2.4741
ZINC000100342293_entry_00231_conf_01,-68.4378,-52.4378,-3.25894,-24.806,-0.230196,-10.2541,-19.0066,-2.73751,1749939,5.72471
ZINC000100342293_entry_00232_conf_01,-70.1395,-54.1395,-3.33998,-25.4228,-0.23592,-10.5091,-19.6234,-2.80558,1894765,6.30439
ZINC000100656214_entry_00233_conf_01,-72.6997,-56.6997,-3.30453,-25.9453,-0.233515,-10.7265,-20.2352,-2.79614,1974922,6.72903
ZINC000100656214_entry_00234_conf_01,-75.2785,-57.2785,-3.42175,-26.8656,-0.241798,-11.107,-20.4417,-2.89533,2145289,7.61025
ZINC000100815672_entry_00235_conf_01,-74.0442,-54.0442,-2.96177,-25.3228,-0.202692,-10.3579,-18.4828,-2.55325,2702985,10.6698
ZINC000100815672_entry_00236_conf_01,-76.1927,-56.1927,-3.04771,-26.0575,-0.208573,-10.6585,-19.2176,-2.62733,2642109,10.3089
ZINC000101073479_entry_00237_conf_01,-73.9855,-57.9855,-3.52312,-26.8168,-0.248856,-11.0853,-21.0174,-2.95942,1840428,6.26946
ZINC000101073479_entry_00238_conf_01,-68.3503,-52.3503,-3.25478,-24.7743,-0.229902,-10.241,-18.9749,-2.73401,1997127,6.7478
ZINC000101135603_entry_00239_conf_01,-71.0013,-49.0013,-2.44832,-23.11,-0.176864,-9.62477,-15.9493,-2.21879,3546825,14.9937
ZINC000101135603_entry_00240_conf_01,-80.8392,-60.8392,-2.78756,-26.3121,-0.20137,-10.9584,-19.8024,-2.52622,3245683,13.3225
ZINC000101136391_entry_00241_conf_01,-71.5672,-55.5672,-3.76669,-26.8202,-0.265761,-11.0825,-20.8241,-3.11162,1645152,5.44365
ZINC000101136391_entry_00242_conf_01,-72.5739,-56.5739,-3.81968,-27.1975,-0.268494,-11.2244,-21.2014,-3.15539,1699979,5.59601
ZINC000101178654_entry_00243_conf_01,-64.8753,-48.8753,-3.60419,-24.7546,-0.246405,-10.1221,-18.6494,-2.94888,1697649,5.31303
ZINC000101178654_entry_00244_conf_01,-66.1989,-50.1989,-3.67771,-25.2596,-0.251431,-10.3286,-19.1544,-3.15233,1693415,5.26089
ZINC000101361998_entry_00245_conf_01,-71.5637,-49.5637,-2.46771,-23.2931,-0.177393,-9.68517,-16.1324,-2.30851,3654047,15.2824
ZINC000101361998_entry_00246_conf_01,-76.5119,-52.5119,-2.63834,-24.9036,-0.189658,-10.3548,-17.0919,-2.46813,4028616,17.8963
ZINC000102205030_entry_00247_conf_01,-67.17,-47.17,-3.3585,-24.7456,-0.231394,-10.1446,-17.3776,-2.79875,2382348,8.67132
ZINC000102205030_entry_00248_conf_01,-64.4568,-44.4568,-3.22284,-23.7461,-0.222047,-9.73481,-16.378,-2.80247,2393745,8.56129
ZINC000102863660_entry_00249_conf_01,-63.1903,-47.1903,-3.32581,-23.681,-0.227866,-9.69006,-17.6849,-2.7474,1667569,5.29122
ZINC000102863660_entry_00250_conf_01,-64.1043,-50.1043,-3.37391,-24.0235,-0.231161,-9.83022,-18.7769,-2.91383,1493812,4.52959
ZINC000102974493_entry_00251_conf_01,-70.0826,-54.0826,-3.18557,-25.0113,-0.211255,-10.1238,-19.3012,-2.80331,1852005,6.4055
ZINC000102974493_entry_00252_conf_01,-69.7354,-55.7354,-3.16979,-24.8874,-0.210208,-10.0736,-19.891,-2.68213,1593896,5.33726
ZINC000105341667_entry_00253_conf_01,-61.1044,-49.1044,-4.70034,-25.9871,-0.314634,-10.5516,-20.8836,-3.39469,985315,2.60854
ZINC000105341667_entry_00254_conf_01,-56.4034,-44.4034,-4.33872,-23.9878,-0.291943,-9.75669,-18.8843,-3.13352,1118669,2.90825
ZINC000106381125_entry_00255_conf_01,-70.004,-54.004,-3.5002,-25.7897,-0.240283,-10.5598,-19.8952,-2.91683,1808374,5.79342
ZINC000106381125_entry_00256_conf_01,-65.4874,-49.4874,-3.27437,-24.1258,-0.22478,-9.8785,-18.2313,-2.84728,1895656,6.00293
ZINC000106382931_entry_00257_conf_01,-70.7978,-54.7978,-3.21808,-25.2665,-0.224545,-10.4019,-19.5564,-2.83191,1788413,6.24648
ZINC000106382931_entry_00258_conf_01,-73.8849,-59.8849,-3.35841,-26.3683,-0.234337,-10.8555,-21.3719,-2.84173,1591746,5.43043
