LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
ZINC000575124622_entry_00291_conf_01,-60.1171,-50.1171,-2.61378,-21.1392,-0.185926,-8.75882,-17.6229,-2.50488,911417,1.81931
ZINC000575124622_entry_00292_conf_01,-59.0307,-49.0307,-2.56655,-20.7572,-0.182566,-8.60054,-17.2408,-2.45961,870453,1.75698
ZINC000575124647_entry_00293_conf_01,-61.7877,-45.7877,-3.43265,-23.5764,-0.234677,-9.64033,-17.4713,-2.94227,1321269,2.86263
ZINC000575124647_entry_00294_conf_01,-62.8567,-44.8567,-3.49204,-23.9843,-0.238738,-9.80712,-17.116,-2.85712,1534685,3.46969
ZINC000616582453_entry_00295_conf_01,-69.9468,-45.9468,-3.3308,-25.3529,-0.229059,-10.3871,-16.6539,-2.91445,2788542,7.56588
ZINC000616582453_entry_00296_conf_01,-68.1597,-44.1597,-3.2457,-24.7052,-0.223207,-10.1217,-16.0061,-2.72639,2611378,7.00843
ZINC000616582683_entry_00297_conf_01,-64.7621,-46.7621,-3.59789,-24.7114,-0.247872,-10.1303,-17.8431,-2.94373,1504538,3.49168
ZINC000616582683_entry_00298_conf_01,-60.5137,-44.5137,-3.36187,-23.0903,-0.231612,-9.46577,-16.9851,-2.75062,1313246,2.8253
ZINC000616582813_entry_00299_conf_01,-59.9064,-43.9064,-3.52391,-23.2983,-0.240335,-9.51893,-17.0757,-2.99532,1216901,2.58245
ZINC000616582813_entry_00300_conf_01,-58.6353,-42.6353,-3.44914,-22.8039,-0.235236,-9.31695,-16.5813,-2.93177,1220762,2.59016
ZINC000616582904_entry_00301_conf_01,-64.7392,-46.7392,-3.59662,-24.7026,-0.249712,-10.1529,-17.8344,-3.08282,1435135,3.27083
ZINC000616582904_entry_00302_conf_01,-65.2291,-47.2291,-3.62384,-24.8896,-0.251601,-10.2297,-18.0213,-3.10615,1488775,3.40689
ZINC000616583702_entry_00303_conf_01,-70.8396,-50.8396,-3.54198,-26.0975,-0.243151,-10.6859,-18.7295,-3.07998,2131782,5.18523
ZINC000616583702_entry_00304_conf_01,-67.8173,-45.8173,-3.39087,-24.9841,-0.232777,-10.23,-16.8792,-2.94858,2380379,6.03315
ZINC000616583781_entry_00305_conf_01,-66.2091,-48.2091,-3.48469,-24.8123,-0.238751,-10.153,-18.0667,-3.15281,1683120,3.8395
ZINC000616583781_entry_00306_conf_01,-65.8502,-47.8502,-3.4658,-24.6778,-0.237457,-10.0979,-17.9322,-2.86305,1738935,3.95967
ZINC000616589990_entry_00307_conf_01,-55.3686,-43.3686,-3.69124,-22.4509,-0.250299,-9.15508,-17.5851,-2.91414,809532,1.50034
ZINC000616589990_entry_00308_conf_01,-55.3492,-43.3492,-3.68995,-22.443,-0.251357,-9.16582,-17.5773,-2.91312,822676,1.55485
ZINC000616591357_entry_00309_conf_01,-65.1107,-57.1107,-2.8309,-22.8951,-0.201371,-9.48637,-20.0821,-2.60443,716077,1.35859
ZINC000616591357_entry_00310_conf_01,-60.9214,-52.9214,-2.64876,-21.422,-0.188414,-8.87601,-18.609,-2.64876,717181,1.36357
