REC _TITLE1 TOTAL INTER INTRA RESTR VDW
001 134695375 -17.547 -19.130 0.856 0.000 -14.428
002 134695375 -14.074 -14.683 -0.133 0.000 -13.443
003 134695375 -21.533 -19.188 -1.939 0.000 -12.645
004 134695375 -18.199 -17.098 -1.693 0.000 -16.910
005 134695375 -19.360 -16.763 -1.846 0.000 -14.054
006 134695375 -9.936 -6.072 -3.775 0.000 -7.840
007 134695375 -21.631 -15.420 -5.083 0.000 -14.296
008 134695375 -11.938 -9.938 -1.485 0.000 -9.125
009 134695375 -17.032 -14.438 -3.409 0.000 -9.868
010 134695375 -12.790 -9.250 -2.594 0.000 -7.491
011 134695375 -20.872 -18.798 -1.890 0.000 -12.746
012 134695375 -16.013 -13.960 -1.870 0.000 -12.936
013 134695375 -14.697 -10.805 -3.750 0.000 -9.593
014 134695375 -12.824 -10.771 -2.038 0.000 -10.378
015 134695375 -10.800 -7.430 -3.949 0.000 -2.956
016 134695375 -16.346 -17.127 0.137 0.000 -8.093
017 134695375 -19.107 -16.033 -2.875 0.000 -14.268
018 134695375 -21.793 -20.712 -0.042 0.000 -14.832
019 134695375 -16.329 -13.897 -2.346 0.000 -12.034
020 134695375 -18.023 -14.215 -3.848 0.000 -11.323
021 134695375 -19.559 -18.207 -1.997 0.000 -13.546
022 134695375 -12.564 -11.422 -1.129 0.000 -11.056
023 134695375 -21.090 -19.297 -1.797 0.000 -12.729
024 134695375 -19.587 -19.992 0.562 0.000 -13.218
025 134695375 -20.210 -20.064 0.157 0.000 -13.848
026 134695375 -17.684 -15.898 -1.779 0.000 -14.009
027 134695375 -14.451 -13.066 -2.249 0.000 -14.232
028 134695375 -12.892 -9.681 -2.979 0.000 -12.171
029 134695375 -14.728 -13.454 -2.135 0.000 -9.991
030 134695375 -20.465 -18.394 -1.921 0.000 -11.396
031 134695375 -8.832 -3.866 -3.844 0.000 -1.394
032 134695375 -18.273 -15.028 -2.929 0.000 -14.092
