_TITLE1 TOTAL INTER INTRA RESTR VDW
ZINC000056871016 -21.207 -15.626 -5.639 0.000 -12.743
ZINC000077269504 -21.343 -16.436 -4.591 0.000 -17.366
ZINC000082114392 -20.317 -17.831 -1.459 0.000 -13.652
ZINC000100342293 -24.220 -25.020 0.936 0.000 -19.220
ZINC000100656214 -22.875 -18.461 -4.336 0.000 -17.879
ZINC000100815672 -18.712 -17.688 -0.040 0.000 -17.995
ZINC000101073479 -28.704 -25.101 -4.196 0.000 -19.546
ZINC000101135603 -19.719 -14.055 -4.689 0.000 -17.058
ZINC000101136391 -21.050 -17.842 -2.217 0.000 -14.315
ZINC000101178654 -19.708 -16.302 -2.338 0.000 -12.316
ZINC000101361998 -21.637 -22.064 -0.187 0.000 -20.671
ZINC000102205030 -23.692 -14.652 -9.032 0.000 -15.897
ZINC000102863660 -18.732 -14.654 -3.933 0.000 -13.029
ZINC000102974493 -22.543 -21.139 -0.365 0.000 -18.829
ZINC000105341667 -21.263 -18.024 -2.705 0.000 -10.706
ZINC000106381125 -16.861 -16.691 0.023 0.000 -12.319
ZINC000106382931 -19.707 -19.686 0.031 0.000 -18.022
ZINC000106382957 -21.128 -18.558 -1.548 0.000 -17.303
ZINC000106382965 -22.253 -22.423 0.095 0.000 -18.274
ZINC000106384102 -19.454 -21.333 2.069 0.000 -17.877
ZINC000164373873 -22.190 -16.259 -5.532 0.000 -11.115
ZINC000196304985 -20.481 -16.512 -2.844 0.000 -11.417
ZINC000252694384 -16.718 -9.289 -6.332 0.000 -16.098
ZINC000257346145 -15.783 -17.132 0.630 0.000 -14.600
ZINC000257346492 -15.697 -14.529 -1.016 0.000 -16.667
ZINC000257346903 -18.859 -11.265 -6.497 0.000 -17.395
ZINC000257347638 -15.602 -15.040 0.455 0.000 -23.264
ZINC000257347639 -15.782 -10.826 -4.555 0.000 -17.331
ZINC000307008534 -23.750 -18.015 -4.616 0.000 -11.743
ZINC000307565252 -17.870 -18.937 0.577 0.000 -14.998
ZINC000383920275 -18.271 -16.765 -1.044 0.000 -12.159
ZINC000394934764 -17.177 -14.209 -1.973 0.000 -13.766
ZINC000396869768 -22.977 -14.427 -7.507 0.000 -16.374
ZINC000575124622 -14.734 -13.780 -0.726 0.000 -17.957
ZINC000575124647 -22.331 -14.413 -6.983 0.000 -13.910
ZINC000616582453 -16.084 -11.020 -3.953 0.000 -14.025
ZINC000616582683 -24.361 -19.821 -3.560 0.000 -16.343
ZINC000616582813 -22.634 -17.232 -4.359 0.000 -13.923
ZINC000616582904 -24.370 -18.734 -5.326 0.000 -15.318
ZINC000616583702 -20.553 -18.795 -2.517 0.000 -16.457
ZINC000616583781 -20.918 -21.707 0.741 0.000 -16.015
ZINC000616589990 -22.588 -18.813 -2.679 0.000 -13.899
ZINC000616591357 -14.737 -13.924 -0.895 0.000 -16.956
