REC _TITLE1 TOTAL INTER INTRA RESTR VDW
107 134695375 -8.100 -6.462 -4.834 0.000 -11.673
108 134695375 -17.508 -16.879 -2.376 0.000 -15.698
109 134695375 -5.316 -3.965 -3.095 0.000 -10.399
110 134695375 -5.429 -9.744 -3.222 0.000 -12.495
111 134695375 -9.307 -8.557 -3.142 0.000 -13.059
112 134695375 -2.770 -2.066 -3.097 0.000 -7.465
113 134695375 -11.121 -10.777 -2.750 0.000 -13.551
114 134695375 -8.035 -9.035 -2.160 0.000 -12.496
115 134695375 1.880 -5.449 -2.553 0.000 -9.706
116 134695375 -12.342 -13.537 -2.407 0.000 -15.263
117 134695375 -4.696 -6.278 -1.584 0.031 -9.668
118 134695375 -5.310 -6.922 -3.477 0.000 -11.689
119 134695375 -10.068 -11.791 -3.311 0.034 -12.532
120 134695375 -6.476 -11.109 0.671 0.000 -12.821
121 134695375 -13.251 -13.219 -2.692 0.245 -13.778
122 134695375 -5.003 -5.085 -3.525 0.000 -9.827
123 134695375 -5.632 -9.202 0.400 0.000 -10.829
124 134695375 -11.150 -12.377 -2.028 0.000 -13.883
125 134695375 -3.819 -9.456 -1.896 0.000 -15.441
126 134695375 -9.098 -9.044 -3.194 0.000 -12.232
127 134695375 -15.202 -14.061 -2.886 0.000 -15.284
128 134695375 -13.639 -14.597 -1.427 0.000 -13.176
129 134695375 -10.269 -11.056 -3.098 0.000 -14.713
130 134695375 -4.159 -7.134 -0.999 0.000 -8.318
131 134695375 -2.819 -3.161 -3.470 0.000 -8.808
132 134695375 -7.565 -14.366 -2.620 0.011 -12.119
133 134695375 -8.285 -7.704 -2.327 0.000 -11.240
134 134695375 -7.819 -7.837 -2.377 0.000 -13.121
135 134695375 -9.595 -12.207 -0.571 0.008 -11.449
136 134695375 -8.557 -8.741 -3.046 0.000 -9.960
137 134695375 -4.304 -6.239 -1.310 0.000 -12.128
138 134695375 -7.027 -6.555 -2.210 0.000 -14.296
139 134695375 -7.295 -6.560 -2.469 0.000 -8.898
140 134695375 0.105 -6.145 -2.782 0.000 -9.697
141 134695375 -6.752 -14.023 -1.784 0.000 -12.363
142 134695375 -6.133 -14.358 0.522 0.165 -11.742
143 134695375 0.525 -11.026 2.504 0.000 -12.795
144 134695375 -13.407 -13.129 -2.705 0.000 -13.444
145 134695375 -11.057 -9.470 -3.324 0.000 -14.018
146 134695375 -14.427 -14.640 -2.437 0.000 -12.306
147 134695375 -9.266 -8.777 -2.886 0.000 -11.779
148 134695375 -8.008 -9.575 -2.220 0.000 -11.022
149 134695375 -10.320 -11.650 -0.471 0.041 -11.980
150 134695375 -8.350 -9.232 -2.404 0.000 -10.624
151 129878031 -5.870 -12.697 -2.772 0.000 -11.663
152 129878031 -13.432 -13.445 -1.851 0.000 -12.803
153 129878031 -6.102 -6.139 -3.565 0.000 -12.497
154 129878031 -15.122 -13.647 -5.274 0.000 -10.151
155 129878031 -2.636 -7.033 -3.796 0.000 -12.093
156 129878031 -7.411 -3.124 -6.026 0.000 -10.754
157 129878031 -12.902 -13.020 -1.645 0.000 -10.138
158 129878031 -10.804 -13.283 -2.790 0.000 -14.496
159 129878031 -11.775 -11.935 -3.080 0.000 -11.347
160 129878031 -10.013 -7.190 -5.251 0.000 -14.944
161 129878031 -13.445 -12.142 -3.036 0.000 -12.276
162 129878031 -12.171 -10.541 -3.366 0.000 -14.099
163 129878031 -8.307 -12.575 -3.285 0.000 -11.070
164 129878031 -7.267 -11.690 -3.165 0.000 -12.008
165 129878031 -12.992 -10.676 -4.084 0.000 -13.880
166 129878031 -11.179 -10.702 -3.626 0.000 -13.954
167 129878031 -6.126 -7.568 -3.547 0.000 -13.869
168 129878031 -6.479 -6.118 -2.749 0.000 -11.667
169 129878031 -11.135 -11.926 -1.608 0.000 -12.400
170 129878031 -8.022 -6.529 -4.633 0.000 -12.056
171 129878031 -6.708 -14.806 -1.497 0.000 -13.819
172 129878031 -10.240 -6.960 -5.690 0.000 -11.966
173 129878031 -9.065 -11.826 -4.792 0.000 -12.824
174 129878031 -6.892 -6.134 -4.065 0.000 -10.665
175 129878031 -9.423 -10.982 -2.235 0.000 -13.235
176 129878031 -10.560 -8.909 -4.037 0.000 -12.415
177 129878031 -5.318 -5.178 -3.574 0.000 -10.762
178 129878031 -14.516 -14.381 -2.531 0.003 -13.729
179 129878031 -7.775 -9.125 -1.807 0.000 -11.926
180 129878031 -6.224 -13.293 -1.139 0.000 -13.591
181 129878031 -14.185 -12.524 -4.899 0.000 -13.511
182 129878031 -13.636 -13.078 -3.794 0.000 -12.629
183 129878031 -12.698 -11.839 -2.627 0.000 -8.007
184 129878031 -14.422 -12.165 -5.402 0.000 -13.008
185 129878031 -8.274 -10.302 -1.148 0.000 -11.604
186 129878031 -1.286 -5.777 -3.068 0.000 -12.322
187 129878031 -9.720 -7.381 -4.729 0.000 -11.060
188 129878031 -8.862 -9.025 -3.737 0.000 -14.344
189 129878031 -7.502 -5.137 -4.137 0.000 -10.550
190 129878031 -7.769 -9.718 -1.947 0.000 -15.868
191 129878031 -7.782 -6.462 -3.718 0.000 -12.356
192 129878031 -9.804 -10.033 -4.814 0.000 -12.628
193 129878031 -15.178 -17.642 -0.694 0.000 -15.062
194 129878031 -9.799 -8.929 -4.591 0.000 -12.832
195 129878031 -9.061 -9.525 -3.320 0.000 -10.330
196 129878031 -10.018 -7.759 -3.995 0.000 -12.827
197 129878031 -8.741 -9.802 -2.548 0.000 -12.008
198 129878031 -10.326 -11.558 -2.680 0.002 -13.397
199 129878031 -11.580 -10.285 -5.199 0.000 -12.172
200 129878031 -9.141 -8.284 -4.161 0.000 -11.026
201 129878031 -15.231 -12.469 -5.153 0.000 -10.980
202 129878031 -16.153 -11.949 -6.616 0.000 -14.075
203 129878031 -10.828 -13.270 -5.107 0.000 -15.785
204 129878031 -11.359 -8.505 -6.093 0.000 -12.924
205 129878031 -11.925 -9.195 -5.877 0.000 -14.303
206 129878031 -3.738 -7.104 -5.690 0.000 -14.049
207 129878031 -18.011 -14.618 -5.794 0.000 -17.894
208 129878031 -12.025 -13.699 -5.869 0.000 -13.124
209 129878031 -7.631 -11.878 -4.782 0.000 -11.099
210 129878031 -12.783 -8.989 -5.529 0.000 -11.542
211 129878031 -22.884 -21.233 -3.392 0.000 -14.389
212 129878031 -11.962 -9.794 -5.441 0.000 -15.078
213 129878031 -9.994 -6.354 -6.886 0.000 -10.042
214 129878031 -15.213 -13.298 -5.814 0.000 -15.517
215 129878031 -10.540 -14.147 -5.469 0.007 -15.254
216 129878031 -11.447 -10.113 -5.229 0.000 -12.063
217 129878031 -6.680 -4.402 -5.511 0.000 -9.805
218 129878031 -9.557 -12.598 -5.151 0.000 -14.395
219 129878031 -10.958 -7.751 -4.946 0.000 -8.934
220 129878031 -12.116 -9.320 -4.545 0.000 -14.983
221 129878031 -18.763 -16.823 -5.204 0.000 -13.560
222 129878031 -17.013 -12.152 -6.603 0.000 -13.127
223 129878031 -6.077 -12.367 -1.944 0.000 -12.233
224 129878031 -14.450 -15.362 -2.324 0.000 -14.428
225 129878031 -18.172 -14.639 -5.938 0.000 -17.899
226 129878031 -10.954 -10.557 -5.409 0.000 -14.400
